community_area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2006,2010-2014,2015-2019,2018-2022,2010-2014 to 2015-2019,2010-2014 to 2018-2022,2015-2019 to 2018-2022
DOUGLAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
OAKLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
FULLER PARK,7.0,9.0,8.0,7.0,11.0,10.0,18.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,7.75,10.2,2.6,high,high,high
GRAND BOULEVARD,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,medium,medium,low
KENWOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
LINCOLN SQUARE,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,medium,medium,medium
WASHINGTON PARK,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,medium,medium,low
HYDE PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
WOODLAWN,2.0,3.0,0.0,4.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.25,1.4,0.4,medium,medium,medium
ROGERS PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
JEFFERSON PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
FOREST GLEN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,low,low,low
NORTH PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,low,low,low
ALBANY PARK,1.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,medium,medium,medium
PORTAGE PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
IRVING PARK,0.0,5.0,2.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,1.2,0.0,high,high,medium
DUNNING,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,low,low,medium
MONTCLARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
BELMONT CRAGIN,5.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.2,high,high,low
WEST RIDGE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,medium,low,medium
