community_area,2005-2009,2010-2014,2015-2019,2018-2022,2005-2009 to 2010-2014,2010-2014 to 2015-2019,2015-2019 to 2018-2022,2005-2009 to 2018-2022
ROGERS PARK,179.38400000000004,151.19200000000004,185.04799999999997,209.573,low,medium,low,high
UPTOWN,179.38400000000004,151.19200000000004,185.04799999999997,209.573,low,medium,low,high
EDGEWATER,179.38400000000004,151.19200000000004,185.04799999999997,209.573,low,medium,low,high
WEST RIDGE,179.38400000000004,151.19200000000004,185.04799999999997,209.573,low,medium,low,high
LAKE VIEW,159.65800000000002,159.2145,179.33599999999996,183.76850000000005,low,low,low,high
LINCOLN PARK,159.65800000000002,159.2145,179.33599999999996,183.76850000000005,low,low,low,high
LINCOLN SQUARE,189.4465,171.23499999999999,213.9445,230.055,low,medium,low,high
NORTH CENTER,189.4465,171.23499999999999,213.9445,230.055,low,medium,low,high
ALBANY PARK,180.25100000000003,141.524,182.1105,203.71449999999996,low,medium,low,high
IRVING PARK,180.25100000000003,141.524,182.1105,203.71449999999996,low,medium,low,high
NORTH PARK,180.25100000000003,141.524,182.1105,203.71449999999996,low,medium,low,high
JEFFERSON PARK,180.1875,122.0125,165.7625,191.968,low,medium,low,low
PORTAGE PARK,180.1875,122.0125,165.7625,191.968,low,medium,low,low
FOREST GLEN,180.1875,122.0125,165.7625,191.968,low,medium,low,low
NORWOOD PARK,180.1875,122.0125,165.7625,191.968,low,medium,low,low
EDISON PARK,180.1875,122.0125,165.7625,191.968,low,medium,low,low
AUSTIN,194.2865,107.87899999999999,155.17950000000002,196.4315,high,high,medium,low
BELMONT CRAGIN,194.2865,107.87899999999999,155.17950000000002,196.4315,high,high,medium,low
DUNNING,194.2865,107.87899999999999,155.17950000000002,196.4315,high,high,medium,low
MONTCLARE,194.2865,107.87899999999999,155.17950000000002,196.4315,high,high,medium,low
OHARE,194.2865,107.87899999999999,155.17950000000002,196.4315,high,high,medium,low
AVONDALE,207.54900000000004,165.85899999999998,243.76200000000003,281.6295,low,high,medium,high
LOGAN SQUARE,207.54900000000004,165.85899999999998,243.76200000000003,281.6295,low,high,medium,high
HERMOSA,207.54900000000004,165.85899999999998,243.76200000000003,281.6295,low,high,medium,high
HUMBOLDT PARK,239.8395,102.65800000000002,170.68,254.61149999999998,high,high,high,low
EAST GARFIELD PARK,239.8395,102.65800000000002,170.68,254.61149999999998,high,high,high,low
WEST GARFIELD PARK,239.8395,102.65800000000002,170.68,254.61149999999998,high,high,high,low
NEAR WEST SIDE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,low,high
WEST TOWN,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,low,high
LOOP,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,low,high
NEAR NORTH SIDE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,low,high
SOUTH LAWNDALE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,low,high
NORTH LAWNDALE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,low,high
LOWER WEST SIDE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,low,high
NEAR SOUTH SIDE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,low,high
BRIDGEPORT,226.51,134.71300000000002,189.4975,245.3705,high,high,high,medium
BRIGHTON PARK,226.51,134.71300000000002,189.4975,245.3705,high,high,high,medium
MCKINLEY PARK,226.51,134.71300000000002,189.4975,245.3705,high,high,high,medium
ARMOUR SQUARE,226.51,134.71300000000002,189.4975,245.3705,high,high,high,medium
NEW CITY,226.51,134.71300000000002,189.4975,245.3705,high,high,high,medium
GAGE PARK,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
WEST LAWN,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
ARCHER HEIGHTS,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
WEST ELSDON,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
CHICAGO LAWN,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
CLEARING,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
GARFIELD RIDGE,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
ENGLEWOOD,212.03249999999997,96.58500000000001,116.54750000000001,171.71400000000003,high,low,high,high
GREATER GRAND CROSSING,212.03249999999997,96.58500000000001,116.54750000000001,171.71400000000003,high,low,high,high
WEST ENGLEWOOD,212.03249999999997,96.58500000000001,116.54750000000001,171.71400000000003,high,low,high,high
HYDE PARK,210.743,128.95149999999998,155.541,195.86049999999997,high,low,medium,low
FULLER PARK,210.743,128.95149999999998,155.541,195.86049999999997,high,low,medium,low
DOUGLAS,210.743,128.95149999999998,155.541,195.86049999999997,high,low,medium,low
GRAND BOULEVARD,210.743,128.95149999999998,155.541,195.86049999999997,high,low,medium,low
WASHINGTON PARK,210.743,128.95149999999998,155.541,195.86049999999997,high,low,medium,low
WOODLAWN,210.743,128.95149999999998,155.541,195.86049999999997,high,low,medium,low
KENWOOD,210.743,128.95149999999998,155.541,195.86049999999997,high,low,medium,low
OAKLAND,210.743,128.95149999999998,155.541,195.86049999999997,high,low,medium,low
BEVERLY,174.541,124.71899999999997,152.22150000000002,187.98000000000002,low,medium,low,low
MORGAN PARK,174.541,124.71899999999997,152.22150000000002,187.98000000000002,low,medium,low,low
MOUNT GREENWOOD,174.541,124.71899999999997,152.22150000000002,187.98000000000002,low,medium,low,low
AUBURN GRESHAM,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,high,medium
CHATHAM,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,high,medium
AVALON PARK,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,high,medium
BURNSIDE,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,high,medium
CALUMET HEIGHTS,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,high,medium
WASHINGTON HEIGHTS,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,high,medium
ASHBURN,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,high,medium
PULLMAN,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
SOUTH CHICAGO,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
WEST PULLMAN,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
ROSELAND,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
SOUTH SHORE,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
RIVERDALE,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
EAST SIDE,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
HEGEWISCH,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
SOUTH DEERING,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,medium
