community_area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010-2014,2015-2019,2010-2014 to 2015-2019
ROGERS PARK,3.86,4.08,4.87,4.53,3.4,3.4,2.83,2.41,2.37,2.2,4.148,2.6420000000000003,high
WEST RIDGE,3.95,3.78,3.84,3.56,3.34,2.96,2.6,2.48,1.96,1.64,3.694,2.3280000000000003,high
UPTOWN,2.46,2.54,2.82,2.56,2.0,2.06,1.87,1.71,1.53,1.54,2.476,1.7420000000000002,medium
LINCOLN SQUARE,1.51,1.61,1.34,1.23,1.26,1.06,0.78,0.85,0.82,0.71,1.39,0.844,low
NORTH CENTER,0.87,0.89,0.55,0.56,0.69,0.62,0.7,0.52,0.36,0.6,0.712,0.5599999999999999,low
LAKE VIEW,1.62,1.34,1.22,1.26,0.9,0.84,0.71,0.75,0.67,0.75,1.268,0.744,low
LINCOLN PARK,1.41,1.62,1.31,0.95,0.84,0.74,0.83,0.59,0.69,0.47,1.226,0.6639999999999999,low
NEAR NORTH SIDE,3.85,3.19,2.38,2.32,1.85,1.92,1.63,1.64,1.65,1.47,2.718,1.6620000000000001,medium
EDISON PARK,1.98,1.73,2.56,1.89,0.93,1.23,0.81,1.39,0.79,1.26,1.818,1.0959999999999999,low
NORWOOD PARK,1.84,1.81,2.01,1.8,1.74,1.36,1.45,1.33,1.02,0.82,1.8399999999999999,1.1960000000000002,low
JEFFERSON PARK,2.18,2.42,2.26,2.38,2.23,1.56,1.79,1.24,1.21,0.93,2.2939999999999996,1.3459999999999999,medium
FOREST GLEN,2.76,3.67,3.33,2.64,3.05,2.79,1.67,2.21,2.53,2.34,3.09,2.308,medium
NORTH PARK,1.86,1.39,1.87,1.83,1.21,1.73,1.16,1.46,0.94,0.67,1.6320000000000001,1.1919999999999997,low
ALBANY PARK,1.71,2.17,2.0,2.4,2.39,2.19,1.65,1.9,1.52,1.3,2.134,1.7120000000000002,low
PORTAGE PARK,2.67,2.74,3.1,3.04,2.44,2.65,2.44,2.25,1.84,1.66,2.798,2.168,low
IRVING PARK,2.38,2.99,2.87,2.78,2.45,2.36,1.55,1.72,1.63,1.29,2.694,1.7100000000000002,medium
DUNNING,2.89,3.42,4.09,3.48,2.9,2.94,2.47,2.65,1.69,1.75,3.3560000000000003,2.3,medium
MONTCLARE,2.63,3.55,3.12,2.8,2.93,2.43,3.03,3.28,3.95,2.43,3.0060000000000002,3.024,low
BELMONT CRAGIN,3.24,3.41,4.19,3.51,3.48,3.56,2.98,2.19,2.25,2.29,3.566,2.654,medium
HERMOSA,3.14,3.83,4.23,4.55,3.8,3.92,3.41,2.52,1.81,2.01,3.91,2.734,high
AVONDALE,2.9,3.22,3.16,2.71,2.47,2.3,1.73,1.51,1.24,1.17,2.8920000000000003,1.5899999999999999,high
LOGAN SQUARE,1.88,2.09,1.86,1.83,1.7,1.51,1.16,1.18,0.91,0.95,1.8719999999999999,1.142,low
HUMBOLDT PARK,5.33,6.42,6.83,5.87,5.56,5.09,4.31,4.07,3.18,3.16,6.002,3.9619999999999997,high
WEST TOWN,2.2,2.6,2.41,1.68,1.54,1.52,1.03,1.07,0.84,0.82,2.086,1.056,medium
AUSTIN,6.74,7.74,8.21,8.15,7.99,7.07,6.47,6.17,6.08,6.17,7.766000000000001,6.392,high
WEST GARFIELD PARK,6.22,6.29,7.11,7.88,8.9,6.9,6.47,6.67,6.11,7.24,7.279999999999999,6.678,low
EAST GARFIELD PARK,6.62,7.89,7.41,7.1,7.85,6.21,5.64,5.47,4.55,4.86,7.3740000000000006,5.346,high
NEAR WEST SIDE,4.57,4.14,3.7,3.19,2.69,2.72,2.4,1.7,1.55,1.64,3.658,2.0020000000000002,high
NORTH LAWNDALE,5.92,6.17,6.64,7.14,7.03,6.87,6.04,5.59,5.73,5.49,6.58,5.944,low
SOUTH LAWNDALE,2.75,3.03,3.41,3.26,3.32,3.17,3.05,2.65,1.83,1.96,3.154,2.532,low
LOWER WEST SIDE,1.96,2.14,1.87,2.06,2.1,1.6,1.21,1.73,1.17,1.04,2.026,1.35,low
LOOP,6.85,4.74,3.46,2.56,2.61,2.84,2.35,2.03,1.68,1.65,4.044,2.11,high
NEAR SOUTH SIDE,7.18,6.28,5.43,4.76,4.78,3.1,3.09,3.59,3.88,3.58,5.686,3.4480000000000004,high
ARMOUR SQUARE,1.12,1.67,2.1,1.54,2.67,0.98,0.95,0.52,0.54,0.89,1.8200000000000003,0.776,medium
DOUGLAS,5.07,4.55,6.1,5.7,5.43,3.83,4.05,3.64,3.83,3.3,5.37,3.7299999999999995,high
OAKLAND,8.22,6.48,6.44,6.09,8.34,4.98,5.58,7.03,6.94,4.61,7.114,5.828,high
FULLER PARK,4.46,5.72,8.12,6.81,7.54,5.52,5.78,4.31,3.28,4.24,6.529999999999999,4.626,high
GRAND BOULEVARD,7.3,7.42,7.45,7.0,6.02,6.63,5.69,4.99,4.52,4.53,7.037999999999999,5.272,high
KENWOOD,7.24,6.97,6.9,5.79,5.8,5.67,4.66,4.76,4.59,4.93,6.539999999999999,4.922,high
WASHINGTON PARK,9.5,10.08,8.93,8.95,8.7,9.28,8.34,7.22,6.14,7.55,9.232,7.705999999999999,high
HYDE PARK,3.71,4.49,4.2,3.76,3.95,3.6,2.98,2.72,2.76,3.19,4.021999999999999,3.05,medium
WOODLAWN,5.65,6.79,5.82,6.31,7.27,6.01,5.29,5.8,4.93,5.11,6.368,5.428,medium
SOUTH SHORE,8.12,8.35,9.52,9.76,8.69,9.27,8.27,8.6,8.04,8.72,8.888,8.58,low
CHATHAM,6.21,6.01,7.92,7.98,8.74,8.23,6.9,7.36,7.44,7.61,7.372,7.508000000000001,low
AVALON PARK,5.57,6.66,4.22,5.51,5.83,7.11,6.74,4.95,5.54,7.4,5.558,6.348000000000001,medium
SOUTH CHICAGO,6.52,6.33,7.92,7.18,7.62,7.37,7.23,6.52,7.27,6.52,7.114,6.981999999999999,low
BURNSIDE,4.15,3.69,5.94,4.75,4.31,4.89,3.96,3.07,3.17,3.11,4.568,3.6399999999999997,medium
CALUMET HEIGHTS,4.17,5.35,5.03,4.38,6.19,5.88,5.57,4.27,4.71,5.31,5.024,5.148,low
ROSELAND,7.52,7.67,7.86,7.75,7.37,7.17,6.57,5.81,6.09,5.83,7.634,6.294,high
PULLMAN,7.57,6.37,4.89,4.7,4.57,5.96,6.12,5.06,3.94,4.63,5.62,5.142,low
SOUTH DEERING,7.38,5.54,5.38,5.23,6.1,4.12,3.56,4.31,3.3,3.18,5.926,3.694,high
EAST SIDE,2.45,3.25,3.03,3.39,2.87,2.84,2.63,2.52,2.49,2.59,2.998,2.614,low
WEST PULLMAN,6.18,6.79,7.35,6.56,7.64,7.77,6.59,7.27,6.73,6.83,6.903999999999999,7.037999999999999,low
RIVERDALE,9.67,12.81,15.11,11.13,11.46,7.1,6.04,7.06,7.26,6.24,12.036000000000001,6.74,high
HEGEWISCH,2.57,3.25,2.95,2.75,3.72,4.69,3.71,3.99,7.28,3.0,3.048,4.534000000000001,high
GARFIELD RIDGE,3.8,3.01,3.21,3.64,3.22,2.66,3.0,2.11,2.05,2.56,3.376,2.476,medium
ARCHER HEIGHTS,3.31,3.79,3.09,3.35,3.21,3.62,1.77,2.32,1.65,1.13,3.35,2.0980000000000003,high
BRIGHTON PARK,2.73,3.17,3.41,3.39,3.43,3.0,2.69,2.73,2.22,1.78,3.2260000000000004,2.484,medium
MCKINLEY PARK,2.64,3.63,2.81,2.95,2.99,3.39,3.08,2.43,1.65,0.91,3.0040000000000004,2.2920000000000003,low
BRIDGEPORT,2.51,2.81,2.35,2.2,1.96,1.5,1.51,1.29,0.98,0.84,2.3660000000000005,1.2239999999999998,medium
NEW CITY,5.01,4.49,4.66,4.23,4.8,4.56,3.89,3.85,3.44,3.33,4.638,3.814,medium
WEST ELSDON,3.39,3.61,4.26,4.23,2.92,3.54,3.26,2.78,3.05,1.84,3.682,2.8939999999999997,medium
GAGE PARK,3.72,3.7,4.15,3.41,3.59,4.05,2.92,3.06,2.15,2.42,3.714,2.92,medium
CLEARING,3.9,3.55,3.89,3.37,2.4,2.71,2.51,2.69,2.0,1.87,3.4219999999999997,2.3560000000000003,medium
WEST LAWN,5.08,4.83,5.92,4.74,7.94,4.62,3.6,3.63,2.99,2.59,5.702,3.4859999999999998,high
CHICAGO LAWN,5.88,6.22,6.73,7.1,6.72,6.58,6.02,5.34,4.71,4.54,6.529999999999999,5.438,medium
WEST ENGLEWOOD,5.92,5.86,7.16,6.39,7.16,7.79,7.17,6.23,5.57,5.77,6.498,6.506,low
ENGLEWOOD,6.15,6.89,7.13,6.6,8.27,7.67,6.53,6.23,6.27,5.42,7.007999999999998,6.4239999999999995,low
GREATER GRAND CROSSING,6.56,6.3,7.92,8.26,7.45,8.59,6.49,6.72,6.33,6.89,7.298,7.0040000000000004,low
ASHBURN,6.05,5.91,5.46,6.78,6.04,5.88,5.33,4.61,4.03,3.92,6.048,4.7540000000000004,high
AUBURN GRESHAM,7.13,7.01,7.52,7.33,8.44,8.27,6.66,6.07,6.26,6.48,7.486,6.747999999999999,medium
BEVERLY,2.06,3.12,3.42,4.18,3.88,4.4,4.65,3.59,3.97,4.51,3.332,4.223999999999999,medium
WASHINGTON HEIGHTS,4.34,4.92,5.51,5.54,5.69,6.4,6.12,5.03,5.96,6.29,5.2,5.96,medium
MOUNT GREENWOOD,9.87,10.42,4.8,4.08,5.22,5.37,3.81,3.24,8.78,5.31,6.878,5.302,high
MORGAN PARK,5.52,5.75,5.79,6.31,6.25,5.19,4.13,3.48,4.62,3.03,5.9239999999999995,4.090000000000001,high
O'HARE,3.39,3.29,3.23,3.23,2.37,1.81,1.49,1.64,1.34,1.99,3.1020000000000003,1.654,high
EDGEWATER,3.08,3.18,3.46,2.85,2.47,2.28,2.02,1.83,1.91,2.03,3.008,2.014,medium
