community_area,NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",13685.0,6133.0,10401.0,8176.0,6474.0,4025.0,2062.0,1701.0,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",3643.0,1430.0,2112.0,1373.0,1261.0,1290.0,581.0,625.0,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",2772.0,1275.0,1360.0,2222.0,1766.0,1635.0,1165.0,1540.0,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",13027.0,5092.0,5527.0,6364.0,6325.0,4170.0,2008.0,2114.0,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",15094.0,6162.0,6575.0,6592.0,7932.0,5520.0,4171.0,3212.0,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",28453.0,10774.0,15662.0,12009.0,14536.0,11127.0,6654.0,4089.0,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",2599.0,781.0,969.0,1491.0,1728.0,1135.0,968.0,749.0,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",9866.0,4876.0,8751.0,7032.0,4785.0,3729.0,1746.0,1402.0,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",24557.0,9338.0,13801.0,11270.0,10121.0,6496.0,3224.0,2641.0,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",6260.0,1538.0,2144.0,3373.0,4131.0,3307.0,1362.0,1347.0,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",7087.0,2684.0,5485.0,5085.0,4427.0,3488.0,2567.0,1571.0,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",15650.0,4962.0,8788.0,5334.0,4926.0,3105.0,1309.0,1313.0,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",1324.0,447.0,457.0,539.0,257.0,545.0,331.0,238.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",3309.0,1381.0,1901.0,1898.0,2070.0,2456.0,1851.0,1565.0,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",8901.0,3018.0,5471.0,4625.0,5911.0,3658.0,2358.0,2642.0,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",18950.0,6457.0,8475.0,7136.0,7204.0,4117.0,2075.0,1605.0,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",5990.0,2241.0,3848.0,3340.0,3476.0,2440.0,1557.0,1591.0,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",3774.0,4277.0,3401.0,2308.0,2687.0,2049.0,1190.0,1860.0,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",9174.0,3675.0,5886.0,6433.0,7231.0,5110.0,3222.0,3933.0,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",6753.0,2804.0,2739.0,2527.0,2563.0,1386.0,1111.0,1032.0,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",8997.0,2672.0,3545.0,3180.0,3553.0,1998.0,1294.0,1369.0,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",7254.0,7275.0,13052.0,9845.0,8440.0,5783.0,3077.0,3120.0,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",2285.0,566.0,1952.0,1977.0,1959.0,930.0,846.0,1200.0,17,31,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",11485.0,3891.0,4611.0,4296.0,4120.0,2604.0,2173.0,2006.0,17,31,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",5606.0,1206.0,2012.0,3154.0,3669.0,3015.0,2093.0,2662.0,17,31,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",689.0,327.0,311.0,398.0,621.0,397.0,245.0,329.0,17,31,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",14225.0,4768.0,6694.0,5301.0,4063.0,2573.0,1066.0,1291.0,17,31,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",10133.0,3257.0,6081.0,5074.0,5379.0,3962.0,2815.0,3143.0,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",6202.0,1719.0,3244.0,3645.0,2292.0,2052.0,1399.0,1224.0,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",10767.0,3775.0,4795.0,4268.0,4790.0,4080.0,2115.0,2875.0,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",2856.0,778.0,1824.0,1250.0,1610.0,1019.0,913.0,630.0,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",8027.0,3088.0,3841.0,4130.0,3211.0,2058.0,1092.0,613.0,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",18211.0,6866.0,9687.0,6486.0,7109.0,4795.0,2763.0,1846.0,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",3998.0,4901.0,5403.0,4034.0,3273.0,2397.0,2041.0,1557.0,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",14197.0,3932.0,12549.0,9491.0,7531.0,5612.0,2543.0,2555.0,17,31,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",5798.0,2530.0,4468.0,4527.0,4192.0,2972.0,1875.0,2450.0,17,31,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",3760.0,1321.0,3298.0,2407.0,2430.0,2053.0,1315.0,1286.0,17,31,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",9570.0,11826.0,34986.0,14858.0,8573.0,5583.0,2940.0,3476.0,17,31,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",9020.0,13379.0,19561.0,10059.0,6994.0,5652.0,2458.0,2395.0,17,31,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",7214.0,3297.0,10381.0,7646.0,4854.0,3626.0,2110.0,1843.0,17,31,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",17849.0,7907.0,22954.0,13018.0,8626.0,5668.0,3061.0,2057.0,17,31,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",1424.0,3197.0,5382.0,2894.0,2570.0,2452.0,1050.0,1037.0,17,31,20006.0,2005-2009
LOWER WEST SIDE,"Census Tract 3101, Cook County, Illinois",10346.0,4630.0,7323.0,5589.0,3442.0,2849.0,1609.0,1689.0,17,31,37477.0,2005-2009
MCKINLEY PARK,"Census Tract 5901, Cook County, Illinois",4009.0,1578.0,3019.0,2097.0,2293.0,1705.0,533.0,958.0,17,31,16192.0,2005-2009
MONTCLARE,"Census Tract 1801, Cook County, Illinois",3425.0,1369.0,2587.0,1507.0,2286.0,1594.0,701.0,1087.0,17,31,14556.0,2005-2009
MORGAN PARK,"Census Tract 7501, Cook County, Illinois",7361.0,2098.0,3934.0,3979.0,4181.0,3496.0,2305.0,1845.0,17,31,29199.0,2005-2009
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",5041.0,1921.0,2088.0,3017.0,3398.0,1707.0,1162.0,1216.0,17,31,19550.0,2005-2009
