NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,tract,population,period
"Census Tract 1608, Cook County, Illinois",1297.0,308.0,1145.0,1018.0,772.0,410.0,253.0,274.0,17,31,160800,5477.0,2005-2009
"Census Tract 1609, Cook County, Illinois",612.0,150.0,361.0,470.0,422.0,464.0,227.0,142.0,17,31,160900,2848.0,2005-2009
"Census Tract 1610, Cook County, Illinois",408.0,164.0,365.0,243.0,261.0,246.0,19.0,94.0,17,31,161000,1800.0,2005-2009
"Census Tract 1611, Cook County, Illinois",543.0,101.0,316.0,351.0,322.0,238.0,94.0,72.0,17,31,161100,2037.0,2005-2009
"Census Tract 1612, Cook County, Illinois",618.0,209.0,503.0,473.0,542.0,298.0,78.0,100.0,17,31,161200,2821.0,2005-2009
"Census Tract 1613, Cook County, Illinois",1119.0,418.0,914.0,647.0,557.0,565.0,154.0,123.0,17,31,161300,4497.0,2005-2009
"Census Tract 1701, Cook County, Illinois",466.0,106.0,201.0,248.0,166.0,283.0,376.0,546.0,17,31,170100,2392.0,2005-2009
"Census Tract 1702, Cook County, Illinois",719.0,299.0,476.0,619.0,456.0,481.0,251.0,230.0,17,31,170200,3531.0,2005-2009
"Census Tract 1703, Cook County, Illinois",1218.0,405.0,782.0,908.0,849.0,683.0,509.0,382.0,17,31,170300,5736.0,2005-2009
"Census Tract 1704, Cook County, Illinois",786.0,184.0,562.0,618.0,682.0,557.0,323.0,359.0,17,31,170400,4071.0,2005-2009
"Census Tract 1705, Cook County, Illinois",1025.0,419.0,731.0,675.0,781.0,719.0,414.0,392.0,17,31,170500,5156.0,2005-2009
"Census Tract 1706, Cook County, Illinois",468.0,201.0,348.0,434.0,485.0,212.0,88.0,444.0,17,31,170600,2680.0,2005-2009
"Census Tract 1707, Cook County, Illinois",810.0,258.0,388.0,747.0,600.0,395.0,258.0,198.0,17,31,170700,3654.0,2005-2009
"Census Tract 1708, Cook County, Illinois",827.0,375.0,678.0,514.0,590.0,500.0,229.0,308.0,17,31,170800,4021.0,2005-2009
"Census Tract 1709, Cook County, Illinois",322.0,249.0,145.0,306.0,375.0,96.0,115.0,151.0,17,31,170900,1759.0,2005-2009
"Census Tract 1710, Cook County, Illinois",1509.0,674.0,992.0,744.0,1463.0,691.0,428.0,662.0,17,31,171000,7163.0,2005-2009
"Census Tract 1711, Cook County, Illinois",1024.0,505.0,583.0,620.0,784.0,493.0,231.0,261.0,17,31,171100,4501.0,2005-2009
"Census Tract 1801, Cook County, Illinois",1659.0,383.0,1416.0,601.0,1105.0,719.0,294.0,568.0,17,31,180100,6745.0,2005-2009
"Census Tract 1802, Cook County, Illinois",1541.0,938.0,1007.0,751.0,1057.0,652.0,308.0,335.0,17,31,180200,6589.0,2005-2009
"Census Tract 1803, Cook County, Illinois",225.0,48.0,164.0,155.0,124.0,223.0,99.0,184.0,17,31,180300,1222.0,2005-2009
"Census Tract 1901, Cook County, Illinois",674.0,301.0,413.0,311.0,262.0,301.0,90.0,81.0,17,31,190100,2433.0,2005-2009
"Census Tract 1902, Cook County, Illinois",1670.0,873.0,1051.0,918.0,891.0,318.0,352.0,247.0,17,31,190200,6320.0,2005-2009
"Census Tract 1903, Cook County, Illinois",1195.0,475.0,679.0,875.0,1205.0,419.0,246.0,347.0,17,31,190300,5441.0,2005-2009
"Census Tract 1904, Cook County, Illinois",2772.0,1244.0,1683.0,1421.0,1169.0,1190.0,448.0,355.0,17,31,190400,10282.0,2005-2009
"Census Tract 1905, Cook County, Illinois",660.0,227.0,560.0,238.0,455.0,332.0,92.0,127.0,17,31,190500,2691.0,2005-2009
"Census Tract 1906, Cook County, Illinois",2739.0,644.0,1780.0,1456.0,1383.0,917.0,680.0,432.0,17,31,190600,10031.0,2005-2009
"Census Tract 1907, Cook County, Illinois",2427.0,873.0,1249.0,1276.0,1030.0,581.0,113.0,268.0,17,31,190700,7817.0,2005-2009
"Census Tract 1908, Cook County, Illinois",2410.0,800.0,1795.0,816.0,755.0,518.0,178.0,25.0,17,31,190800,7297.0,2005-2009
"Census Tract 1909, Cook County, Illinois",659.0,231.0,439.0,321.0,181.0,98.0,49.0,29.0,17,31,190900,2007.0,2005-2009
"Census Tract 1910, Cook County, Illinois",755.0,250.0,347.0,311.0,296.0,176.0,89.0,39.0,17,31,191000,2263.0,2005-2009
"Census Tract 1911, Cook County, Illinois",2591.0,1233.0,1472.0,1127.0,693.0,574.0,359.0,200.0,17,31,191100,8249.0,2005-2009
"Census Tract 1912, Cook County, Illinois",1727.0,271.0,703.0,439.0,352.0,97.0,72.0,143.0,17,31,191200,3804.0,2005-2009
"Census Tract 1913, Cook County, Illinois",3962.0,1817.0,1436.0,1501.0,1301.0,788.0,417.0,316.0,17,31,191300,11538.0,2005-2009
"Census Tract 1914, Cook County, Illinois",316.0,99.0,194.0,260.0,148.0,187.0,39.0,32.0,17,31,191400,1275.0,2005-2009
"Census Tract 2001, Cook County, Illinois",1398.0,507.0,550.0,883.0,502.0,329.0,167.0,156.0,17,31,200100,4492.0,2005-2009
"Census Tract 2002, Cook County, Illinois",1743.0,536.0,875.0,815.0,780.0,494.0,252.0,57.0,17,31,200200,5552.0,2005-2009
"Census Tract 2003, Cook County, Illinois",658.0,240.0,176.0,353.0,357.0,141.0,184.0,132.0,17,31,200300,2241.0,2005-2009
"Census Tract 2004, Cook County, Illinois",2504.0,1145.0,1519.0,1274.0,1104.0,539.0,462.0,180.0,17,31,200400,8727.0,2005-2009
"Census Tract 2005, Cook County, Illinois",1499.0,596.0,597.0,691.0,422.0,305.0,27.0,88.0,17,31,200500,4225.0,2005-2009
"Census Tract 2006, Cook County, Illinois",225.0,64.0,124.0,114.0,46.0,250.0,0.0,0.0,17,31,200600,823.0,2005-2009
"Census Tract 2101, Cook County, Illinois",1062.0,423.0,998.0,771.0,558.0,581.0,156.0,111.0,17,31,210100,4660.0,2005-2009
"Census Tract 2102, Cook County, Illinois",291.0,75.0,282.0,256.0,171.0,153.0,45.0,106.0,17,31,210200,1379.0,2005-2009
"Census Tract 2103, Cook County, Illinois",1321.0,433.0,1407.0,1168.0,597.0,421.0,409.0,199.0,17,31,210300,5955.0,2005-2009
"Census Tract 2104, Cook County, Illinois",455.0,303.0,483.0,352.0,434.0,211.0,63.0,114.0,17,31,210400,2415.0,2005-2009
"Census Tract 2105, Cook County, Illinois",2620.0,1539.0,1801.0,1305.0,1246.0,650.0,358.0,373.0,17,31,210500,9892.0,2005-2009
"Census Tract 2106, Cook County, Illinois",1887.0,1023.0,1685.0,1506.0,917.0,840.0,278.0,285.0,17,31,210600,8421.0,2005-2009
"Census Tract 2107, Cook County, Illinois",1081.0,717.0,1155.0,748.0,410.0,596.0,190.0,42.0,17,31,210700,4939.0,2005-2009
"Census Tract 2108, Cook County, Illinois",456.0,142.0,354.0,283.0,96.0,64.0,55.0,0.0,17,31,210800,1450.0,2005-2009
"Census Tract 2109, Cook County, Illinois",693.0,221.0,586.0,643.0,356.0,213.0,192.0,172.0,17,31,210900,3076.0,2005-2009
"Census Tract 2201, Cook County, Illinois",125.0,73.0,464.0,267.0,130.0,41.0,37.0,27.0,17,31,220100,1164.0,2005-2009
"Census Tract 2202, Cook County, Illinois",513.0,214.0,488.0,394.0,259.0,173.0,29.0,68.0,17,31,220200,2138.0,2005-2009
"Census Tract 2203, Cook County, Illinois",828.0,88.0,591.0,646.0,195.0,122.0,95.0,83.0,17,31,220300,2648.0,2005-2009
"Census Tract 2204, Cook County, Illinois",216.0,328.0,826.0,305.0,340.0,202.0,284.0,240.0,17,31,220400,2741.0,2005-2009
"Census Tract 2604, Cook County, Illinois",359.0,122.0,94.0,52.0,331.0,127.0,80.0,66.0,17,31,260400,1231.0,2005-2009
"Census Tract 2605, Cook County, Illinois",429.0,113.0,285.0,168.0,285.0,213.0,77.0,71.0,17,31,260500,1641.0,2005-2009
"Census Tract 2606, Cook County, Illinois",985.0,556.0,373.0,241.0,350.0,99.0,88.0,77.0,17,31,260600,2769.0,2005-2009
"Census Tract 2607, Cook County, Illinois",788.0,318.0,330.0,342.0,224.0,95.0,33.0,104.0,17,31,260700,2234.0,2005-2009
"Census Tract 2608, Cook County, Illinois",819.0,418.0,353.0,380.0,517.0,182.0,123.0,109.0,17,31,260800,2901.0,2005-2009
"Census Tract 2609, Cook County, Illinois",584.0,270.0,140.0,252.0,181.0,139.0,53.0,68.0,17,31,260900,1687.0,2005-2009
"Census Tract 2610, Cook County, Illinois",737.0,270.0,289.0,266.0,218.0,180.0,128.0,111.0,17,31,261000,2199.0,2005-2009
"Census Tract 2701, Cook County, Illinois",19.0,25.0,0.0,19.0,26.0,0.0,20.0,10.0,17,31,270100,119.0,2005-2009
"Census Tract 2702, Cook County, Illinois",483.0,101.0,228.0,265.0,226.0,121.0,86.0,228.0,17,31,270200,1738.0,2005-2009
"Census Tract 2703, Cook County, Illinois",794.0,766.0,328.0,59.0,275.0,76.0,108.0,39.0,17,31,270300,2445.0,2005-2009
"Census Tract 2704, Cook County, Illinois",589.0,119.0,260.0,114.0,161.0,73.0,21.0,106.0,17,31,270400,1443.0,2005-2009
"Census Tract 2705, Cook County, Illinois",640.0,201.0,227.0,515.0,88.0,118.0,183.0,113.0,17,31,270500,2085.0,2005-2009
"Census Tract 2706, Cook County, Illinois",338.0,218.0,120.0,106.0,89.0,0.0,30.0,31.0,17,31,270600,932.0,2005-2009
"Census Tract 2707, Cook County, Illinois",120.0,67.0,0.0,40.0,142.0,45.0,28.0,40.0,17,31,270700,482.0,2005-2009
"Census Tract 2708, Cook County, Illinois",196.0,108.0,92.0,42.0,87.0,99.0,10.0,0.0,17,31,270800,634.0,2005-2009
"Census Tract 2709, Cook County, Illinois",40.0,0.0,33.0,62.0,19.0,0.0,0.0,0.0,17,31,270900,154.0,2005-2009
"Census Tract 2710, Cook County, Illinois",352.0,152.0,52.0,96.0,69.0,102.0,72.0,60.0,17,31,271000,955.0,2005-2009
"Census Tract 2711, Cook County, Illinois",331.0,113.0,303.0,148.0,162.0,177.0,52.0,64.0,17,31,271100,1350.0,2005-2009
