NAME,no_hs,hs,some_college,state,county,tract,bachelors,graduate,population,period
"Census Tract 1608, Cook County, Illinois",0.18294686872375387,0.17874748950155195,0.21781997443856124,17,31,160800,0.13857951433266386,0.045097681212342526,5477.0,2005-2009
"Census Tract 1609, Cook County, Illinois",0.15098314606741572,0.1818820224719101,0.21242977528089887,17,31,160900,0.13974719101123595,0.10007022471910113,2848.0,2005-2009
"Census Tract 1610, Cook County, Illinois",0.10222222222222223,0.17444444444444446,0.20444444444444446,17,31,161000,0.14888888888888888,0.14333333333333334,1800.0,2005-2009
"Census Tract 1611, Cook County, Illinois",0.039764359351988215,0.15267550319096712,0.12911143838978892,17,31,161100,0.16936671575846834,0.242513500245459,2037.0,2005-2009
"Census Tract 1612, Cook County, Illinois",0.21481744062389224,0.19532080822403403,0.17546969159872386,17,31,161200,0.10669975186104218,0.08862105636299185,2821.0,2005-2009
"Census Tract 1613, Cook County, Illinois",0.1934623082054703,0.2530575939515232,0.19479653102068045,17,31,161300,0.08138759172781855,0.02846342005781632,4497.0,2005-2009
"Census Tract 1701, Cook County, Illinois",0.17683946488294314,0.24832775919732442,0.22366220735785952,17,31,170100,0.13879598662207357,0.017558528428093644,2392.0,2005-2009
"Census Tract 1702, Cook County, Illinois",0.13565562163693004,0.16256018125177005,0.3038799207023506,17,31,170200,0.12489379779099405,0.06938544321721891,3531.0,2005-2009
"Census Tract 1703, Cook County, Illinois",0.10320781032078104,0.3052649930264993,0.22210599721059973,17,31,170300,0.08071827057182705,0.07635983263598327,5736.0,2005-2009
"Census Tract 1704, Cook County, Illinois",0.14984033407025302,0.27855563743551953,0.20068779169737166,17,31,170400,0.10709899287644313,0.0707442888725129,4071.0,2005-2009
"Census Tract 1705, Cook County, Illinois",0.09658650116369279,0.2251745539177657,0.2982932505818464,17,31,170500,0.09425911559348332,0.08688906128782002,5156.0,2005-2009
"Census Tract 1706, Cook County, Illinois",0.14440298507462687,0.257089552238806,0.24440298507462688,17,31,170600,0.1253731343283582,0.054104477611940295,2680.0,2005-2009
"Census Tract 1707, Cook County, Illinois",0.1382047071702244,0.3286808976464149,0.22933771209633277,17,31,170700,0.04926108374384237,0.03284072249589491,3654.0,2005-2009
"Census Tract 1708, Cook County, Illinois",0.11415070877891072,0.3180800795821935,0.19224073613528972,17,31,170800,0.11763242974384482,0.05222581447401144,4021.0,2005-2009
"Census Tract 1709, Cook County, Illinois",0.2029562251279136,0.18419556566230813,0.328595793064241,17,31,170900,0.06367254121660035,0.03752131893121091,1759.0,2005-2009
