NAME,female,state,county,tract,population,period
"Census Tract 1608, Cook County, Illinois",0.4971699835676465,17,31,160800,5477.0,2005-2009
"Census Tract 1609, Cook County, Illinois",0.4750702247191011,17,31,160900,2848.0,2005-2009
"Census Tract 1610, Cook County, Illinois",0.5127777777777778,17,31,161000,1800.0,2005-2009
"Census Tract 1611, Cook County, Illinois",0.5017182130584192,17,31,161100,2037.0,2005-2009
"Census Tract 1612, Cook County, Illinois",0.5249911378943637,17,31,161200,2821.0,2005-2009
"Census Tract 1613, Cook County, Illinois",0.4656437625083389,17,31,161300,4497.0,2005-2009
"Census Tract 1701, Cook County, Illinois",0.5209030100334449,17,31,170100,2392.0,2005-2009
"Census Tract 1702, Cook County, Illinois",0.5267629566694987,17,31,170200,3531.0,2005-2009
"Census Tract 1703, Cook County, Illinois",0.44595536959553694,17,31,170300,5736.0,2005-2009
"Census Tract 1704, Cook County, Illinois",0.5293539670842545,17,31,170400,4071.0,2005-2009
"Census Tract 1705, Cook County, Illinois",0.5269588828549263,17,31,170500,5156.0,2005-2009
"Census Tract 1706, Cook County, Illinois",0.498134328358209,17,31,170600,2680.0,2005-2009
"Census Tract 1707, Cook County, Illinois",0.49917898193760263,17,31,170700,3654.0,2005-2009
"Census Tract 1708, Cook County, Illinois",0.5031086794329769,17,31,170800,4021.0,2005-2009
"Census Tract 1709, Cook County, Illinois",0.549175667993178,17,31,170900,1759.0,2005-2009
"Census Tract 1710, Cook County, Illinois",0.49308948764484156,17,31,171000,7163.0,2005-2009
"Census Tract 1711, Cook County, Illinois",0.48433681404132417,17,31,171100,4501.0,2005-2009
"Census Tract 1801, Cook County, Illinois",0.523943661971831,17,31,180100,6745.0,2005-2009
"Census Tract 1802, Cook County, Illinois",0.48247078464106846,17,31,180200,6589.0,2005-2009
"Census Tract 1803, Cook County, Illinois",0.5769230769230769,17,31,180300,1222.0,2005-2009
"Census Tract 1901, Cook County, Illinois",0.47143444307439375,17,31,190100,2433.0,2005-2009
"Census Tract 1902, Cook County, Illinois",0.5208860759493671,17,31,190200,6320.0,2005-2009
"Census Tract 1903, Cook County, Illinois",0.5199411872817497,17,31,190300,5441.0,2005-2009
"Census Tract 1904, Cook County, Illinois",0.493289243337872,17,31,190400,10282.0,2005-2009
"Census Tract 1905, Cook County, Illinois",0.4708286882199926,17,31,190500,2691.0,2005-2009
