NAME,B15001_004E,B15001_005E,B15001_012E,B15001_013E,B15001_020E,B15001_021E,B15001_028E,B15001_029E,B15001_036E,B15001_037E,B15001_045E,B15001_046E,B15001_053E,B15001_054E,B15001_061E,B15001_062E,B15001_069E,B15001_070E,B15001_077E,B15001_078E,B15001_006E,B15001_014E,B15001_022E,B15001_030E,B15001_038E,B15001_047E,B15001_055E,B15001_063E,B15001_071E,B15001_079E,B15001_007E,B15001_008E,B15001_015E,B15001_016E,B15001_023E,B15001_024E,B15001_031E,B15001_032E,B15001_039E,B15001_040E,B15001_048E,B15001_049E,B15001_056E,B15001_057E,B15001_064E,B15001_065E,B15001_072E,B15001_073E,state,county,tract,B15001_080E,B15001_081E,B15001_009E,B15001_017E,B15001_025E,B15001_033E,B15001_041E,B15001_050E,B15001_058E,B15001_066E,B15001_074E,B15001_082E,B15001_010E,B15001_018E,B15001_026E,B15001_034E,B15001_042E,B15001_051E,B15001_059E,B15001_067E,B15001_075E,B15001_083E
"Census Tract 1608, Cook County, Illinois",0.0,19.0,48.0,0.0,82.0,149.0,32.0,63.0,114.0,8.0,10.0,21.0,20.0,10.0,39.0,37.0,90.0,83.0,125.0,52.0,18.0,186.0,73.0,226.0,30.0,52.0,124.0,100.0,77.0,93.0,87.0,33.0,123.0,90.0,145.0,53.0,143.0,22.0,35.0,0.0,29.0,0.0,70.0,61.0,102.0,37.0,143.0,0.0,17,031,160800,20.0,0.0,19.0,117.0,56.0,73.0,10.0,20.0,237.0,85.0,121.0,21.0,0.0,10.0,31.0,77.0,19.0,0.0,49.0,29.0,32.0,0.0
"Census Tract 1609, Cook County, Illinois",0.0,0.0,0.0,28.0,70.0,16.0,0.0,34.0,109.0,0.0,0.0,9.0,0.0,10.0,9.0,0.0,100.0,19.0,26.0,0.0,48.0,70.0,26.0,113.0,34.0,0.0,0.0,55.0,133.0,39.0,28.0,0.0,36.0,34.0,60.0,12.0,117.0,36.0,32.0,30.0,8.0,0.0,41.0,0.0,42.0,0.0,79.0,25.0,17,031,160900,13.0,12.0,0.0,22.0,41.0,88.0,0.0,49.0,28.0,47.0,111.0,12.0,0.0,48.0,6.0,8.0,12.0,8.0,44.0,86.0,23.0,50.0
"Census Tract 1610, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,35.0,26.0,21.0,0.0,0.0,23.0,0.0,0.0,32.0,0.0,22.0,0.0,15.0,10.0,27.0,47.0,36.0,60.0,14.0,0.0,57.0,0.0,44.0,29.0,12.0,26.0,50.0,0.0,0.0,0.0,32.0,19.0,0.0,0.0,42.0,34.0,30.0,0.0,39.0,0.0,53.0,19.0,17,031,161000,12.0,0.0,0.0,12.0,9.0,77.0,0.0,0.0,78.0,18.0,74.0,0.0,0.0,52.0,72.0,12.0,12.0,0.0,39.0,37.0,34.0,0.0
"Census Tract 1611, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,4.0,28.0,0.0,43.0,112.0,14.0,0.0,0.0,9.0,51.0,54.0,0.0,0.0,41.0,0.0,56.0,8.0,16.0,9.0,13.0,0.0,56.0,0.0,8.0,0.0,8.0,0.0,40.0,0.0,17,031,161100,8.0,0.0,7.0,27.0,73.0,25.0,8.0,10.0,108.0,8.0,79.0,0.0,0.0,65.0,59.0,97.0,13.0,0.0,67.0,87.0,106.0,0.0
"Census Tract 1612, Cook County, Illinois",0.0,33.0,0.0,0.0,61.0,55.0,119.0,12.0,21.0,4.0,0.0,3.0,13.0,0.0,61.0,30.0,103.0,27.0,18.0,46.0,17.0,102.0,80.0,99.0,16.0,27.0,63.0,9.0,106.0,32.0,36.0,0.0,0.0,18.0,0.0,0.0,74.0,32.0,0.0,0.0,93.0,0.0,27.0,62.0,29.0,13.0,79.0,0.0,17,031,161200,15.0,17.0,0.0,45.0,0.0,39.0,4.0,0.0,152.0,0.0,56.0,5.0,0.0,7.0,84.0,82.0,0.0,0.0,14.0,51.0,12.0,0.0
"Census Tract 1613, Cook County, Illinois",28.0,22.0,73.0,43.0,18.0,10.0,128.0,78.0,21.0,54.0,0.0,50.0,42.0,46.0,35.0,43.0,84.0,51.0,22.0,22.0,95.0,179.0,174.0,94.0,33.0,113.0,162.0,30.0,183.0,75.0,50.0,0.0,103.0,29.0,35.0,36.0,165.0,12.0,21.0,9.0,49.0,0.0,39.0,40.0,65.0,40.0,84.0,79.0,17,031,161300,20.0,0.0,11.0,101.0,26.0,89.0,0.0,0.0,23.0,61.0,55.0,0.0,0.0,24.0,32.0,10.0,0.0,0.0,10.0,42.0,10.0,0.0
"Census Tract 1701, Cook County, Illinois",0.0,12.0,0.0,0.0,0.0,22.0,71.0,24.0,32.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,91.0,72.0,14.0,36.0,0.0,62.0,102.0,0.0,86.0,0.0,12.0,282.0,11.0,0.0,9.0,0.0,68.0,0.0,88.0,0.0,24.0,36.0,67.0,0.0,3.0,0.0,0.0,0.0,96.0,11.0,17,031,170100,73.0,49.0,0.0,0.0,81.0,36.0,38.0,2.0,67.0,71.0,0.0,37.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,25.0,0.0
"Census Tract 1702, Cook County, Illinois",0.0,49.0,0.0,0.0,17.0,46.0,25.0,47.0,67.0,7.0,16.0,0.0,18.0,12.0,0.0,11.0,86.0,38.0,27.0,13.0,0.0,32.0,73.0,76.0,33.0,29.0,30.0,24.0,136.0,141.0,81.0,27.0,13.0,54.0,85.0,26.0,86.0,15.0,34.0,0.0,59.0,22.0,48.0,20.0,149.0,38.0,134.0,83.0,17,031,170200,36.0,63.0,6.0,134.0,59.0,89.0,30.0,0.0,25.0,30.0,65.0,3.0,10.0,47.0,27.0,12.0,27.0,0.0,43.0,34.0,45.0,0.0
"Census Tract 1703, Cook County, Illinois",0.0,54.0,0.0,0.0,0.0,41.0,0.0,70.0,55.0,45.0,12.0,17.0,0.0,0.0,10.0,8.0,9.0,66.0,146.0,59.0,103.0,115.0,295.0,373.0,197.0,0.0,90.0,83.0,290.0,205.0,140.0,9.0,119.0,13.0,26.0,73.0,118.0,52.0,76.0,38.0,50.0,20.0,27.0,27.0,112.0,52.0,188.0,108.0,17,031,170300,26.0,0.0,0.0,94.0,41.0,39.0,28.0,0.0,113.0,72.0,76.0,0.0,0.0,96.0,53.0,59.0,0.0,0.0,88.0,42.0,84.0,16.0
"Census Tract 1704, Cook County, Illinois",0.0,20.0,0.0,0.0,0.0,59.0,80.0,28.0,41.0,50.0,0.0,12.0,0.0,9.0,13.0,0.0,84.0,10.0,80.0,124.0,0.0,113.0,109.0,183.0,37.0,9.0,27.0,142.0,233.0,281.0,33.0,0.0,71.0,20.0,91.0,19.0,153.0,38.0,0.0,0.0,22.0,11.0,28.0,15.0,84.0,20.0,72.0,71.0,17,031,170400,32.0,37.0,12.0,62.0,13.0,88.0,0.0,65.0,129.0,47.0,20.0,0.0,0.0,62.0,10.0,109.0,0.0,0.0,26.0,11.0,70.0,0.0
"Census Tract 1705, Cook County, Illinois",0.0,29.0,0.0,10.0,0.0,11.0,32.0,66.0,31.0,33.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,49.0,66.0,115.0,144.0,138.0,39.0,215.0,101.0,27.0,83.0,115.0,159.0,140.0,87.0,0.0,90.0,36.0,91.0,48.0,207.0,100.0,76.0,0.0,86.0,0.0,61.0,53.0,168.0,16.0,252.0,60.0,17,031,170500,86.0,21.0,28.0,85.0,49.0,45.0,15.0,18.0,124.0,5.0,61.0,56.0,0.0,31.0,81.0,83.0,23.0,0.0,20.0,40.0,127.0,43.0
"Census Tract 1706, Cook County, Illinois",12.0,24.0,0.0,0.0,17.0,9.0,0.0,41.0,9.0,24.0,0.0,9.0,0.0,32.0,0.0,17.0,17.0,26.0,88.0,62.0,8.0,61.0,67.0,92.0,58.0,6.0,48.0,38.0,133.0,178.0,11.0,54.0,48.0,16.0,23.0,47.0,46.0,61.0,45.0,0.0,55.0,9.0,11.0,32.0,37.0,7.0,28.0,68.0,17,031,170600,57.0,0.0,4.0,36.0,46.0,56.0,0.0,9.0,50.0,80.0,44.0,11.0,0.0,0.0,27.0,46.0,0.0,0.0,14.0,19.0,39.0,0.0
