NAME,B01001_026E,state,county,tract
"Census Tract 1608, Cook County, Illinois",2723.0,17,031,160800
"Census Tract 1609, Cook County, Illinois",1353.0,17,031,160900
"Census Tract 1610, Cook County, Illinois",923.0,17,031,161000
"Census Tract 1611, Cook County, Illinois",1022.0,17,031,161100
"Census Tract 1612, Cook County, Illinois",1481.0,17,031,161200
"Census Tract 1613, Cook County, Illinois",2094.0,17,031,161300
"Census Tract 1701, Cook County, Illinois",1246.0,17,031,170100
"Census Tract 1702, Cook County, Illinois",1860.0,17,031,170200
"Census Tract 1703, Cook County, Illinois",2558.0,17,031,170300
"Census Tract 1704, Cook County, Illinois",2155.0,17,031,170400
"Census Tract 1705, Cook County, Illinois",2717.0,17,031,170500
"Census Tract 1706, Cook County, Illinois",1335.0,17,031,170600
"Census Tract 1707, Cook County, Illinois",1824.0,17,031,170700
"Census Tract 1708, Cook County, Illinois",2023.0,17,031,170800
"Census Tract 1709, Cook County, Illinois",966.0,17,031,170900
"Census Tract 1710, Cook County, Illinois",3532.0,17,031,171000
"Census Tract 1711, Cook County, Illinois",2180.0,17,031,171100
"Census Tract 1801, Cook County, Illinois",3534.0,17,031,180100
"Census Tract 1802, Cook County, Illinois",3179.0,17,031,180200
"Census Tract 1803, Cook County, Illinois",705.0,17,031,180300
"Census Tract 1901, Cook County, Illinois",1147.0,17,031,190100
"Census Tract 1902, Cook County, Illinois",3292.0,17,031,190200
"Census Tract 1903, Cook County, Illinois",2829.0,17,031,190300
"Census Tract 1904, Cook County, Illinois",5072.0,17,031,190400
"Census Tract 1905, Cook County, Illinois",1267.0,17,031,190500
"Census Tract 1906, Cook County, Illinois",4687.0,17,031,190600
"Census Tract 1907, Cook County, Illinois",4115.0,17,031,190700
"Census Tract 1908, Cook County, Illinois",3584.0,17,031,190800
"Census Tract 1909, Cook County, Illinois",938.0,17,031,190900
"Census Tract 1910, Cook County, Illinois",1235.0,17,031,191000
"Census Tract 1911, Cook County, Illinois",4046.0,17,031,191100
"Census Tract 1912, Cook County, Illinois",1845.0,17,031,191200
"Census Tract 1913, Cook County, Illinois",5615.0,17,031,191300
"Census Tract 1914, Cook County, Illinois",576.0,17,031,191400
"Census Tract 2001, Cook County, Illinois",2105.0,17,031,200100
"Census Tract 2002, Cook County, Illinois",2838.0,17,031,200200
"Census Tract 2003, Cook County, Illinois",1075.0,17,031,200300
"Census Tract 2004, Cook County, Illinois",4235.0,17,031,200400
"Census Tract 2005, Cook County, Illinois",1994.0,17,031,200500
"Census Tract 2006, Cook County, Illinois",451.0,17,031,200600
"Census Tract 2101, Cook County, Illinois",2428.0,17,031,210100
"Census Tract 2102, Cook County, Illinois",614.0,17,031,210200
"Census Tract 2103, Cook County, Illinois",2679.0,17,031,210300
"Census Tract 2104, Cook County, Illinois",1012.0,17,031,210400
"Census Tract 2105, Cook County, Illinois",4515.0,17,031,210500
"Census Tract 2106, Cook County, Illinois",3676.0,17,031,210600
"Census Tract 2107, Cook County, Illinois",2245.0,17,031,210700
"Census Tract 2108, Cook County, Illinois",585.0,17,031,210800
"Census Tract 2109, Cook County, Illinois",1635.0,17,031,210900
"Census Tract 2201, Cook County, Illinois",538.0,17,031,220100
"Census Tract 2202, Cook County, Illinois",1107.0,17,031,220200
"Census Tract 2203, Cook County, Illinois",1251.0,17,031,220300
"Census Tract 2204, Cook County, Illinois",1406.0,17,031,220400
"Census Tract 2604, Cook County, Illinois",675.0,17,031,260400
"Census Tract 2605, Cook County, Illinois",865.0,17,031,260500
"Census Tract 2606, Cook County, Illinois",1679.0,17,031,260600
"Census Tract 2607, Cook County, Illinois",1048.0,17,031,260700
"Census Tract 2608, Cook County, Illinois",1553.0,17,031,260800
"Census Tract 2609, Cook County, Illinois",991.0,17,031,260900
"Census Tract 2610, Cook County, Illinois",1172.0,17,031,261000
"Census Tract 2701, Cook County, Illinois",109.0,17,031,270100
"Census Tract 2702, Cook County, Illinois",882.0,17,031,270200
"Census Tract 2703, Cook County, Illinois",912.0,17,031,270300
"Census Tract 2704, Cook County, Illinois",722.0,17,031,270400
"Census Tract 2705, Cook County, Illinois",1071.0,17,031,270500
"Census Tract 2706, Cook County, Illinois",538.0,17,031,270600
"Census Tract 2707, Cook County, Illinois",224.0,17,031,270700
"Census Tract 2708, Cook County, Illinois",333.0,17,031,270800
"Census Tract 2709, Cook County, Illinois",80.0,17,031,270900
"Census Tract 2710, Cook County, Illinois",522.0,17,031,271000
"Census Tract 2711, Cook County, Illinois",793.0,17,031,271100
"Census Tract 2712, Cook County, Illinois",984.0,17,031,271200
"Census Tract 2713, Cook County, Illinois",702.0,17,031,271300
"Census Tract 2714, Cook County, Illinois",708.0,17,031,271400
"Census Tract 2715, Cook County, Illinois",747.0,17,031,271500
"Census Tract 2716, Cook County, Illinois",256.0,17,031,271600
"Census Tract 2717, Cook County, Illinois",611.0,17,031,271700
"Census Tract 2718, Cook County, Illinois",364.0,17,031,271800
"Census Tract 2719, Cook County, Illinois",368.0,17,031,271900
"Census Tract 2801, Cook County, Illinois",1468.0,17,031,280100
"Census Tract 2802, Cook County, Illinois",1551.0,17,031,280200
"Census Tract 2803, Cook County, Illinois",377.0,17,031,280300
"Census Tract 2804, Cook County, Illinois",576.0,17,031,280400
"Census Tract 2805, Cook County, Illinois",468.0,17,031,280500
"Census Tract 2806, Cook County, Illinois",63.0,17,031,280600
"Census Tract 2807, Cook County, Illinois",159.0,17,031,280700
"Census Tract 2808, Cook County, Illinois",313.0,17,031,280800
"Census Tract 2809, Cook County, Illinois",768.0,17,031,280900
"Census Tract 2810, Cook County, Illinois",128.0,17,031,281000
"Census Tract 2811, Cook County, Illinois",213.0,17,031,281100
"Census Tract 2812, Cook County, Illinois",372.0,17,031,281200
"Census Tract 2813, Cook County, Illinois",1077.0,17,031,281300
"Census Tract 2814, Cook County, Illinois",166.0,17,031,281400
"Census Tract 2815, Cook County, Illinois",187.0,17,031,281500
"Census Tract 2816, Cook County, Illinois",408.0,17,031,281600
"Census Tract 2817, Cook County, Illinois",1653.0,17,031,281700
"Census Tract 2818, Cook County, Illinois",1264.0,17,031,281800
"Census Tract 2819, Cook County, Illinois",1562.0,17,031,281900
"Census Tract 2820, Cook County, Illinois",560.0,17,031,282000
"Census Tract 2821, Cook County, Illinois",1045.0,17,031,282100
"Census Tract 2822, Cook County, Illinois",926.0,17,031,282200
"Census Tract 2823, Cook County, Illinois",333.0,17,031,282300
"Census Tract 2824, Cook County, Illinois",782.0,17,031,282400
"Census Tract 2825, Cook County, Illinois",179.0,17,031,282500
"Census Tract 2826, Cook County, Illinois",198.0,17,031,282600
"Census Tract 2827, Cook County, Illinois",1124.0,17,031,282700
"Census Tract 2205, Cook County, Illinois",1464.0,17,031,220500
"Census Tract 2206, Cook County, Illinois",3704.0,17,031,220600
"Census Tract 2207, Cook County, Illinois",4273.0,17,031,220700
"Census Tract 2208, Cook County, Illinois",20.0,17,031,220800
"Census Tract 2209, Cook County, Illinois",3424.0,17,031,220900
"Census Tract 2210, Cook County, Illinois",1504.0,17,031,221000
"Census Tract 2211, Cook County, Illinois",2836.0,17,031,221100
"Census Tract 2212, Cook County, Illinois",1097.0,17,031,221200
"Census Tract 2213, Cook County, Illinois",1622.0,17,031,221300
"Census Tract 2214, Cook County, Illinois",1222.0,17,031,221400
"Census Tract 2215, Cook County, Illinois",1671.0,17,031,221500
"Census Tract 2216, Cook County, Illinois",1359.0,17,031,221600
"Census Tract 2217, Cook County, Illinois",1051.0,17,031,221700
"Census Tract 2218, Cook County, Illinois",973.0,17,031,221800
"Census Tract 2219, Cook County, Illinois",306.0,17,031,221900
"Census Tract 2220, Cook County, Illinois",859.0,17,031,222000
"Census Tract 2221, Cook County, Illinois",391.0,17,031,222100
"Census Tract 2222, Cook County, Illinois",954.0,17,031,222200
"Census Tract 2223, Cook County, Illinois",953.0,17,031,222300
"Census Tract 2224, Cook County, Illinois",1134.0,17,031,222400
"Census Tract 2225, Cook County, Illinois",765.0,17,031,222500
"Census Tract 2226, Cook County, Illinois",794.0,17,031,222600
"Census Tract 2227, Cook County, Illinois",1662.0,17,031,222700
"Census Tract 2228, Cook County, Illinois",596.0,17,031,222800
"Census Tract 2229, Cook County, Illinois",809.0,17,031,222900
"Census Tract 2301, Cook County, Illinois",1048.0,17,031,230100
"Census Tract 2302, Cook County, Illinois",882.0,17,031,230200
"Census Tract 2303, Cook County, Illinois",561.0,17,031,230300
"Census Tract 2304, Cook County, Illinois",1266.0,17,031,230400
"Census Tract 2305, Cook County, Illinois",1447.0,17,031,230500
"Census Tract 2306, Cook County, Illinois",3121.0,17,031,230600
"Census Tract 2307, Cook County, Illinois",3267.0,17,031,230700
"Census Tract 2308, Cook County, Illinois",799.0,17,031,230800
"Census Tract 2309, Cook County, Illinois",2922.0,17,031,230900
"Census Tract 2310, Cook County, Illinois",1504.0,17,031,231000
"Census Tract 2311, Cook County, Illinois",693.0,17,031,231100
"Census Tract 2312, Cook County, Illinois",3229.0,17,031,231200
"Census Tract 2313, Cook County, Illinois",3323.0,17,031,231300
"Census Tract 2314, Cook County, Illinois",0.0,17,031,231400
"Census Tract 2315, Cook County, Illinois",3161.0,17,031,231500
"Census Tract 2316, Cook County, Illinois",1037.0,17,031,231600
"Census Tract 2317, Cook County, Illinois",669.0,17,031,231700
"Census Tract 2318, Cook County, Illinois",283.0,17,031,231800
"Census Tract 2401, Cook County, Illinois",15.0,17,031,240100
"Census Tract 2402, Cook County, Illinois",787.0,17,031,240200
"Census Tract 2403, Cook County, Illinois",530.0,17,031,240300
"Census Tract 2404, Cook County, Illinois",443.0,17,031,240400
"Census Tract 2405, Cook County, Illinois",846.0,17,031,240500
"Census Tract 2406, Cook County, Illinois",555.0,17,031,240600
"Census Tract 2407, Cook County, Illinois",786.0,17,031,240700
"Census Tract 2408, Cook County, Illinois",979.0,17,031,240800
"Census Tract 2409, Cook County, Illinois",743.0,17,031,240900
"Census Tract 2410, Cook County, Illinois",1463.0,17,031,241000
"Census Tract 2411, Cook County, Illinois",2083.0,17,031,241100
"Census Tract 2412, Cook County, Illinois",1002.0,17,031,241200
"Census Tract 2413, Cook County, Illinois",850.0,17,031,241300
"Census Tract 2414, Cook County, Illinois",2317.0,17,031,241400
"Census Tract 2415, Cook County, Illinois",1464.0,17,031,241500
"Census Tract 2416, Cook County, Illinois",2089.0,17,031,241600
"Census Tract 2417, Cook County, Illinois",19.0,17,031,241700
"Census Tract 2418, Cook County, Illinois",550.0,17,031,241800
"Census Tract 2419, Cook County, Illinois",497.0,17,031,241900
"Census Tract 2420, Cook County, Illinois",1943.0,17,031,242000
"Census Tract 2421, Cook County, Illinois",1504.0,17,031,242100
"Census Tract 2422, Cook County, Illinois",1926.0,17,031,242200
"Census Tract 2423, Cook County, Illinois",1919.0,17,031,242300
"Census Tract 2424, Cook County, Illinois",1465.0,17,031,242400
"Census Tract 2425, Cook County, Illinois",2380.0,17,031,242500
"Census Tract 2426, Cook County, Illinois",2606.0,17,031,242600
"Census Tract 2427, Cook County, Illinois",1322.0,17,031,242700
"Census Tract 2428, Cook County, Illinois",698.0,17,031,242800
"Census Tract 2429, Cook County, Illinois",925.0,17,031,242900
"Census Tract 2430, Cook County, Illinois",1158.0,17,031,243000
"Census Tract 2431, Cook County, Illinois",1008.0,17,031,243100
"Census Tract 2432, Cook County, Illinois",901.0,17,031,243200
"Census Tract 2433, Cook County, Illinois",1226.0,17,031,243300
"Census Tract 2434, Cook County, Illinois",1116.0,17,031,243400
"Census Tract 2435, Cook County, Illinois",1470.0,17,031,243500
"Census Tract 2436, Cook County, Illinois",365.0,17,031,243600
