NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 2407, Cook County, Illinois",829.0,598.0,17,031,240700
"Census Tract 8221.02, Cook County, Illinois",3208.0,1544.0,17,031,822102
"Census Tract 2226, Cook County, Illinois",872.0,682.0,17,031,222600
"Census Tract 2308, Cook County, Illinois",223.0,972.0,17,031,230800
"Census Tract 202, Cook County, Illinois",5673.0,582.0,17,031,020200
"Census Tract 317, Cook County, Illinois",5539.0,986.0,17,031,031700
"Census Tract 313, Cook County, Illinois",6663.0,880.0,17,031,031300
"Census Tract 8147, Cook County, Illinois",2111.0,4127.0,17,031,814700
"Census Tract 201, Cook County, Illinois",3501.0,489.0,17,031,020100
"Census Tract 8361, Cook County, Illinois",1700.0,133.0,17,031,836100
"Census Tract 8362, Cook County, Illinois",1560.0,30.0,17,031,836200
"Census Tract 8100, Cook County, Illinois",4810.0,115.0,17,031,810000
"Census Tract 8102, Cook County, Illinois",5452.0,487.0,17,031,810200
"Census Tract 8110, Cook County, Illinois",3564.0,617.0,17,031,811000
"Census Tract 8438, Cook County, Illinois",1443.0,413.0,17,031,843800
"Census Tract 8439, Cook County, Illinois",3420.0,208.0,17,031,843900
"Census Tract 9801, Cook County, Illinois",0.0,0.0,17,031,980100
"Census Tract 9800, Cook County, Illinois",0.0,0.0,17,031,980000
"Census Tract 9900, Cook County, Illinois",0.0,0.0,17,031,990000
"Census Tract 301.02, Cook County, Illinois",2552.0,404.0,17,031,030102
"Census Tract 301.03, Cook County, Illinois",1879.0,359.0,17,031,030103
"Census Tract 301.01, Cook County, Illinois",2916.0,811.0,17,031,030101
"Census Tract 301.04, Cook County, Illinois",3393.0,295.0,17,031,030104
"Census Tract 306.01, Cook County, Illinois",2993.0,545.0,17,031,030601
"Census Tract 306.03, Cook County, Illinois",1919.0,129.0,17,031,030603
"Census Tract 306.04, Cook County, Illinois",2870.0,91.0,17,031,030604
"Census Tract 307.01, Cook County, Illinois",1649.0,85.0,17,031,030701
"Census Tract 307.02, Cook County, Illinois",1432.0,28.0,17,031,030702
"Census Tract 307.03, Cook County, Illinois",2429.0,150.0,17,031,030703
"Census Tract 7706.01, Cook County, Illinois",2553.0,610.0,17,031,770601
"Census Tract 7706.02, Cook County, Illinois",2616.0,2117.0,17,031,770602
"Census Tract 7709.01, Cook County, Illinois",4835.0,402.0,17,031,770901
"Census Tract 7709.02, Cook County, Illinois",3239.0,124.0,17,031,770902
"Census Tract 8020.03, Cook County, Illinois",2213.0,572.0,17,031,802003
"Census Tract 8020.04, Cook County, Illinois",4600.0,954.0,17,031,802004
"Census Tract 8237.02, Cook County, Illinois",6246.0,642.0,17,031,823702
"Census Tract 8250, Cook County, Illinois",4397.0,536.0,17,031,825000
"Census Tract 8262.01, Cook County, Illinois",3567.0,124.0,17,031,826201
"Census Tract 8263.01, Cook County, Illinois",3810.0,355.0,17,031,826301
"Census Tract 8272, Cook County, Illinois",3316.0,1014.0,17,031,827200
"Census Tract 8278.02, Cook County, Illinois",3561.0,41.0,17,031,827802
"Census Tract 8285.04, Cook County, Illinois",5237.0,625.0,17,031,828504
"Census Tract 8288.01, Cook County, Illinois",4307.0,810.0,17,031,828801
"Census Tract 8292, Cook County, Illinois",3311.0,2832.0,17,031,829200
"Census Tract 8293.01, Cook County, Illinois",3327.0,389.0,17,031,829301
"Census Tract 3404, Cook County, Illinois",1664.0,76.0,17,031,340400
"Census Tract 3602, Cook County, Illinois",1616.0,0.0,17,031,360200
"Census Tract 1908, Cook County, Illinois",1003.0,5878.0,17,031,190800
