NAME,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
"Census Tract 2407, Cook County, Illinois",78.0,50.0,90.0,45.0,5.0,33.0,12.0,7.0,9.0,44.0,19.0,29.0,70.0,17.0,45.0,41.0,17,031,240700
"Census Tract 8221.02, Cook County, Illinois",61.0,83.0,106.0,91.0,156.0,213.0,114.0,112.0,77.0,63.0,83.0,340.0,160.0,94.0,18.0,80.0,17,031,822102
"Census Tract 2226, Cook County, Illinois",71.0,32.0,26.0,38.0,69.0,20.0,49.0,24.0,36.0,61.0,66.0,63.0,44.0,25.0,27.0,10.0,17,031,222600
"Census Tract 2308, Cook County, Illinois",10.0,3.0,12.0,28.0,8.0,21.0,22.0,36.0,0.0,15.0,88.0,42.0,18.0,6.0,13.0,13.0,17,031,230800
"Census Tract 202, Cook County, Illinois",127.0,60.0,86.0,131.0,28.0,58.0,27.0,0.0,71.0,129.0,143.0,290.0,284.0,151.0,285.0,56.0,17,031,020200
"Census Tract 317, Cook County, Illinois",599.0,268.0,132.0,197.0,198.0,114.0,89.0,197.0,31.0,122.0,336.0,384.0,287.0,147.0,125.0,198.0,17,031,031700
"Census Tract 313, Cook County, Illinois",792.0,245.0,244.0,271.0,227.0,271.0,184.0,115.0,109.0,294.0,308.0,435.0,196.0,70.0,142.0,127.0,17,031,031300
"Census Tract 8147, Cook County, Illinois",143.0,69.0,51.0,27.0,79.0,129.0,121.0,77.0,83.0,191.0,146.0,265.0,228.0,73.0,40.0,0.0,17,031,814700
"Census Tract 201, Cook County, Illinois",182.0,76.0,133.0,13.0,11.0,78.0,112.0,67.0,47.0,182.0,112.0,228.0,68.0,50.0,70.0,62.0,17,031,020100
"Census Tract 8361, Cook County, Illinois",159.0,44.0,74.0,22.0,42.0,19.0,33.0,14.0,20.0,75.0,78.0,15.0,6.0,0.0,20.0,47.0,17,031,836100
"Census Tract 8362, Cook County, Illinois",3.0,3.0,0.0,3.0,0.0,4.0,9.0,0.0,0.0,3.0,16.0,12.0,33.0,0.0,0.0,6.0,17,031,836200
"Census Tract 8100, Cook County, Illinois",180.0,74.0,137.0,96.0,74.0,91.0,91.0,59.0,228.0,168.0,168.0,446.0,206.0,126.0,176.0,286.0,17,031,810000
"Census Tract 8102, Cook County, Illinois",102.0,120.0,156.0,155.0,97.0,137.0,92.0,229.0,82.0,141.0,182.0,414.0,226.0,169.0,51.0,73.0,17,031,810200
"Census Tract 8110, Cook County, Illinois",101.0,81.0,37.0,76.0,46.0,64.0,16.0,17.0,97.0,81.0,187.0,320.0,221.0,77.0,138.0,123.0,17,031,811000
"Census Tract 8438, Cook County, Illinois",66.0,29.0,32.0,42.0,73.0,32.0,58.0,31.0,3.0,33.0,43.0,60.0,22.0,7.0,0.0,0.0,17,031,843800
"Census Tract 8439, Cook County, Illinois",415.0,109.0,154.0,167.0,101.0,65.0,98.0,93.0,40.0,129.0,107.0,120.0,75.0,42.0,96.0,19.0,17,031,843900
"Census Tract 9801, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,980100
"Census Tract 9800, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,980000
