NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
"Census Tract 2407, Cook County, Illinois",1038.0,161.0,0.0,83.0,0.0,87.0,58.0,17,031,240700
"Census Tract 8221.02, Cook County, Illinois",3456.0,488.0,1.0,48.0,0.0,634.0,125.0,17,031,822102
"Census Tract 2226, Cook County, Illinois",1196.0,116.0,0.0,90.0,0.0,102.0,50.0,17,031,222600
"Census Tract 2308, Cook County, Illinois",402.0,72.0,12.0,0.0,0.0,705.0,4.0,17,031,230800
"Census Tract 202, Cook County, Illinois",4536.0,286.0,0.0,1170.0,0.0,158.0,105.0,17,031,020200
"Census Tract 317, Cook County, Illinois",3949.0,1510.0,0.0,447.0,0.0,405.0,214.0,17,031,031700
"Census Tract 313, Cook County, Illinois",3703.0,1874.0,13.0,1498.0,0.0,93.0,362.0,17,031,031300
"Census Tract 8147, Cook County, Illinois",4028.0,192.0,0.0,221.0,0.0,1534.0,263.0,17,031,814700
"Census Tract 201, Cook County, Illinois",1797.0,1137.0,0.0,819.0,0.0,114.0,123.0,17,031,020100
"Census Tract 8361, Cook County, Illinois",11.0,1817.0,0.0,5.0,0.0,0.0,0.0,17,031,836100
"Census Tract 8362, Cook County, Illinois",1065.0,123.0,5.0,346.0,0.0,11.0,40.0,17,031,836200
"Census Tract 8100, Cook County, Illinois",3849.0,227.0,0.0,693.0,0.0,24.0,132.0,17,031,810000
"Census Tract 8102, Cook County, Illinois",2341.0,2991.0,0.0,299.0,0.0,98.0,210.0,17,031,810200
"Census Tract 8110, Cook County, Illinois",3751.0,148.0,0.0,194.0,0.0,31.0,57.0,17,031,811000
"Census Tract 8438, Cook County, Illinois",675.0,921.0,0.0,147.0,0.0,95.0,18.0,17,031,843800
"Census Tract 8439, Cook County, Illinois",90.0,3329.0,0.0,99.0,0.0,92.0,18.0,17,031,843900
"Census Tract 9801, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,980100
"Census Tract 9800, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,980000
"Census Tract 9900, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,990000
"Census Tract 301.02, Cook County, Illinois",1790.0,579.0,51.0,347.0,0.0,79.0,110.0,17,031,030102
"Census Tract 301.03, Cook County, Illinois",1287.0,345.0,4.0,387.0,0.0,170.0,45.0,17,031,030103
