NAME,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state,county,tract
Census Tract 101; Cook County; Illinois,362.0,360.0,780.0,1036.0,654.0,17,031,010100
Census Tract 102.01; Cook County; Illinois,887.0,1096.0,1241.0,717.0,937.0,17,031,010201
Census Tract 102.02; Cook County; Illinois,274.0,362.0,473.0,645.0,309.0,17,031,010202
Census Tract 103; Cook County; Illinois,513.0,814.0,1158.0,1728.0,935.0,17,031,010300
Census Tract 104; Cook County; Illinois,16.0,201.0,838.0,1107.0,500.0,17,031,010400
Census Tract 105.01; Cook County; Illinois,10.0,203.0,875.0,1305.0,743.0,17,031,010501
Census Tract 105.02; Cook County; Illinois,67.0,259.0,385.0,798.0,645.0,17,031,010502
Census Tract 105.03; Cook County; Illinois,195.0,296.0,297.0,240.0,265.0,17,031,010503
Census Tract 106; Cook County; Illinois,258.0,574.0,757.0,1937.0,1165.0,17,031,010600
Census Tract 107.01; Cook County; Illinois,411.0,415.0,606.0,812.0,486.0,17,031,010701
Census Tract 107.02; Cook County; Illinois,725.0,448.0,716.0,751.0,407.0,17,031,010702
Census Tract 201; Cook County; Illinois,386.0,762.0,774.0,736.0,356.0,17,031,020100
Census Tract 202; Cook County; Illinois,677.0,624.0,738.0,1183.0,1052.0,17,031,020200
Census Tract 203.01; Cook County; Illinois,179.0,612.0,903.0,1264.0,752.0,17,031,020301
Census Tract 203.02; Cook County; Illinois,153.0,694.0,782.0,1010.0,770.0,17,031,020302
Census Tract 204; Cook County; Illinois,400.0,562.0,517.0,943.0,628.0,17,031,020400
Census Tract 205; Cook County; Illinois,895.0,1290.0,1161.0,759.0,450.0,17,031,020500
Census Tract 206.01; Cook County; Illinois,662.0,243.0,932.0,1081.0,706.0,17,031,020601
Census Tract 206.02; Cook County; Illinois,503.0,399.0,628.0,1373.0,503.0,17,031,020602
Census Tract 207.01; Cook County; Illinois,135.0,143.0,234.0,371.0,460.0,17,031,020701
Census Tract 207.02; Cook County; Illinois,1165.0,1350.0,1057.0,840.0,649.0,17,031,020702
Census Tract 208.01; Cook County; Illinois,565.0,1419.0,963.0,913.0,469.0,17,031,020801
Census Tract 208.02; Cook County; Illinois,1350.0,1002.0,919.0,1125.0,561.0,17,031,020802
Census Tract 209.01; Cook County; Illinois,880.0,814.0,950.0,829.0,532.0,17,031,020901
Census Tract 209.02; Cook County; Illinois,466.0,1066.0,690.0,635.0,333.0,17,031,020902
Census Tract 301.01; Cook County; Illinois,189.0,555.0,963.0,761.0,398.0,17,031,030101
Census Tract 301.02; Cook County; Illinois,377.0,289.0,479.0,732.0,579.0,17,031,030102
Census Tract 301.03; Cook County; Illinois,114.0,161.0,286.0,473.0,266.0,17,031,030103
Census Tract 301.04; Cook County; Illinois,86.0,111.0,306.0,276.0,395.0,17,031,030104
Census Tract 302; Cook County; Illinois,235.0,559.0,595.0,1471.0,1366.0,17,031,030200
Census Tract 303; Cook County; Illinois,282.0,714.0,485.0,656.0,423.0,17,031,030300
Census Tract 304; Cook County; Illinois,60.0,409.0,487.0,600.0,622.0,17,031,030400
Census Tract 305; Cook County; Illinois,332.0,483.0,767.0,2149.0,1480.0,17,031,030500
Census Tract 306.01; Cook County; Illinois,343.0,394.0,764.0,769.0,546.0,17,031,030601
Census Tract 306.03; Cook County; Illinois,123.0,282.0,452.0,508.0,393.0,17,031,030603
Census Tract 306.04; Cook County; Illinois,146.0,339.0,352.0,900.0,820.0,17,031,030604
Census Tract 307.01; Cook County; Illinois,64.0,201.0,377.0,359.0,205.0,17,031,030701
