NAME,B03001_002E,B03001_003E,state,county,tract
Census Tract 101; Cook County; Illinois,3364.0,920.0,17,031,010100
Census Tract 102.01; Cook County; Illinois,6207.0,2003.0,17,031,010201
Census Tract 102.02; Cook County; Illinois,2309.0,556.0,17,031,010202
Census Tract 103; Cook County; Illinois,5181.0,1056.0,17,031,010300
Census Tract 104; Cook County; Illinois,4095.0,378.0,17,031,010400
Census Tract 105.01; Cook County; Illinois,3683.0,230.0,17,031,010501
Census Tract 105.02; Cook County; Illinois,2836.0,571.0,17,031,010502
Census Tract 105.03; Cook County; Illinois,2387.0,30.0,17,031,010503
Census Tract 106; Cook County; Illinois,5489.0,890.0,17,031,010600
Census Tract 107.01; Cook County; Illinois,2493.0,1097.0,17,031,010701
Census Tract 107.02; Cook County; Illinois,3369.0,1779.0,17,031,010702
Census Tract 201; Cook County; Illinois,2900.0,1027.0,17,031,020100
Census Tract 202; Cook County; Illinois,5061.0,2142.0,17,031,020200
Census Tract 203.01; Cook County; Illinois,5085.0,347.0,17,031,020301
Census Tract 203.02; Cook County; Illinois,4549.0,652.0,17,031,020302
Census Tract 204; Cook County; Illinois,2753.0,1503.0,17,031,020400
Census Tract 205; Cook County; Illinois,5587.0,1059.0,17,031,020500
Census Tract 206.01; Cook County; Illinois,5059.0,809.0,17,031,020601
Census Tract 206.02; Cook County; Illinois,3956.0,1387.0,17,031,020602
Census Tract 207.01; Cook County; Illinois,1465.0,263.0,17,031,020701
Census Tract 207.02; Cook County; Illinois,6438.0,1974.0,17,031,020702
Census Tract 208.01; Cook County; Illinois,4057.0,1933.0,17,031,020801
Census Tract 208.02; Cook County; Illinois,6499.0,2216.0,17,031,020802
Census Tract 209.01; Cook County; Illinois,4593.0,1586.0,17,031,020901
Census Tract 209.02; Cook County; Illinois,3723.0,642.0,17,031,020902
Census Tract 301.01; Cook County; Illinois,3163.0,354.0,17,031,030101
Census Tract 301.02; Cook County; Illinois,2684.0,368.0,17,031,030102
Census Tract 301.03; Cook County; Illinois,1848.0,449.0,17,031,030103
Census Tract 301.04; Cook County; Illinois,2641.0,465.0,17,031,030104
Census Tract 302; Cook County; Illinois,4270.0,1284.0,17,031,030200
Census Tract 303; Cook County; Illinois,2584.0,1058.0,17,031,030300
Census Tract 304; Cook County; Illinois,2112.0,710.0,17,031,030400
Census Tract 305; Cook County; Illinois,5054.0,1290.0,17,031,030500
Census Tract 306.01; Cook County; Illinois,3530.0,241.0,17,031,030601
Census Tract 306.03; Cook County; Illinois,2029.0,276.0,17,031,030603
Census Tract 306.04; Cook County; Illinois,2670.0,251.0,17,031,030604
Census Tract 307.01; Cook County; Illinois,1325.0,184.0,17,031,030701
Census Tract 307.02; Cook County; Illinois,1974.0,292.0,17,031,030702
Census Tract 307.03; Cook County; Illinois,2547.0,546.0,17,031,030703
Census Tract 307.06; Cook County; Illinois,2482.0,106.0,17,031,030706
Census Tract 308; Cook County; Illinois,3796.0,440.0,17,031,030800
Census Tract 309; Cook County; Illinois,2695.0,381.0,17,031,030900
Census Tract 310; Cook County; Illinois,3046.0,606.0,17,031,031000
Census Tract 311; Cook County; Illinois,4540.0,358.0,17,031,031100
Census Tract 312; Cook County; Illinois,4568.0,1368.0,17,031,031200
Census Tract 313; Cook County; Illinois,5944.0,909.0,17,031,031300
Census Tract 314; Cook County; Illinois,4338.0,347.0,17,031,031400
Census Tract 315.01; Cook County; Illinois,4092.0,548.0,17,031,031501
Census Tract 315.02; Cook County; Illinois,3849.0,773.0,17,031,031502
Census Tract 317; Cook County; Illinois,5511.0,608.0,17,031,031700
Census Tract 318; Cook County; Illinois,1728.0,386.0,17,031,031800
Census Tract 319; Cook County; Illinois,2185.0,232.0,17,031,031900
Census Tract 321; Cook County; Illinois,5891.0,1388.0,17,031,032100
Census Tract 401; Cook County; Illinois,3277.0,734.0,17,031,040100
Census Tract 402.01; Cook County; Illinois,5665.0,1023.0,17,031,040201
Census Tract 402.02; Cook County; Illinois,5205.0,2760.0,17,031,040202
Census Tract 403; Cook County; Illinois,2311.0,752.0,17,031,040300
Census Tract 404.01; Cook County; Illinois,2637.0,794.0,17,031,040401
Census Tract 404.02; Cook County; Illinois,3832.0,749.0,17,031,040402
Census Tract 406; Cook County; Illinois,2359.0,426.0,17,031,040600
Census Tract 407; Cook County; Illinois,3458.0,291.0,17,031,040700
Census Tract 408; Cook County; Illinois,1278.0,299.0,17,031,040800
Census Tract 409; Cook County; Illinois,1741.0,265.0,17,031,040900
Census Tract 501; Cook County; Illinois,2365.0,148.0,17,031,050100
Census Tract 502; Cook County; Illinois,4755.0,791.0,17,031,050200
Census Tract 503; Cook County; Illinois,2336.0,493.0,17,031,050300
Census Tract 505; Cook County; Illinois,4928.0,271.0,17,031,050500
Census Tract 506; Cook County; Illinois,2069.0,163.0,17,031,050600
Census Tract 507; Cook County; Illinois,1293.0,163.0,17,031,050700
Census Tract 508; Cook County; Illinois,1079.0,319.0,17,031,050800
Census Tract 509; Cook County; Illinois,1149.0,239.0,17,031,050900
Census Tract 510; Cook County; Illinois,1504.0,203.0,17,031,051000
Census Tract 511; Cook County; Illinois,1527.0,378.0,17,031,051100
Census Tract 512; Cook County; Illinois,1423.0,153.0,17,031,051200
Census Tract 513; Cook County; Illinois,2550.0,527.0,17,031,051300
Census Tract 514; Cook County; Illinois,2236.0,299.0,17,031,051400
Census Tract 601; Cook County; Illinois,2818.0,360.0,17,031,060100
Census Tract 602; Cook County; Illinois,1774.0,373.0,17,031,060200
Census Tract 603; Cook County; Illinois,2401.0,420.0,17,031,060300
Census Tract 604; Cook County; Illinois,3334.0,357.0,17,031,060400
Census Tract 605; Cook County; Illinois,1179.0,108.0,17,031,060500
Census Tract 608; Cook County; Illinois,4682.0,637.0,17,031,060800
Census Tract 609; Cook County; Illinois,6289.0,654.0,17,031,060900
Census Tract 610; Cook County; Illinois,2098.0,226.0,17,031,061000
Census Tract 611; Cook County; Illinois,1221.0,215.0,17,031,061100
Census Tract 612; Cook County; Illinois,1791.0,261.0,17,031,061200
Census Tract 615; Cook County; Illinois,1906.0,117.0,17,031,061500
Census Tract 618; Cook County; Illinois,1054.0,150.0,17,031,061800
Census Tract 619.01; Cook County; Illinois,3033.0,484.0,17,031,061901
Census Tract 619.02; Cook County; Illinois,4630.0,308.0,17,031,061902
Census Tract 620; Cook County; Illinois,2653.0,237.0,17,031,062000
Census Tract 621; Cook County; Illinois,3291.0,355.0,17,031,062100
Census Tract 622; Cook County; Illinois,2713.0,439.0,17,031,062200
Census Tract 623; Cook County; Illinois,1505.0,104.0,17,031,062300
Census Tract 624; Cook County; Illinois,1644.0,155.0,17,031,062400
Census Tract 625; Cook County; Illinois,1247.0,173.0,17,031,062500
Census Tract 626; Cook County; Illinois,2152.0,219.0,17,031,062600
Census Tract 627; Cook County; Illinois,2890.0,156.0,17,031,062700
Census Tract 628; Cook County; Illinois,3358.0,324.0,17,031,062800
Census Tract 629; Cook County; Illinois,3723.0,415.0,17,031,062900
Census Tract 630; Cook County; Illinois,3006.0,274.0,17,031,063000
Census Tract 631; Cook County; Illinois,2227.0,125.0,17,031,063100
Census Tract 632; Cook County; Illinois,5955.0,425.0,17,031,063200
Census Tract 633.01; Cook County; Illinois,2553.0,439.0,17,031,063301
Census Tract 633.02; Cook County; Illinois,3927.0,175.0,17,031,063302
Census Tract 633.03; Cook County; Illinois,1174.0,24.0,17,031,063303
Census Tract 634; Cook County; Illinois,2215.0,220.0,17,031,063400
Census Tract 701.01; Cook County; Illinois,4103.0,480.0,17,031,070101
Census Tract 701.02; Cook County; Illinois,2813.0,167.0,17,031,070102
Census Tract 701.03; Cook County; Illinois,1319.0,120.0,17,031,070103
Census Tract 702; Cook County; Illinois,3604.0,415.0,17,031,070200
Census Tract 703; Cook County; Illinois,3633.0,185.0,17,031,070300
Census Tract 704; Cook County; Illinois,3244.0,177.0,17,031,070400
Census Tract 705; Cook County; Illinois,3045.0,140.0,17,031,070500
Census Tract 706; Cook County; Illinois,3018.0,176.0,17,031,070600
Census Tract 707; Cook County; Illinois,3205.0,536.0,17,031,070700
Census Tract 710; Cook County; Illinois,4232.0,293.0,17,031,071000
Census Tract 711; Cook County; Illinois,2868.0,318.0,17,031,071100
Census Tract 712; Cook County; Illinois,2189.0,197.0,17,031,071200
Census Tract 713; Cook County; Illinois,3909.0,220.0,17,031,071300
Census Tract 714; Cook County; Illinois,4559.0,204.0,17,031,071400
Census Tract 715; Cook County; Illinois,5755.0,236.0,17,031,071500
Census Tract 716; Cook County; Illinois,1826.0,77.0,17,031,071600
Census Tract 717; Cook County; Illinois,1458.0,27.0,17,031,071700
Census Tract 718; Cook County; Illinois,2526.0,200.0,17,031,071800
Census Tract 801; Cook County; Illinois,6335.0,272.0,17,031,080100
Census Tract 802.01; Cook County; Illinois,3171.0,65.0,17,031,080201
Census Tract 802.02; Cook County; Illinois,3493.0,307.0,17,031,080202
Census Tract 803; Cook County; Illinois,5208.0,628.0,17,031,080300
Census Tract 804; Cook County; Illinois,4730.0,158.0,17,031,080400
Census Tract 810; Cook County; Illinois,7492.0,658.0,17,031,081000
Census Tract 811; Cook County; Illinois,4294.0,161.0,17,031,081100
Census Tract 812.01; Cook County; Illinois,4206.0,222.0,17,031,081201
Census Tract 812.02; Cook County; Illinois,3305.0,132.0,17,031,081202
Census Tract 813; Cook County; Illinois,5643.0,371.0,17,031,081300
Census Tract 814.01; Cook County; Illinois,2005.0,166.0,17,031,081401
Census Tract 814.02; Cook County; Illinois,5257.0,685.0,17,031,081402
Census Tract 814.03; Cook County; Illinois,8590.0,397.0,17,031,081403
Census Tract 815; Cook County; Illinois,4652.0,254.0,17,031,081500
Census Tract 816; Cook County; Illinois,3553.0,172.0,17,031,081600
Census Tract 817; Cook County; Illinois,4575.0,642.0,17,031,081700
Census Tract 818; Cook County; Illinois,10772.0,1441.0,17,031,081800
Census Tract 819; Cook County; Illinois,1003.0,108.0,17,031,081900
Census Tract 901; Cook County; Illinois,3024.0,502.0,17,031,090100
Census Tract 902; Cook County; Illinois,5534.0,971.0,17,031,090200
Census Tract 903; Cook County; Illinois,1170.0,201.0,17,031,090300
Census Tract 1001; Cook County; Illinois,4532.0,1358.0,17,031,100100
Census Tract 1002; Cook County; Illinois,5461.0,2103.0,17,031,100200
Census Tract 1003; Cook County; Illinois,5584.0,863.0,17,031,100300
Census Tract 1004; Cook County; Illinois,2894.0,431.0,17,031,100400
Census Tract 1005; Cook County; Illinois,5122.0,692.0,17,031,100500
Census Tract 1006; Cook County; Illinois,3351.0,1563.0,17,031,100600
Census Tract 1007; Cook County; Illinois,4570.0,802.0,17,031,100700
Census Tract 1101; Cook County; Illinois,4633.0,1143.0,17,031,110100
Census Tract 1102; Cook County; Illinois,1809.0,1012.0,17,031,110200
Census Tract 1103; Cook County; Illinois,4056.0,1248.0,17,031,110300
Census Tract 1104; Cook County; Illinois,3417.0,1084.0,17,031,110400
Census Tract 1105.01; Cook County; Illinois,3542.0,1555.0,17,031,110501
Census Tract 1105.02; Cook County; Illinois,2781.0,752.0,17,031,110502
Census Tract 1201; Cook County; Illinois,4071.0,329.0,17,031,120100
Census Tract 1202; Cook County; Illinois,4401.0,172.0,17,031,120200
Census Tract 1203; Cook County; Illinois,6367.0,679.0,17,031,120300
Census Tract 1204; Cook County; Illinois,2877.0,959.0,17,031,120400
Census Tract 1301; Cook County; Illinois,4611.0,284.0,17,031,130100
Census Tract 1302; Cook County; Illinois,1021.0,524.0,17,031,130200
Census Tract 1303; Cook County; Illinois,3848.0,1192.0,17,031,130300
Census Tract 1401; Cook County; Illinois,2159.0,1361.0,17,031,140100
Census Tract 1402; Cook County; Illinois,3871.0,2732.0,17,031,140200
Census Tract 1403.01; Cook County; Illinois,1265.0,1643.0,17,031,140301
Census Tract 1403.02; Cook County; Illinois,2182.0,1129.0,17,031,140302
