NAME,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
Census Tract 101; Cook County; Illinois,233.0,105.0,34.0,154.0,149.0,43.0,66.0,34.0,111.0,111.0,246.0,473.0,158.0,46.0,170.0,189.0,17,031,010100
Census Tract 102.01; Cook County; Illinois,263.0,79.0,84.0,103.0,113.0,200.0,354.0,167.0,15.0,118.0,459.0,480.0,96.0,293.0,120.0,84.0,17,031,010201
Census Tract 102.02; Cook County; Illinois,50.0,108.0,13.0,59.0,74.0,44.0,14.0,107.0,80.0,75.0,94.0,271.0,112.0,14.0,29.0,79.0,17,031,010202
Census Tract 103; Cook County; Illinois,46.0,173.0,114.0,264.0,191.0,55.0,101.0,96.0,104.0,241.0,321.0,446.0,221.0,227.0,187.0,260.0,17,031,010300
Census Tract 104; Cook County; Illinois,128.0,171.0,249.0,85.0,40.0,0.0,62.0,125.0,266.0,67.0,149.0,205.0,251.0,127.0,63.0,70.0,17,031,010400
Census Tract 105.01; Cook County; Illinois,134.0,194.0,139.0,150.0,108.0,189.0,161.0,111.0,157.0,156.0,187.0,224.0,163.0,108.0,124.0,112.0,17,031,010501
Census Tract 105.02; Cook County; Illinois,133.0,111.0,117.0,72.0,44.0,18.0,81.0,62.0,91.0,108.0,113.0,278.0,115.0,61.0,48.0,130.0,17,031,010502
Census Tract 105.03; Cook County; Illinois,346.0,240.0,104.0,106.0,52.0,58.0,6.0,8.0,44.0,28.0,151.0,76.0,27.0,12.0,24.0,33.0,17,031,010503
Census Tract 106; Cook County; Illinois,81.0,202.0,144.0,37.0,70.0,90.0,210.0,68.0,121.0,241.0,301.0,343.0,313.0,255.0,208.0,259.0,17,031,010600
Census Tract 107.01; Cook County; Illinois,21.0,11.0,22.0,42.0,104.0,191.0,40.0,66.0,47.0,105.0,194.0,286.0,84.0,75.0,94.0,221.0,17,031,010701
Census Tract 107.02; Cook County; Illinois,135.0,42.0,27.0,75.0,149.0,52.0,120.0,193.0,61.0,296.0,151.0,281.0,135.0,77.0,40.0,81.0,17,031,010702
Census Tract 201; Cook County; Illinois,54.0,15.0,185.0,79.0,18.0,59.0,118.0,117.0,118.0,116.0,126.0,228.0,108.0,165.0,113.0,60.0,17,031,020100
