filing_year,area_name,area_number,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2010,Rogers Park,1,711,3.86,8,10,693,79,614,2198.0,76,76,293,192,56,87,606,627,66,51,15,447,246,414,213,33,33,31,20,2,13,284,69,340,281,67,279,3,2,61,108,585,107,520,1,65
2011,Rogers Park,1,761,4.08,5,9,747,83,664,2165.0,76,102,292,206,71,85,662,677,70,54,16,462,285,420,257,42,28,37,17,5,11,284,49,414,277,49,351,7,0,63,113,634,111,566,2,68
2012,Rogers Park,1,919,4.87,21,13,885,120,765,2057.0,114,110,394,188,79,83,802,800,85,64,21,554,331,514,286,40,45,34,30,6,15,345,91,449,342,90,368,3,1,81,193,692,184,616,9,76
2013,Rogers Park,1,866,4.53,24,12,830,128,702,2025.0,129,108,346,185,62,99,731,722,108,86,22,539,291,478,244,61,47,52,34,9,13,330,76,424,316,73,333,14,3,91,85,745,80,642,5,103
2014,Rogers Park,1,657,3.4,70,5,582,68,514,2055.0,69,80,245,145,43,40,542,524,58,48,10,330,252,312,212,18,40,17,31,1,9,203,70,309,202,69,253,1,1,56,49,533,48,476,1,57
2015,Rogers Park,1,664,3.4,66,5,593,125,468,2122.58,126,80,212,127,48,36,557,530,63,51,12,339,254,305,225,34,29,30,21,4,8,180,103,310,175,100,255,5,3,55,74,519,72,458,2,61
2016,Rogers Park,1,559,2.83,60,5,494,99,395,2124.65,98,47,196,106,47,38,456,434,60,54,6,291,203,257,177,34,26,32,22,2,4,173,106,215,165,106,163,8,0,52,72,422,67,367,5,55
2017,Rogers Park,1,481,2.41,42,2,437,90,347,2190.5,89,45,156,108,39,22,415,372,65,52,13,235,202,209,163,26,39,22,30,4,9,133,87,217,129,86,157,4,1,60,52,385,50,322,2,63
2018,Rogers Park,1,479,2.37,37,3,439,77,362,2379.67,77,48,144,121,49,11,428,377,62,50,12,211,228,179,198,32,30,26,24,6,6,96,120,223,95,116,166,1,4,57,56,383,52,325,4,58
2019,Rogers Park,1,450,2.2,36,7,407,55,352,2458.34,57,30,149,145,26,8,399,363,44,34,10,198,209,179,184,19,25,16,18,3,7,98,82,227,96,82,185,2,0,42,88,319,83,280,5,39
2010,West Ridge,2,493,3.95,38,3,452,74,378,2597.4,73,41,141,129,68,72,380,403,49,45,4,297,155,268,135,29,20,27,18,2,2,194,34,224,187,34,182,7,0,42,80,372,77,326,3,46
2011,West Ridge,2,485,3.78,29,7,449,56,393,2900.0,53,37,125,142,92,56,393,407,42,35,7,291,158,271,136,20,22,20,15,0,7,170,44,235,166,43,198,4,1,37,92,357,90,317,2,40
2012,West Ridge,2,505,3.84,37,4,464,53,411,2580.91,53,29,162,148,72,67,397,411,53,47,6,289,175,261,150,28,25,26,21,2,4,150,45,269,147,45,219,3,0,50,97,367,92,319,5,48
2013,West Ridge,2,481,3.56,25,4,452,81,371,2434.0,80,23,170,133,46,63,389,395,57,50,7,261,191,223,172,38,19,35,15,3,4,160,57,235,152,56,187,8,1,48,43,409,40,355,3,54
2014,West Ridge,2,462,3.34,66,3,393,61,332,2625.0,62,29,128,121,53,55,338,344,49,44,5,241,152,218,126,23,26,21,23,2,3,130,48,215,129,48,167,1,0,48,37,356,36,308,1,48
2015,West Ridge,2,420,2.96,68,1,351,80,271,2649.5,79,21,106,102,43,42,309,295,56,49,7,186,165,161,134,25,31,21,28,4,3,91,54,206,89,52,154,2,2,52,42,309,42,253,0,56
2016,West Ridge,2,377,2.6,74,4,299,55,244,2672.04,55,18,92,86,48,29,270,254,45,42,3,179,120,153,101,26,19,26,16,0,3,95,50,154,91,50,113,4,0,41,43,256,40,214,3,42
2017,West Ridge,2,369,2.48,48,2,319,80,239,2875.6,81,25,73,90,50,34,285,273,46,45,1,172,147,156,117,16,30,15,30,1,0,96,68,155,95,65,113,1,3,42,34,285,34,239,0,46
2018,West Ridge,2,298,1.96,35,1,262,44,218,3000.0,47,6,76,80,53,32,230,224,38,35,3,139,123,120,104,19,19,18,17,1,2,61,51,150,61,51,112,0,0,38,47,215,45,179,2,36
2019,West Ridge,2,255,1.64,43,10,202,24,178,2675.0,24,7,72,67,32,31,171,178,24,23,1,111,91,98,80,13,11,13,10,0,1,56,52,94,53,52,73,3,0,21,49,153,48,130,1,23
2010,Uptown,3,539,2.46,3,1,535,64,471,1880.0,64,133,169,124,45,25,510,480,55,31,24,326,209,304,176,22,33,19,12,3,21,208,61,266,207,59,214,1,2,52,82,453,80,400,2,53
2011,Uptown,3,558,2.54,3,4,551,65,486,2092.64,59,87,204,139,62,26,525,484,67,49,18,312,239,289,195,23,44,20,29,3,15,182,58,311,179,53,252,3,5,59,88,463,84,400,4,63
2012,Uptown,3,621,2.82,6,6,609,140,469,1759.55,138,98,222,107,44,19,590,535,74,43,31,334,275,302,233,32,42,23,20,9,22,199,83,327,194,82,259,5,1,68,99,510,96,439,3,71
2013,Uptown,3,565,2.56,11,5,549,93,456,1580.5,93,102,248,76,30,13,536,501,48,26,22,302,247,286,215,16,32,12,14,4,18,183,88,278,182,85,234,1,3,44,48,501,47,454,1,47
2014,Uptown,3,442,2.0,23,4,415,69,346,1727.5,68,76,169,76,26,16,399,375,40,21,19,224,191,211,164,13,27,10,11,3,16,135,68,212,134,67,174,1,1,38,37,378,35,340,2,38
2015,Uptown,3,456,2.06,32,5,419,111,308,1940.0,111,59,134,80,35,12,407,373,46,41,5,224,195,206,167,18,28,17,24,1,4,148,81,190,146,76,151,2,5,39,44,375,44,329,0,46
