community_area,NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.25988947338435536,0.11647074463034354,0.1975235961030822,0.15526900507055091,0.12294661678409328,0.07643808040716334,0.039159086161384055,0.03230339745902729,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.295818107998376,0.11611855460820138,0.17149817295980513,0.11149005278116118,0.1023954526999594,0.10475030450669914,0.04717823792123427,0.05075111652456354,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",0.2018201674554059,0.09282854022570076,0.09901710957408082,0.16177648343647616,0.12857662904987258,0.11903895158354569,0.08481980342191482,0.11212231525300327,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",0.2919084858941896,0.11410132879198691,0.12384879109059538,0.1426042530306765,0.14173034261769782,0.0934411903107984,0.044995182288748964,0.04737042597530643,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.2731550182778964,0.11151326504759491,0.11898729595714648,0.11929494371855659,0.14354482608853017,0.09989503782257772,0.0754822831083282,0.0581273299793695,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",0.2754297994269341,0.10429412220243166,0.15161077983427554,0.11624912878494541,0.14071091148455045,0.1077112212499032,0.06441183303647487,0.03958220398048478,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",0.24942418426103646,0.07495201535508637,0.09299424184261036,0.1430902111324376,0.1658349328214971,0.10892514395393474,0.09289827255278311,0.0718809980806142,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.23386351245644393,0.11558062910375234,0.2074335695830469,0.16668641998719985,0.1134235665015289,0.08839215872188115,0.041387157181122146,0.03323298646502477,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",0.3015052548865534,0.11464983793340536,0.1694455358019841,0.1383704940575582,0.12426333366074059,0.07975640899715156,0.03958353796287201,0.0324255966997348,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.2668144233228199,0.06555280879720399,0.09138180888244822,0.14376438496291877,0.17607194612565,0.14095132554769416,0.058051317023271674,0.057411985337993354,17,31,23462.0,2005-2009
