Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",12553.0,8341.0,8692.0,17,31,6442.0,2944.0,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",3025.0,2889.0,1793.0,17,31,580.0,385.0,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",3874.0,3114.0,1749.0,17,31,1522.0,704.0,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",6313.0,9851.0,9907.0,17,31,3802.0,1727.0,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",8790.0,13131.0,13355.0,17,31,3541.0,1347.0,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",19137.0,26833.0,20590.0,17,31,5598.0,2693.0,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",1144.0,1791.0,2764.0,17,31,1506.0,616.0,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",9265.0,9549.0,7769.0,17,31,4386.0,1352.0,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",20131.0,19362.0,12039.0,17,31,4100.0,1259.0,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",943.0,2688.0,4643.0,17,31,4900.0,4028.0,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",6238.0,7903.0,5222.0,17,31,3964.0,1980.0,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",13757.0,8460.0,4823.0,17,31,2360.0,337.0,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",711.0,933.0,970.0,17,31,115.0,85.0,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",1979.0,3257.0,4379.0,17,31,2098.0,1409.0,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",4380.0,7510.0,10653.0,17,31,3124.0,2016.0,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",11692.0,13035.0,9403.0,17,31,2303.0,636.0,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",3378.0,6651.0,6011.0,17,31,1919.0,534.0,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",2565.0,3757.0,6379.0,17,31,3005.0,2066.0,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",5887.0,11895.0,10456.0,17,31,4637.0,2615.0,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",3458.0,4985.0,4244.0,17,31,989.0,486.0,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",5841.0,6298.0,4010.0,17,31,1065.0,397.0,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",4122.0,8611.0,13738.0,17,31,14217.0,9904.0,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",677.0,1971.0,3085.0,17,31,2496.0,1201.0,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",6439.0,8003.0,7621.0,17,31,1208.0,430.0,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",1634.0,3588.0,4623.0,17,31,4470.0,3496.0,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",825.0,866.0,765.0,17,31,152.0,20.0,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",12598.0,7313.0,4362.0,17,31,1211.0,272.0,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",6214.0,10969.0,8102.0,17,31,3207.0,1219.0,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",3271.0,3883.0,4892.0,17,31,2059.0,1470.0,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",5431.0,7812.0,9526.0,17,31,2715.0,1214.0,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",1401.0,3122.0,2323.0,17,31,951.0,227.0,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",6814.0,5915.0,3766.0,17,31,1217.0,321.0,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",14583.0,12836.0,9150.0,17,31,2120.0,863.0,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",1155.0,2273.0,5732.0,17,31,5565.0,8881.0,27604.0,2005-2009
