Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.23839185673319788,0.15840249159655886,0.1650682720246121,17,31,0.12233891030632205,0.05590899595495376,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.24563540397888753,0.2345919610231425,0.14559480308566788,17,31,0.04709703613479497,0.03126268777913114,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",0.28205314888969785,0.22672005824535857,0.12733891518019658,17,31,0.11081179468511103,0.05125591554423007,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",0.14146144710601205,0.22074080713469424,0.22199565285589443,17,31,0.0851950612857687,0.03869854572344097,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.15907198957616997,0.23763075029859929,0.24168446197835608,17,31,0.06408121900901227,0.02437656085996598,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",0.18524936110895995,0.2597479284442035,0.19931464415705102,17,31,0.054189576395880124,0.02606869046697127,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",0.10978886756238004,0.17188099808061422,0.2652591170825336,17,31,0.14452975047984645,0.05911708253358925,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.21961741768791335,0.22634934932562165,0.18415625666674568,17,31,0.10396567663024155,0.03204778723303387,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",0.2471638345938513,0.2377222276790099,0.14781210097239958,17,31,0.05033886651605932,0.01545771535212651,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.04019265194783053,0.11456823800187538,0.19789446764981672,17,31,0.208848350524252,0.1716818685534055,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",0.19256652466506144,0.24396493177748965,0.16120269185651664,17,31,0.12236833981601532,0.06112243007964438,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",0.3031044131579527,0.18639698592107873,0.10626390816753696,17,31,0.051997267940159075,0.007425033599929495,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.17182213629772838,0.22547124214596423,0.2344127597873369,17,31,0.027791203479942,0.020541324311261478,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",0.12044306493822653,0.1982228714016189,0.26650842918872863,17,31,0.1276854725823139,0.08575254092873227,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",0.11972446971353597,0.2052809971572272,0.29119287120052484,17,31,0.08539252132079597,0.0551060572928056,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",0.20871490030168335,0.23268890912011997,0.16785376390153342,17,31,0.04111105160749032,0.011353290847748086,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",0.13797328758730548,0.271657885063105,0.24551729771678307,17,31,0.07838091737123719,0.021811052567087368,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",0.11904761904761904,0.17437111296760419,0.2960642346607259,17,31,0.1394690429778149,0.09588786781769237,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",0.13180637650008956,0.2663218699623858,0.2341035285688698,17,31,0.10381963102274763,0.05854827153859932,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",0.16533588333731772,0.23834568491513267,0.20291656705713604,17,31,0.047286636385369354,0.023236911307673917,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",0.2195204449789537,0.23669573060733615,0.1507065544197234,17,31,0.040025556223692124,0.014920324714371618,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",0.07125816823980914,0.14886076824672406,0.23749265290599178,17,31,0.24577326003526606,0.1712132213117588,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.0577891591976099,0.1682458386683739,0.2633376013657704,17,31,0.21306017925736234,0.10251813913785744,11715.0,2005-2009
