community_area,NAME,not_hispanic,hispanic,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",25818.0,26839.0,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",3967.0,8348.0,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",13232.0,503.0,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",30567.0,14060.0,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",54849.0,409.0,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",94746.0,8558.0,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",10420.0,0.0,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",14413.0,27774.0,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",22441.0,59007.0,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",22743.0,719.0,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",23641.0,8753.0,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",8160.0,37227.0,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",4138.0,0.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",15731.0,700.0,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",36458.0,126.0,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",35170.0,20849.0,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",14577.0,9906.0,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",21145.0,401.0,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",35472.0,9192.0,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",20503.0,412.0,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",5953.0,20655.0,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",49941.0,7905.0,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",11277.0,438.0,17,31,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",35046.0,140.0,17,31,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",20704.0,2713.0,17,31,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",3316.0,1.0,17,31,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",5708.0,34273.0,17,31,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",26479.0,13365.0,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",21536.0,241.0,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",37232.0,233.0,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",6167.0,4713.0,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",3930.0,22130.0,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",27426.0,30337.0,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",26134.0,1470.0,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",32510.0,25900.0,17,31,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",23071.0,5741.0,17,31,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",17350.0,520.0,17,31,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",84499.0,7313.0,17,31,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",65982.0,3536.0,17,31,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",33334.0,7637.0,17,31,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",37745.0,43395.0,17,31,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",19235.0,771.0,17,31,20006.0,2005-2009
LOWER WEST SIDE,"Census Tract 3101, Cook County, Illinois",6829.0,30648.0,17,31,37477.0,2005-2009
MCKINLEY PARK,"Census Tract 5901, Cook County, Illinois",6297.0,9895.0,17,31,16192.0,2005-2009
MONTCLARE,"Census Tract 1801, Cook County, Illinois",6471.0,8085.0,17,31,14556.0,2005-2009
MORGAN PARK,"Census Tract 7501, Cook County, Illinois",27628.0,1571.0,17,31,29199.0,2005-2009
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",18415.0,1135.0,17,31,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",73477.0,3935.0,17,31,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",15855.0,802.0,17,31,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",48584.0,3800.0,17,31,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",21988.0,25023.0,17,31,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",30027.0,4596.0,17,31,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",34248.0,1995.0,17,31,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",15771.0,3478.0,17,31,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",35550.0,5547.0,17,31,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",2733.0,92.0,17,31,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",34398.0,6909.0,17,31,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",43470.0,22895.0,17,31,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",7262.0,638.0,17,31,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",7882.0,42.0,17,31,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",41680.0,14445.0,17,31,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",49579.0,254.0,17,31,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",25923.0,8873.0,17,31,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",12304.0,5421.0,17,31,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",13819.0,63505.0,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",53429.0,699.0,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",50545.0,9525.0,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",28138.0,108.0,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",12144.0,127.0,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",4497.0,13752.0,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",41535.0,794.0,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",18917.0,347.0,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",9045.0,24265.0,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",33483.0,1276.0,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",58282.0,13633.0,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",60282.0,26072.0,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",23085.0,325.0,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",26038.0,26892.0,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",3413.0,10585.0,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",13307.0,543.0,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",27425.0,15384.0,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",46939.0,672.0,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",89462.0,10249.0,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",10039.0,59.0,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",15580.0,23537.0,17,31,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",16279.0,62790.0,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",19833.0,1169.0,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",22998.0,8941.0,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",6621.0,37509.0,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",2618.0,0.0,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",12881.0,519.0,17,31,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",31263.0,230.0,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",30710.0,25583.0,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",12447.0,12005.0,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",19004.0,426.0,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",31798.0,11255.0,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",19591.0,680.0,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",4591.0,19148.0,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",44390.0,8648.0,17,31,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",10136.0,857.0,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",26754.0,543.0,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",16121.0,2357.0,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",2352.0,191.0,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",3121.0,37260.0,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",19446.0,15297.0,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",22057.0,474.0,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",32247.0,602.0,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",4451.0,4887.0,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",2662.0,22174.0,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",26420.0,28095.0,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",17650.0,863.0,17,31,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",29932.0,26558.0,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",21601.0,5374.0,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",11705.0,370.0,17,31,12075.0,2010-2014
