community_area,NAME,not_hispanic,hispanic,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.4903051825968057,0.5096948174031942,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.3221274868047097,0.6778725131952903,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",0.9633782307972334,0.036621769202766656,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",0.6849440921415286,0.3150559078584713,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.9925983567990155,0.007401643200984472,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",0.91715712847518,0.08284287152481995,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",1.0,0.0,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.3416455306136962,0.6583544693863038,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",0.2755254886553384,0.7244745113446617,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.9693547012189924,0.030645298781007586,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",0.7297956411681176,0.27020435883188243,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",0.1797871637252958,0.8202128362747042,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",1.0,0.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",0.9573976020936036,0.042602397906396444,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",0.9965558714191997,0.00344412858080035,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",0.6278227030114782,0.37217729698852176,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",0.5953927214802107,0.4046072785197892,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",0.9813886568272533,0.01861134317274668,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",0.7941966684578183,0.2058033315421816,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",0.980301219220655,0.019698780779344966,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",0.2237297053517739,0.7762702946482261,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",0.8633440514469454,0.13665594855305466,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.9626120358514725,0.037387964148527526,17,31,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",0.9960211447734895,0.003978855226510544,17,31,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",0.8841439979502072,0.11585600204979289,17,31,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",0.9996985227615315,0.00030147723846849563,17,31,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",0.14276781471198818,0.8572321852880118,17,31,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",0.6645668105611886,0.33543318943881134,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",0.9889332782293245,0.011066721770675483,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",0.9937808621379954,0.006219137862004538,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.5668198529411764,0.4331801470588235,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",0.1508058326937836,0.8491941673062164,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",0.47480220902653947,0.5251977909734605,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",0.9467468482828576,0.05325315171714244,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",0.55658277692176,0.44341722307824005,17,31,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",0.8007427460780231,0.19925725392197696,17,31,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",0.9709009513150532,0.029099048684946838,17,31,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",0.9203481026445345,0.07965189735546552,17,31,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",0.9491354757041341,0.05086452429586582,17,31,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",0.8135998633179566,0.1864001366820434,17,31,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",0.46518363322652206,0.534816366773478,17,31,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",0.9614615615315405,0.03853843846845946,17,31,20006.0,2005-2009
