Community Area,NAME,female,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",25723.0,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",6446.0,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",6999.0,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",22872.0,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",31210.0,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",56147.0,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",5909.0,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",19389.0,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",40248.0,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",12054.0,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",16285.0,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",21987.0,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",2276.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",9287.0,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",20621.0,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",29288.0,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",12094.0,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",11203.0,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",22396.0,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",10926.0,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",13922.0,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",28777.0,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",6107.0,17,31,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",19505.0,17,31,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",12043.0,17,31,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",1529.0,17,31,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",19906.0,17,31,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",20506.0,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",12136.0,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",21270.0,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",4965.0,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",12698.0,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",29212.0,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",14315.0,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",28727.0,17,31,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",14873.0,17,31,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",9928.0,17,31,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",46614.0,17,31,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",36253.0,17,31,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",20660.0,17,31,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",39745.0,17,31,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",10237.0,17,31,20006.0,2005-2009
LOWER WEST SIDE,"Census Tract 3101, Cook County, Illinois",17126.0,17,31,37477.0,2005-2009
MCKINLEY PARK,"Census Tract 5901, Cook County, Illinois",8187.0,17,31,16192.0,2005-2009
MONTCLARE,"Census Tract 1801, Cook County, Illinois",7418.0,17,31,14556.0,2005-2009
MORGAN PARK,"Census Tract 7501, Cook County, Illinois",15501.0,17,31,29199.0,2005-2009
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",10008.0,17,31,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",41716.0,17,31,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",8761.0,17,31,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",25028.0,17,31,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",23116.0,17,31,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",17973.0,17,31,34623.0,2005-2009
