Community Area,NAME,female,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.48850105399092236,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.5234267153877386,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",0.509574080815435,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",0.512514845273041,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.5648050960946831,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",0.5435123518934407,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",0.5670825335892514,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.4595965581814303,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",0.49415578037520874,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.5137669422896599,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",0.5027165524479842,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",0.4844338687289312,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.5500241662638956,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",0.5652120990810054,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",0.5636617100371747,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",0.5228226137560471,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",0.4939754115100274,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",0.5199573006590551,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",0.5014329213684399,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",0.5224001912502988,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",0.5232260974143115,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",0.4974760571171732,17,31,57846.0,2005-2009
