Community Area,NAME,0-25k,25-60k,60-100k,100-150k,150-200k,200k+,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",5117.0,5825.0,3368.0,1613.0,525.0,414.0,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",875.0,1490.0,760.0,315.0,125.0,57.0,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",2325.0,1474.0,765.0,336.0,121.0,60.0,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",2217.0,4419.0,3701.0,2386.0,567.0,71.0,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",7217.0,6277.0,3347.0,1201.0,212.0,83.0,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",13423.0,11837.0,5615.0,2363.0,627.0,316.0,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",1281.0,1333.0,903.0,437.0,55.0,72.0,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",3530.0,5589.0,3105.0,1381.0,238.0,214.0,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",6061.0,9180.0,5112.0,1904.0,204.0,156.0,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",1002.0,1843.0,2232.0,1651.0,815.0,900.0,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",3670.0,3980.0,2619.0,1121.0,433.0,331.0,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",3449.0,4834.0,2504.0,859.0,190.0,11.0,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",569.0,363.0,179.0,73.0,10.0,0.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",1351.0,1995.0,1404.0,630.0,251.0,220.0,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",6446.0,5475.0,2030.0,1052.0,422.0,167.0,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",5562.0,6299.0,2944.0,1043.0,198.0,57.0,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",1763.0,3545.0,2275.0,1016.0,299.0,68.0,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",3945.0,2998.0,1515.0,656.0,262.0,207.0,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",3267.0,4846.0,4625.0,2466.0,572.0,498.0,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",3364.0,1960.0,895.0,271.0,61.0,49.0,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",2231.0,2748.0,1605.0,867.0,160.0,24.0,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",9480.0,9169.0,6140.0,2857.0,1268.0,1074.0,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",650.0,1254.0,1340.0,949.0,503.0,296.0,17,31,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",6640.0,3097.0,1426.0,356.0,87.0,69.0,17,31,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",1248.0,2055.0,1951.0,1655.0,875.0,924.0,17,31,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",621.0,458.0,103.0,9.0,0.0,0.0,17,31,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",2433.0,4385.0,1904.0,630.0,88.0,46.0,17,31,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",2824.0,4381.0,3799.0,1983.0,470.0,236.0,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",4551.0,2264.0,1464.0,605.0,277.0,207.0,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",6440.0,4940.0,2018.0,766.0,96.0,54.0,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",965.0,1346.0,784.0,674.0,149.0,44.0,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",1714.0,3211.0,1726.0,600.0,94.0,34.0,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",8172.0,5656.0,2526.0,845.0,267.0,133.0,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",4139.0,3771.0,2397.0,1212.0,917.0,922.0,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",4011.0,7375.0,5451.0,2369.0,814.0,760.0,17,31,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",2047.0,3341.0,2727.0,1885.0,373.0,212.0,17,31,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",3664.0,2471.0,1554.0,733.0,277.0,545.0,17,31,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",7809.0,13561.0,11546.0,8213.0,3443.0,5837.0,17,31,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",5329.0,6974.0,6329.0,5476.0,3101.0,6643.0,17,31,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",3959.0,6289.0,4006.0,2636.0,787.0,810.0,17,31,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",8001.0,10115.0,6487.0,3674.0,1585.0,1228.0,17,31,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",1569.0,2109.0,2634.0,1870.0,1032.0,1596.0,17,31,20006.0,2005-2009
LOWER WEST SIDE,"Census Tract 3101, Cook County, Illinois",4700.0,4571.0,2048.0,571.0,180.0,120.0,17,31,37477.0,2005-2009
MCKINLEY PARK,"Census Tract 5901, Cook County, Illinois",1344.0,1952.0,1228.0,423.0,86.0,29.0,17,31,16192.0,2005-2009
MONTCLARE,"Census Tract 1801, Cook County, Illinois",1097.0,1559.0,1058.0,649.0,190.0,93.0,17,31,14556.0,2005-2009
MORGAN PARK,"Census Tract 7501, Cook County, Illinois",2687.0,3321.0,2599.0,1640.0,375.0,216.0,17,31,29199.0,2005-2009
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",847.0,1610.0,2387.0,1467.0,558.0,140.0,17,31,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",9622.0,10418.0,10341.0,6559.0,3423.0,8309.0,17,31,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",2066.0,1556.0,1852.0,1396.0,1103.0,1022.0,17,31,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",7021.0,4668.0,5004.0,3175.0,1620.0,1879.0,17,31,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",5145.0,4770.0,2064.0,739.0,112.0,106.0,17,31,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",1920.0,3758.0,3563.0,2705.0,1455.0,1971.0,17,31,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",5631.0,3796.0,1336.0,281.0,170.0,61.0,17,31,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",1668.0,1928.0,1429.0,1068.0,275.0,278.0,17,31,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",2610.0,4423.0,4418.0,2750.0,1122.0,488.0,17,31,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",649.0,292.0,131.0,95.0,18.0,25.0,17,31,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",3444.0,6912.0,3921.0,1885.0,457.0,343.0,17,31,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",5114.0,8041.0,5951.0,3086.0,945.0,494.0,17,31,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",1069.0,1342.0,711.0,90.0,16.0,2.0,17,31,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",1649.0,682.0,226.0,72.0,0.0,21.0,17,31,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",8122.0,8381.0,4961.0,1768.0,643.0,404.0,17,31,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",5774.0,6001.0,2939.0,1267.0,258.0,198.0,17,31,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",4867.0,4258.0,2261.0,717.0,124.0,34.0,17,31,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",1955.0,1852.0,1199.0,457.0,46.0,15.0,17,31,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",5920.0,6797.0,2626.0,923.0,202.0,99.0,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",11252.0,7866.0,3487.0,1233.0,324.0,185.0,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",11072.0,8396.0,5516.0,3250.0,1473.0,1109.0,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",2860.0,3649.0,2046.0,1119.0,165.0,81.0,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",2615.0,1229.0,387.0,147.0,0.0,20.0,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",876.0,2249.0,1405.0,399.0,82.0,31.0,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",5211.0,4070.0,1477.0,303.0,65.0,26.0,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",3331.0,2017.0,723.0,232.0,35.0,0.0,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",2101.0,3891.0,2239.0,632.0,241.0,60.0,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",3202.0,3971.0,2025.0,758.0,232.0,30.0,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",6218.0,8438.0,5545.0,3238.0,956.0,427.0,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",8461.0,10583.0,8020.0,5300.0,2793.0,3067.0,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",4732.0,2644.0,1384.0,556.0,193.0,35.0,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",4018.0,5159.0,3712.0,1947.0,815.0,775.0,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",872.0,1760.0,745.0,420.0,111.0,16.0,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",2664.0,1296.0,669.0,394.0,73.0,54.0,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",1984.0,3774.0,3701.0,2314.0,748.0,201.0,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",7403.0,5794.0,2684.0,874.0,287.0,116.0,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",13223.0,11111.0,4963.0,2050.0,547.0,383.0,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",1146.0,1254.0,756.0,532.0,108.0,48.0,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",3405.0,5457.0,2731.0,1194.0,465.0,308.0,17,31,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",5540.0,8859.0,4279.0,2137.0,585.0,106.0,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",704.0,1591.0,1804.0,1477.0,1032.0,918.0,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",3623.0,4224.0,2568.0,1057.0,386.0,291.0,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",3578.0,5630.0,1937.0,661.0,89.0,89.0,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",448.0,285.0,87.0,48.0,27.0,6.0,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",1151.0,1885.0,1291.0,718.0,165.0,115.0,17,31,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",5328.0,4584.0,2285.0,834.0,332.0,106.0,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",6138.0,6109.0,2610.0,778.0,159.0,42.0,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",1766.0,2434.0,2388.0,1350.0,348.0,154.0,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",4093.0,2407.0,1701.0,489.0,248.0,133.0,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",2998.0,4512.0,4101.0,2681.0,641.0,368.0,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",3657.0,1852.0,963.0,271.0,96.0,42.0,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",1748.0,2455.0,1525.0,690.0,241.0,60.0,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",7759.0,8901.0,5626.0,2831.0,1275.0,1163.0,17,31,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",497.0,1156.0,1176.0,801.0,481.0,380.0,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",5640.0,2642.0,714.0,295.0,26.0,44.0,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",737.0,1401.0,1344.0,1392.0,704.0,1095.0,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",666.0,281.0,95.0,56.0,0.0,8.0,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",2772.0,4130.0,1890.0,550.0,89.0,20.0,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",2185.0,3614.0,2832.0,2092.0,849.0,370.0,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",4500.0,2623.0,1572.0,641.0,317.0,237.0,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",5853.0,3572.0,1754.0,550.0,120.0,183.0,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",945.0,1084.0,836.0,392.0,260.0,32.0,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",2054.0,2725.0,1452.0,523.0,124.0,45.0,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",6538.0,5639.0,3043.0,797.0,255.0,162.0,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",2453.0,2160.0,1458.0,814.0,389.0,570.0,17,31,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",4401.0,7562.0,4163.0,2438.0,878.0,871.0,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",2125.0,2780.0,2359.0,1657.0,707.0,487.0,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",2253.0,1761.0,567.0,534.0,196.0,466.0,17,31,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",7064.0,10132.0,10184.0,7945.0,3449.0,6512.0,17,31,87343.0,2010-2014
