Community Area,NAME,0-25k,25-60k,60-100k,100-150k,150-200k,200k+,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.09717606396110678,0.1106215697817954,0.06396110678542265,0.03063220464515639,0.009970184400934348,0.007862202556165373,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.07105156313438896,0.12099066179455949,0.061713357693869264,0.025578562728380026,0.010150223304912708,0.004628501827040195,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",0.16927557335274845,0.1073170731707317,0.05569712413542046,0.02446305060065526,0.008809610484164542,0.004368401892974154,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",0.049678445783942454,0.09902077217827772,0.08293185739574697,0.05346539090685011,0.012705312927151725,0.0015909651108073587,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.13060552318216367,0.11359441166889862,0.06057041514350863,0.021734409497267362,0.0038365485540555215,0.0015020449527670201,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",0.12993688530937814,0.11458414001393945,0.05435413923952606,0.02287423526678541,0.0060694648803531325,0.0030589328583597924,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",0.12293666026871401,0.12792706333973128,0.08666026871401152,0.041938579654510554,0.00527831094049904,0.00690978886756238,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.08367506577855738,0.13248157015194253,0.07360087230663474,0.032735202787588596,0.005641548344276673,0.005072652712921042,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",0.07441557803752087,0.11270994990668894,0.06276397210490128,0.023376878499165112,0.002504665553481976,0.0019153324820744525,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.042707356576591936,0.07855255306452988,0.09513255476941437,0.07036910749296735,0.03473702156678885,0.038359901116699346,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",0.11329258504661358,0.12286225844292153,0.08084830524171142,0.034605173797616844,0.013366672840649503,0.010217941594122369,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",0.07599092251085113,0.10650626831471567,0.055169982594134886,0.0189261242205918,0.004186220723995858,0.00024236014717870757,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.1375060415659739,0.08772353794103431,0.04325761237312711,0.01764137264378927,0.002416626389560174,0.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",0.08222262795934514,0.12141683403322986,0.08544823808654373,0.0383421581157568,0.015276002677865011,0.013389325056296026,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",0.17619724469713535,0.14965558714191995,0.05548873824622786,0.028755740214301335,0.011535097310299584,0.004564837087251257,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",0.09928774165907996,0.1124439922169264,0.05255359788643139,0.018618682946857316,0.0035345150752423287,0.0010175119156000643,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",0.07200914920557121,0.14479434709798636,0.09292161908262876,0.041498182412286075,0.012212555650859781,0.002777437405546706,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",0.1830966304650515,0.13914415668801633,0.07031467557783347,0.030446486586837462,0.012160029703889352,0.00960735171261487,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",0.07314615797958086,0.1084990148665592,0.10355095826616514,0.05521225147770016,0.012806734730431667,0.011149919398173025,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",0.16084150131484581,0.09371264642601004,0.04279225436289744,0.012957207745637103,0.002916567057136027,0.002342816160650251,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",0.08384696331930247,0.10327720986169574,0.060320204449789534,0.0325841852074564,0.006013229104028864,0.0009019843656043296,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",0.16388341458354944,0.1585070704975279,0.10614389931888117,0.04938975901531653,0.021920271064550703,0.018566538740794523,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.05548442168160478,0.10704225352112676,0.11438326931284677,0.08100725565514298,0.042936406316688006,0.025266752027315407,17,31,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",0.18871141931450008,0.08801796168930824,0.040527482521457395,0.010117660433126811,0.0024725743193315525,0.0019610072187801965,17,31,35186.0,2005-2009
