community_area,NAME,0-15k,15-25k,25-50k,50-75k,75k+,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",7319.0,5994.0,7337.0,2856.0,2214.0,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",1107.0,1275.0,2052.0,555.0,242.0,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",1758.0,1185.0,1306.0,888.0,434.0,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",2999.0,2590.0,6543.0,4133.0,2061.0,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",4835.0,3616.0,6260.0,3021.0,773.0,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",8876.0,7753.0,13319.0,5015.0,1952.0,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",876.0,651.0,997.0,825.0,452.0,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",5643.0,4954.0,7418.0,1955.0,1520.0,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",9728.0,10367.0,11391.0,2999.0,1279.0,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",1728.0,728.0,2613.0,2617.0,3307.0,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",3296.0,2706.0,4966.0,2507.0,1413.0,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",5088.0,5064.0,6191.0,1703.0,522.0,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",354.0,174.0,356.0,181.0,20.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",1276.0,537.0,1994.0,1256.0,769.0,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",3417.0,2232.0,5653.0,1984.0,1240.0,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",4908.0,4762.0,7614.0,2435.0,660.0,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",1937.0,1499.0,4882.0,1883.0,891.0,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",2725.0,835.0,2682.0,1323.0,1260.0,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",4229.0,3679.0,7623.0,3898.0,2963.0,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",1692.0,965.0,2005.0,931.0,332.0,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",2274.0,2125.0,2955.0,1402.0,522.0,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",5973.0,4522.0,9773.0,6319.0,5562.0,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",877.0,476.0,1600.0,1578.0,1685.0,17,31,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",2938.0,1806.0,3064.0,962.0,334.0,17,31,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",1605.0,729.0,2640.0,2122.0,3055.0,17,31,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",224.0,394.0,135.0,84.0,0.0,17,31,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",4232.0,4337.0,5074.0,1058.0,385.0,17,31,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",3098.0,2293.0,5801.0,3368.0,2112.0,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",1911.0,870.0,2474.0,1600.0,1048.0,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",2946.0,2489.0,3924.0,1836.0,786.0,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",1097.0,550.0,1451.0,991.0,356.0,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",2489.0,3251.0,4215.0,1117.0,310.0,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",4254.0,5053.0,6819.0,1641.0,892.0,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",3405.0,1517.0,3772.0,2219.0,2854.0,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",5919.0,4913.0,10439.0,5051.0,3413.0,17,31,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",2585.0,2109.0,4752.0,3018.0,1573.0,17,31,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",1538.0,1029.0,2236.0,1390.0,1418.0,17,31,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",6824.0,5520.0,19059.0,13571.0,18971.0,17,31,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",5843.0,2537.0,9972.0,9115.0,16104.0,17,31,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",4897.0,3295.0,7653.0,4661.0,3954.0,17,31,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",9685.0,7231.0,13902.0,6430.0,6447.0,17,31,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",1652.0,661.0,2047.0,3060.0,4910.0,17,31,20006.0,2005-2009
LOWER WEST SIDE,"Census Tract 3101, Cook County, Illinois",4791.0,4420.0,4808.0,1353.0,666.0,17,31,37477.0,2005-2009
MCKINLEY PARK,"Census Tract 5901, Cook County, Illinois",1967.0,1560.0,2203.0,966.0,418.0,17,31,16192.0,2005-2009
MONTCLARE,"Census Tract 1801, Cook County, Illinois",1487.0,1376.0,2405.0,973.0,561.0,17,31,14556.0,2005-2009
MORGAN PARK,"Census Tract 7501, Cook County, Illinois",2125.0,1939.0,4008.0,2282.0,1802.0,17,31,29199.0,2005-2009
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",1654.0,828.0,2600.0,2507.0,2084.0,17,31,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",5807.0,2750.0,10050.0,9813.0,20378.0,17,31,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",1084.0,651.0,2085.0,2339.0,4153.0,17,31,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",4306.0,2151.0,6194.0,5247.0,8043.0,17,31,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",4469.0,4495.0,4657.0,1428.0,561.0,17,31,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",2205.0,2151.0,6145.0,4744.0,6470.0,17,31,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",2669.0,2374.0,3144.0,1221.0,503.0,17,31,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",1690.0,1465.0,2813.0,1201.0,1176.0,17,31,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",3295.0,2136.0,5758.0,4347.0,3830.0,17,31,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",291.0,151.0,414.0,159.0,128.0,17,31,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",3407.0,3576.0,7704.0,3381.0,2183.0,17,31,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",6650.0,5628.0,11737.0,5734.0,3217.0,17,31,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",559.0,566.0,1096.0,481.0,95.0,17,31,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",897.0,527.0,547.0,189.0,75.0,17,31,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",6995.0,5394.0,9271.0,4674.0,2685.0,17,31,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",4885.0,2849.0,5966.0,2154.0,952.0,17,31,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",2955.0,2278.0,4042.0,1761.0,518.0,17,31,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",1659.0,1274.0,2121.0,1072.0,174.0,17,31,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",7539.0,8896.0,7411.0,1670.0,553.0,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",5851.0,3247.0,7011.0,3129.0,1558.0,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",6420.0,5024.0,8965.0,6083.0,6613.0,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",2056.0,1575.0,4279.0,1741.0,835.0,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",1278.0,547.0,1045.0,429.0,89.0,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",1892.0,1770.0,2544.0,960.0,289.0,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",3346.0,2460.0,3209.0,925.0,273.0,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",1392.0,1063.0,2314.0,392.0,128.0,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",2574.0,2888.0,4900.0,1709.0,648.0,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",3262.0,2334.0,3840.0,1507.0,705.0,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",7582.0,5885.0,10783.0,4824.0,3520.0,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",7281.0,6763.0,15754.0,9343.0,12000.0,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",2289.0,1410.0,2820.0,1403.0,512.0,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",18568.0,7058.0,8583.0,3915.0,3917.0,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",4776.0,2295.0,2789.0,564.0,336.0,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",7686.0,1341.0,1490.0,602.0,584.0,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",14335.0,4376.0,7600.0,4162.0,3256.0,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",20910.0,5899.0,7002.0,2785.0,1399.0,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",44384.0,10979.0,14033.0,5486.0,2766.0,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",4019.0,1107.0,1851.0,829.0,816.0,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",13870.0,5950.0,7056.0,2740.0,2144.0,17,31,39117.0,2010-2014
