community_area,NAME,0-15k,15-25k,25-50k,50-75k,75k+,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.13899386596274,0.11383101961752473,0.1393357008564863,0.054237803141082855,0.04204569193079742,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.08989037758830694,0.10353227771010962,0.16662606577344702,0.04506699147381242,0.019650832318311003,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",0.1279941754641427,0.08627593738623954,0.09508554787040407,0.06465234801601748,0.03159810702584638,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",0.06720146996213056,0.05803661460550787,0.14661527774665561,0.092612095816434,0.046182804132027695,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.08749864273046437,0.06543848854464512,0.11328676390748851,0.05467081689529118,0.013988924680589236,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",0.08592116471772632,0.07505033686982111,0.12893014791295593,0.04854603887555177,0.018895686517463022,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",0.08406909788867563,0.06247600767754319,0.09568138195777351,0.07917466410748561,0.04337811900191939,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.13376158532249272,0.11742953990565815,0.17583615805816957,0.0463412899708441,0.03603005665252329,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",0.1194381691385915,0.12728366565170415,0.139856104508398,0.036821039190649246,0.01570327079854631,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.07365101014406274,0.03102889779217458,0.11137157957548376,0.11154206802489132,0.14095132554769416,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",0.10174723714268075,0.08353398777551399,0.15329999382601717,0.0773908748533679,0.04361918873865531,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",0.11210258444047855,0.11157379866481591,0.13640469738030714,0.03752175733139445,0.011501090620662305,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.08554857419043016,0.04204929917834703,0.0860318994683422,0.04374093765103915,0.004833252779120348,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",0.07765808532651695,0.03268212525104985,0.12135597346479216,0.07644087395776276,0.04680177712859838,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",0.09340148698884758,0.06101027771703477,0.15452110212114586,0.05423135797069757,0.03389459873168598,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",0.08761313125903711,0.08500687266820187,0.13591817062068226,0.0434673949909852,0.011781716917474429,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",0.07911612139035248,0.06122615692521342,0.19940366785116204,0.07691050933300658,0.036392598946207576,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",0.12647359138587208,0.03875429314025805,0.12447786131996658,0.06140350877192982,0.05847953216374269,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",0.09468475729894323,0.08237058928891278,0.17067436861902202,0.08727386709654308,0.06633978147949131,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",0.08089887640449438,0.0461391345923978,0.0958642122878317,0.04451350705235477,0.01587377480277313,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",0.08546301864101022,0.07986319903788335,0.11105682501503307,0.052690920024052915,0.019618159951894167,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",0.10325692355564775,0.07817308024755384,0.1689485876292224,0.10923832244234692,0.09615185146769008,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.07486128894579598,0.040631668800682884,0.1365770379854887,0.13469910371318822,0.14383269312846778,17,31,11715.0,2005-2009
