Community Area,NAME,white,black,native,asian,hawaii_pacific,other,two_or_more,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",20259.0,2309.0,180.0,6754.0,68.0,21391.0,1696.0,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",6823.0,185.0,52.0,0.0,0.0,5150.0,105.0,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",2401.0,1264.0,8.0,9332.0,13.0,326.0,391.0,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",11370.0,22031.0,232.0,376.0,0.0,10244.0,374.0,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",380.0,54463.0,30.0,57.0,0.0,16.0,312.0,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",8517.0,87918.0,94.0,392.0,0.0,5681.0,702.0,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",37.0,10227.0,0.0,34.0,0.0,0.0,122.0,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",21809.0,1281.0,108.0,1371.0,29.0,16887.0,702.0,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",30684.0,5285.0,285.0,1803.0,39.0,42694.0,658.0,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",15287.0,7533.0,42.0,138.0,0.0,53.0,409.0,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",15720.0,273.0,128.0,10530.0,34.0,5095.0,614.0,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",18451.0,480.0,72.0,2520.0,16.0,23238.0,610.0,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",82.0,4056.0,0.0,0.0,0.0,0.0,0.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",105.0,15758.0,0.0,131.0,0.0,437.0,0.0,17,31,16431.0,2005-2009
CHATHAM,"Census Tract 4401, Cook County, Illinois",218.0,35601.0,52.0,96.0,0.0,47.0,570.0,17,31,36584.0,2005-2009
CHICAGO LAWN,"Census Tract 6601, Cook County, Illinois",6794.0,31523.0,97.0,310.0,0.0,16241.0,1054.0,17,31,56019.0,2005-2009
CLEARING,"Census Tract 6401, Cook County, Illinois",17010.0,239.0,177.0,215.0,0.0,6590.0,252.0,17,31,24483.0,2005-2009
DOUGLAS,"Census Tract 3501, Cook County, Illinois",3101.0,16702.0,15.0,1540.0,0.0,110.0,78.0,17,31,21546.0,2005-2009
DUNNING,"Census Tract 1701, Cook County, Illinois",36934.0,522.0,107.0,1757.0,83.0,4616.0,645.0,17,31,44664.0,2005-2009
EAST GARFIELD PARK,"Census Tract 2701, Cook County, Illinois",853.0,19473.0,33.0,112.0,0.0,311.0,133.0,17,31,20915.0,2005-2009
EAST SIDE,"Census Tract 5201, Cook County, Illinois",14955.0,766.0,22.0,72.0,0.0,10358.0,435.0,17,31,26608.0,2005-2009
EDGEWATER,"Census Tract 301, Cook County, Illinois",36783.0,9064.0,185.0,6056.0,17.0,3930.0,1811.0,17,31,57846.0,2005-2009
EDISON PARK,"Census Tract 901, Cook County, Illinois",11186.0,0.0,0.0,200.0,0.0,135.0,194.0,17,31,11715.0,2005-2009
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",237.0,34762.0,0.0,0.0,0.0,52.0,135.0,17,31,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",19253.0,336.0,43.0,2246.0,33.0,1104.0,402.0,17,31,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",22.0,3231.0,31.0,11.0,0.0,0.0,22.0,17,31,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",14260.0,2300.0,12.0,182.0,0.0,22533.0,694.0,17,31,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",27658.0,3181.0,23.0,909.0,0.0,7261.0,812.0,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",835.0,20462.0,0.0,40.0,9.0,167.0,264.0,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",572.0,36571.0,22.0,38.0,0.0,161.0,101.0,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",7546.0,925.0,22.0,8.0,0.0,1913.0,466.0,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",8417.0,601.0,43.0,673.0,0.0,15927.0,399.0,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",14403.0,24598.0,92.0,251.0,0.0,17616.0,803.0,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",14148.0,9405.0,76.0,3076.0,0.0,343.0,556.0,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",31012.0,2108.0,73.0,4368.0,0.0,19412.0,1437.0,17,31,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",22763.0,87.0,79.0,2017.0,0.0,3111.0,755.0,17,31,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",3422.0,12872.0,23.0,986.0,0.0,71.0,496.0,17,31,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",79137.0,3233.0,64.0,5281.0,14.0,3017.0,1066.0,17,31,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",59490.0,3485.0,265.0,3832.0,22.0,1523.0,901.0,17,31,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",27608.0,1981.0,150.0,5335.0,201.0,5004.0,692.0,17,31,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",47663.0,5848.0,65.0,2575.0,52.0,23275.0,1662.0,17,31,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",13954.0,2405.0,9.0,2505.0,0.0,557.0,576.0,17,31,20006.0,2005-2009
LOWER WEST SIDE,"Census Tract 3101, Cook County, Illinois",12951.0,1140.0,269.0,201.0,0.0,22374.0,542.0,17,31,37477.0,2005-2009
MCKINLEY PARK,"Census Tract 5901, Cook County, Illinois",6900.0,234.0,61.0,2160.0,0.0,6287.0,550.0,17,31,16192.0,2005-2009
MONTCLARE,"Census Tract 1801, Cook County, Illinois",8955.0,377.0,28.0,242.0,0.0,4746.0,208.0,17,31,14556.0,2005-2009
MORGAN PARK,"Census Tract 7501, Cook County, Illinois",11729.0,16134.0,0.0,334.0,0.0,506.0,496.0,17,31,29199.0,2005-2009
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",18007.0,918.0,0.0,0.0,0.0,463.0,162.0,17,31,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",58483.0,10045.0,139.0,6368.0,10.0,1587.0,780.0,17,31,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",7591.0,6148.0,72.0,2159.0,9.0,428.0,250.0,17,31,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",22054.0,21175.0,149.0,6173.0,24.0,1589.0,1220.0,17,31,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",15728.0,14895.0,307.0,482.0,12.0,14888.0,699.0,17,31,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",29282.0,816.0,86.0,1373.0,0.0,2300.0,766.0,17,31,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",1378.0,33260.0,31.0,167.0,0.0,1175.0,232.0,17,31,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",10531.0,455.0,75.0,5307.0,0.0,2078.0,803.0,17,31,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",35456.0,181.0,92.0,2071.0,0.0,2645.0,652.0,17,31,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",77.0,2628.0,0.0,0.0,0.0,53.0,67.0,17,31,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",33346.0,541.0,58.0,2911.0,0.0,4002.0,449.0,17,31,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",43600.0,1111.0,293.0,3607.0,0.0,15652.0,2102.0,17,31,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",1010.0,6641.0,9.0,0.0,0.0,240.0,0.0,17,31,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",143.0,7702.0,0.0,63.0,0.0,4.0,12.0,17,31,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",26835.0,15604.0,97.0,3651.0,0.0,8329.0,1609.0,17,31,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",496.0,48584.0,83.0,72.0,0.0,114.0,484.0,17,31,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",3932.0,25241.0,40.0,28.0,59.0,4886.0,610.0,17,31,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",3049.0,11018.0,0.0,57.0,0.0,3378.0,223.0,17,31,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",29016.0,10718.0,117.0,53.0,0.0,36922.0,498.0,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",1056.0,51463.0,77.0,186.0,0.0,387.0,959.0,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",35240.0,11638.0,153.0,6608.0,0.0,5233.0,1198.0,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",256.0,27595.0,13.0,43.0,0.0,30.0,309.0,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",75.0,12106.0,17.0,9.0,0.0,10.0,54.0,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",8431.0,388.0,21.0,120.0,0.0,8973.0,316.0,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",647.0,40854.0,9.0,41.0,29.0,274.0,475.0,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",281.0,18472.0,38.0,48.0,0.0,242.0,183.0,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",11943.0,1278.0,212.0,71.0,0.0,18489.0,1317.0,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",839.0,32843.0,0.0,182.0,0.0,686.0,209.0,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",39461.0,7559.0,475.0,14854.0,34.0,7934.0,1598.0,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",59066.0,8345.0,349.0,3170.0,36.0,14210.0,1178.0,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",1258.0,21462.0,51.0,245.0,0.0,118.0,276.0,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",27786.0,2104.0,0.0,7408.0,52.0,13451.0,2129.0,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",8957.0,122.0,57.0,333.0,0.0,4239.0,290.0,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",1933.0,1514.0,4.0,9750.0,65.0,163.0,421.0,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",12364.0,20715.0,93.0,195.0,0.0,8583.0,859.0,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",291.0,46459.0,81.0,126.0,11.0,62.0,581.0,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",7588.0,84855.0,212.0,475.0,58.0,5642.0,881.0,17,31,99711.0,2010-2014
