Community Area,NAME,white,black,native,asian,hawaii_pacific,other,two_or_more,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.38473517291148374,0.04384982053668078,0.0034183489374632055,0.1282640484645916,0.0012913762652638776,0.40623278956264125,0.032208443321875536,17,31,52657.0,2005-2009
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.5540397888753552,0.015022330491270807,0.0042224928948436866,0.0,0.0,0.4181892001624036,0.008526187576126675,17,31,12315.0,2005-2009
ARMOUR SQUARE,"Census Tract 3401, Cook County, Illinois",0.17480888241718237,0.09202766654532217,0.0005824535857298871,0.6794321077539134,0.0009464870768110666,0.0237349836184929,0.028467419002548233,17,31,13735.0,2005-2009
ASHBURN,"Census Tract 7001, Cook County, Illinois",0.2547784973222489,0.4936697514957313,0.005198646559257849,0.008425392699486858,0.0,0.22954713514240258,0.008380576780872565,17,31,44627.0,2005-2009
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.006876832313873104,0.9856129429222918,0.0005429078142531398,0.0010315248470809657,0.0,0.0002895508342683412,0.005646241268232654,17,31,55258.0,2005-2009
AUSTIN,"Census Tract 2501, Cook County, Illinois",0.08244598466661504,0.8510609463331527,0.0009099357236893054,0.003794625571129869,0.0,0.05499303027956323,0.006795477425849919,17,31,103304.0,2005-2009
AVALON PARK,"Census Tract 4501, Cook County, Illinois",0.0035508637236084453,0.9814779270633397,0.0,0.0032629558541266796,0.0,0.0,0.011708253358925143,17,31,10420.0,2005-2009
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.5169602010097898,0.0303648043236068,0.002560030341100339,0.032498162941190414,0.0006874155545547206,0.40028918861260576,0.016640197217152205,17,31,42187.0,2005-2009
BELMONT CRAGIN,"Census Tract 1901, Cook County, Illinois",0.3767311658972596,0.06488802671643257,0.0034991651114821727,0.022136823494745113,0.0004788331205186131,0.5241872114723505,0.008078774187211472,17,31,81448.0,2005-2009
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.6515642315233143,0.3210723723467735,0.0017901287187793028,0.005881851504560566,0.0,0.0022589719546500723,0.01743244395192226,17,31,23462.0,2005-2009
BRIDGEPORT,"Census Tract 6001, Cook County, Illinois",0.4852750509353584,0.008427486571587331,0.003951349015249738,0.3250601963326542,0.0010495770821757117,0.15728221275544854,0.018954127307526086,17,31,32394.0,2005-2009
BRIGHTON PARK,"Census Tract 5801, Cook County, Illinois",0.406526097781303,0.010575715513252693,0.001586357326987904,0.05552250644457664,0.00035252385044175644,0.511996827285346,0.013439971798091964,17,31,45387.0,2005-2009
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.019816336394393428,0.9801836636056066,0.0,0.0,0.0,0.0,0.0,17,31,4138.0,2005-2009
CALUMET HEIGHTS,"Census Tract 4801, Cook County, Illinois",0.006390359685959467,0.9590408374414217,0.0,0.007972734465339906,0.0,0.026596068407278923,0.0,17,31,16431.0,2005-2009
