NAME,B08119_002E,B08119_003E,B08119_004E,B08119_005E,B08119_006E,B08119_007E,B08119_008E,B08119_009E,state,county,tract
"Census Tract 1608, Cook County, Illinois",270.0,157.0,593.0,552.0,490.0,320.0,149.0,138.0,17,031,160800
"Census Tract 1609, Cook County, Illinois",93.0,70.0,196.0,241.0,339.0,272.0,39.0,290.0,17,031,160900
"Census Tract 1610, Cook County, Illinois",78.0,88.0,83.0,142.0,152.0,148.0,61.0,220.0,17,031,161000
"Census Tract 1611, Cook County, Illinois",92.0,98.0,63.0,40.0,130.0,100.0,61.0,404.0,17,031,161100
"Census Tract 1612, Cook County, Illinois",142.0,92.0,290.0,262.0,379.0,144.0,56.0,138.0,17,031,161200
"Census Tract 1613, Cook County, Illinois",292.0,307.0,448.0,456.0,455.0,135.0,60.0,157.0,17,031,161300
"Census Tract 1701, Cook County, Illinois",86.0,66.0,92.0,12.0,61.0,73.0,50.0,172.0,17,031,170100
"Census Tract 1702, Cook County, Illinois",142.0,172.0,287.0,355.0,378.0,161.0,125.0,167.0,17,031,170200
"Census Tract 1703, Cook County, Illinois",390.0,178.0,479.0,434.0,517.0,374.0,211.0,333.0,17,031,170300
"Census Tract 1704, Cook County, Illinois",106.0,145.0,279.0,203.0,433.0,357.0,115.0,253.0,17,031,170400
"Census Tract 1705, Cook County, Illinois",305.0,126.0,357.0,355.0,545.0,360.0,196.0,522.0,17,031,170500
"Census Tract 1706, Cook County, Illinois",136.0,86.0,149.0,203.0,236.0,161.0,61.0,258.0,17,031,170600
"Census Tract 1707, Cook County, Illinois",203.0,182.0,249.0,378.0,407.0,212.0,106.0,292.0,17,031,170700
"Census Tract 1708, Cook County, Illinois",252.0,195.0,378.0,322.0,291.0,259.0,126.0,193.0,17,031,170800
"Census Tract 1709, Cook County, Illinois",212.0,22.0,240.0,222.0,95.0,98.0,23.0,101.0,17,031,170900
"Census Tract 1710, Cook County, Illinois",435.0,281.0,688.0,717.0,603.0,378.0,188.0,465.0,17,031,171000
"Census Tract 1711, Cook County, Illinois",358.0,151.0,481.0,450.0,406.0,196.0,68.0,207.0,17,031,171100
"Census Tract 1801, Cook County, Illinois",425.0,143.0,528.0,603.0,637.0,498.0,137.0,352.0,17,031,180100
"Census Tract 1802, Cook County, Illinois",500.0,377.0,800.0,484.0,444.0,191.0,32.0,173.0,17,031,180200
"Census Tract 1803, Cook County, Illinois",42.0,0.0,48.0,167.0,70.0,84.0,31.0,36.0,17,031,180300
"Census Tract 1901, Cook County, Illinois",95.0,111.0,342.0,221.0,185.0,50.0,7.0,7.0,17,031,190100
"Census Tract 1902, Cook County, Illinois",468.0,324.0,1015.0,424.0,291.0,131.0,61.0,101.0,17,031,190200
"Census Tract 1903, Cook County, Illinois",232.0,322.0,816.0,534.0,368.0,206.0,122.0,145.0,17,031,190300
"Census Tract 1904, Cook County, Illinois",695.0,849.0,1103.0,1166.0,682.0,254.0,176.0,138.0,17,031,190400
"Census Tract 1905, Cook County, Illinois",68.0,65.0,335.0,276.0,277.0,86.0,83.0,141.0,17,031,190500
"Census Tract 1906, Cook County, Illinois",667.0,407.0,858.0,816.0,791.0,431.0,113.0,189.0,17,031,190600
"Census Tract 1907, Cook County, Illinois",547.0,401.0,1048.0,679.0,602.0,108.0,104.0,114.0,17,031,190700
"Census Tract 1908, Cook County, Illinois",503.0,493.0,1245.0,648.0,324.0,57.0,93.0,54.0,17,031,190800
"Census Tract 1909, Cook County, Illinois",181.0,32.0,323.0,136.0,83.0,67.0,35.0,55.0,17,031,190900
"Census Tract 1910, Cook County, Illinois",133.0,112.0,336.0,131.0,111.0,45.0,45.0,0.0,17,031,191000
"Census Tract 1911, Cook County, Illinois",690.0,536.0,1076.0,369.0,388.0,145.0,107.0,130.0,17,031,191100
"Census Tract 1912, Cook County, Illinois",245.0,125.0,370.0,171.0,126.0,64.0,36.0,42.0,17,031,191200
"Census Tract 1913, Cook County, Illinois",656.0,746.0,1355.0,802.0,547.0,169.0,120.0,139.0,17,031,191300
"Census Tract 1914, Cook County, Illinois",25.0,0.0,145.0,139.0,104.0,84.0,0.0,24.0,17,031,191400
"Census Tract 2001, Cook County, Illinois",221.0,111.0,537.0,299.0,427.0,261.0,27.0,71.0,17,031,200100
"Census Tract 2002, Cook County, Illinois",183.0,328.0,744.0,677.0,312.0,181.0,118.0,60.0,17,031,200200
"Census Tract 2003, Cook County, Illinois",192.0,82.0,121.0,137.0,251.0,21.0,21.0,55.0,17,031,200300
"Census Tract 2004, Cook County, Illinois",428.0,447.0,1142.0,847.0,523.0,226.0,72.0,115.0,17,031,200400
"Census Tract 2005, Cook County, Illinois",254.0,172.0,633.0,238.0,300.0,119.0,7.0,9.0,17,031,200500
"Census Tract 2006, Cook County, Illinois",47.0,24.0,74.0,154.0,50.0,64.0,0.0,0.0,17,031,200600
"Census Tract 2101, Cook County, Illinois",351.0,378.0,482.0,550.0,352.0,180.0,44.0,284.0,17,031,210100
"Census Tract 2102, Cook County, Illinois",64.0,109.0,84.0,158.0,89.0,83.0,23.0,20.0,17,031,210200
"Census Tract 2103, Cook County, Illinois",315.0,191.0,842.0,701.0,586.0,119.0,81.0,367.0,17,031,210300
"Census Tract 2104, Cook County, Illinois",129.0,189.0,387.0,243.0,245.0,57.0,66.0,18.0,17,031,210400
"Census Tract 2105, Cook County, Illinois",516.0,1134.0,1175.0,833.0,530.0,350.0,78.0,103.0,17,031,210500
"Census Tract 2106, Cook County, Illinois",466.0,487.0,1245.0,762.0,837.0,101.0,76.0,199.0,17,031,210600
"Census Tract 2107, Cook County, Illinois",274.0,593.0,396.0,317.0,520.0,157.0,175.0,182.0,17,031,210700
"Census Tract 2108, Cook County, Illinois",189.0,37.0,153.0,159.0,67.0,47.0,37.0,66.0,17,031,210800
"Census Tract 2109, Cook County, Illinois",61.0,160.0,190.0,206.0,263.0,190.0,91.0,281.0,17,031,210900
"Census Tract 2201, Cook County, Illinois",71.0,76.0,73.0,82.0,53.0,140.0,49.0,280.0,17,031,220100
"Census Tract 2202, Cook County, Illinois",175.0,223.0,175.0,171.0,145.0,60.0,66.0,131.0,17,031,220200
"Census Tract 2203, Cook County, Illinois",48.0,72.0,290.0,164.0,325.0,133.0,58.0,237.0,17,031,220300
"Census Tract 2204, Cook County, Illinois",160.0,129.0,193.0,241.0,285.0,229.0,97.0,213.0,17,031,220400
"Census Tract 2604, Cook County, Illinois",34.0,51.0,65.0,26.0,52.0,24.0,0.0,0.0,17,031,260400
"Census Tract 2605, Cook County, Illinois",44.0,84.0,72.0,127.0,50.0,28.0,16.0,0.0,17,031,260500
"Census Tract 2606, Cook County, Illinois",54.0,21.0,171.0,146.0,96.0,86.0,0.0,33.0,17,031,260600
"Census Tract 2607, Cook County, Illinois",208.0,93.0,108.0,228.0,51.0,0.0,19.0,0.0,17,031,260700
"Census Tract 2608, Cook County, Illinois",151.0,36.0,233.0,360.0,218.0,29.0,92.0,27.0,17,031,260800
"Census Tract 2609, Cook County, Illinois",60.0,121.0,144.0,36.0,46.0,17.0,0.0,26.0,17,031,260900
"Census Tract 2610, Cook County, Illinois",33.0,0.0,110.0,195.0,192.0,18.0,21.0,26.0,17,031,261000
"Census Tract 2701, Cook County, Illinois",25.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,17,031,270100
"Census Tract 2702, Cook County, Illinois",60.0,35.0,76.0,130.0,63.0,26.0,55.0,35.0,17,031,270200
"Census Tract 2703, Cook County, Illinois",65.0,130.0,77.0,35.0,62.0,16.0,0.0,27.0,17,031,270300
"Census Tract 2704, Cook County, Illinois",96.0,45.0,41.0,221.0,41.0,0.0,0.0,0.0,17,031,270400
"Census Tract 2705, Cook County, Illinois",157.0,48.0,146.0,116.0,139.0,59.0,0.0,58.0,17,031,270500
"Census Tract 2706, Cook County, Illinois",51.0,34.0,79.0,65.0,83.0,17.0,26.0,20.0,17,031,270600
"Census Tract 2707, Cook County, Illinois",0.0,0.0,25.0,43.0,40.0,14.0,42.0,0.0,17,031,270700
"Census Tract 2708, Cook County, Illinois",20.0,96.0,47.0,0.0,10.0,30.0,0.0,12.0,17,031,270800
"Census Tract 2709, Cook County, Illinois",0.0,0.0,0.0,0.0,75.0,0.0,0.0,9.0,17,031,270900
"Census Tract 2710, Cook County, Illinois",21.0,56.0,53.0,63.0,6.0,7.0,0.0,0.0,17,031,271000
"Census Tract 2711, Cook County, Illinois",128.0,7.0,33.0,70.0,52.0,39.0,81.0,21.0,17,031,271100
"Census Tract 2712, Cook County, Illinois",85.0,37.0,78.0,120.0,34.0,75.0,19.0,20.0,17,031,271200
"Census Tract 2713, Cook County, Illinois",58.0,54.0,23.0,16.0,59.0,48.0,0.0,12.0,17,031,271300
"Census Tract 2714, Cook County, Illinois",25.0,12.0,55.0,86.0,90.0,34.0,24.0,30.0,17,031,271400
"Census Tract 2715, Cook County, Illinois",34.0,79.0,62.0,91.0,20.0,103.0,29.0,69.0,17,031,271500
"Census Tract 2716, Cook County, Illinois",67.0,0.0,6.0,23.0,12.0,11.0,37.0,0.0,17,031,271600
"Census Tract 2717, Cook County, Illinois",67.0,24.0,103.0,0.0,15.0,52.0,0.0,0.0,17,031,271700
"Census Tract 2718, Cook County, Illinois",0.0,26.0,28.0,17.0,0.0,36.0,11.0,0.0,17,031,271800
