NAME,B00001_001E,state,county,tract
"Census Tract 1608, Cook County, Illinois",350.0,17,031,160800
"Census Tract 1609, Cook County, Illinois",212.0,17,031,160900
"Census Tract 1610, Cook County, Illinois",115.0,17,031,161000
"Census Tract 1611, Cook County, Illinois",147.0,17,031,161100
"Census Tract 1612, Cook County, Illinois",173.0,17,031,161200
"Census Tract 1613, Cook County, Illinois",265.0,17,031,161300
"Census Tract 1701, Cook County, Illinois",131.0,17,031,170100
"Census Tract 1702, Cook County, Illinois",246.0,17,031,170200
"Census Tract 1703, Cook County, Illinois",387.0,17,031,170300
"Census Tract 1704, Cook County, Illinois",266.0,17,031,170400
"Census Tract 1705, Cook County, Illinois",241.0,17,031,170500
"Census Tract 1706, Cook County, Illinois",193.0,17,031,170600
"Census Tract 1707, Cook County, Illinois",215.0,17,031,170700
"Census Tract 1708, Cook County, Illinois",277.0,17,031,170800
"Census Tract 1709, Cook County, Illinois",111.0,17,031,170900
"Census Tract 1710, Cook County, Illinois",351.0,17,031,171000
"Census Tract 1711, Cook County, Illinois",306.0,17,031,171100
"Census Tract 1801, Cook County, Illinois",294.0,17,031,180100
"Census Tract 1802, Cook County, Illinois",419.0,17,031,180200
"Census Tract 1803, Cook County, Illinois",86.0,17,031,180300
"Census Tract 1901, Cook County, Illinois",158.0,17,031,190100
"Census Tract 1902, Cook County, Illinois",367.0,17,031,190200
"Census Tract 1903, Cook County, Illinois",353.0,17,031,190300
"Census Tract 1904, Cook County, Illinois",488.0,17,031,190400
"Census Tract 1905, Cook County, Illinois",145.0,17,031,190500
"Census Tract 1906, Cook County, Illinois",425.0,17,031,190600
"Census Tract 1907, Cook County, Illinois",349.0,17,031,190700
"Census Tract 1908, Cook County, Illinois",297.0,17,031,190800
"Census Tract 1909, Cook County, Illinois",122.0,17,031,190900
"Census Tract 1910, Cook County, Illinois",110.0,17,031,191000
"Census Tract 1911, Cook County, Illinois",371.0,17,031,191100
"Census Tract 1912, Cook County, Illinois",207.0,17,031,191200
"Census Tract 1913, Cook County, Illinois",487.0,17,031,191300
"Census Tract 1914, Cook County, Illinois",61.0,17,031,191400
"Census Tract 2001, Cook County, Illinois",269.0,17,031,200100
"Census Tract 2002, Cook County, Illinois",346.0,17,031,200200
"Census Tract 2003, Cook County, Illinois",116.0,17,031,200300
"Census Tract 2004, Cook County, Illinois",376.0,17,031,200400
"Census Tract 2005, Cook County, Illinois",258.0,17,031,200500
"Census Tract 2006, Cook County, Illinois",51.0,17,031,200600
"Census Tract 2101, Cook County, Illinois",292.0,17,031,210100
"Census Tract 2102, Cook County, Illinois",88.0,17,031,210200
"Census Tract 2103, Cook County, Illinois",283.0,17,031,210300
"Census Tract 2104, Cook County, Illinois",147.0,17,031,210400
"Census Tract 2105, Cook County, Illinois",398.0,17,031,210500
"Census Tract 2106, Cook County, Illinois",375.0,17,031,210600
"Census Tract 2107, Cook County, Illinois",304.0,17,031,210700
"Census Tract 2108, Cook County, Illinois",98.0,17,031,210800
"Census Tract 2109, Cook County, Illinois",203.0,17,031,210900
"Census Tract 2201, Cook County, Illinois",85.0,17,031,220100
"Census Tract 2202, Cook County, Illinois",137.0,17,031,220200
