NAME,B07001_002E,B07001_003E,B07001_004E,B07001_005E,B07001_006E,B07001_007E,B07001_008E,B07001_009E,B07001_010E,B07001_011E,B07001_012E,B07001_013E,B07001_014E,B07001_015E,B07001_016E,state,county,tract
"Census Tract 6302, Cook County, Illinois",132.0,330.0,60.0,198.0,228.0,74.0,124.0,42.0,117.0,148.0,70.0,47.0,64.0,66.0,102.0,17,031,630200
"Census Tract 5807, Cook County, Illinois",391.0,1107.0,178.0,624.0,609.0,320.0,409.0,249.0,228.0,386.0,389.0,274.0,362.0,144.0,137.0,17,031,580700
"Census Tract 5906, Cook County, Illinois",228.0,555.0,127.0,294.0,325.0,276.0,243.0,234.0,130.0,342.0,157.0,79.0,127.0,156.0,85.0,17,031,590600
"Census Tract 6007, Cook County, Illinois",133.0,292.0,41.0,220.0,329.0,228.0,188.0,257.0,193.0,198.0,209.0,121.0,170.0,150.0,106.0,17,031,600700
"Census Tract 6119, Cook County, Illinois",79.0,425.0,55.0,119.0,158.0,97.0,23.0,141.0,64.0,78.0,50.0,55.0,79.0,96.0,103.0,17,031,611900
"Census Tract 8045.05, Cook County, Illinois",223.0,509.0,27.0,106.0,310.0,192.0,265.0,294.0,238.0,367.0,190.0,225.0,193.0,105.0,152.0,17,031,804505
"Census Tract 8047.01, Cook County, Illinois",355.0,1079.0,122.0,222.0,752.0,589.0,606.0,377.0,474.0,217.0,240.0,176.0,339.0,235.0,288.0,17,031,804701
"Census Tract 8047.06, Cook County, Illinois",138.0,384.0,35.0,156.0,211.0,164.0,105.0,173.0,151.0,140.0,169.0,187.0,162.0,105.0,102.0,17,031,804706
"Census Tract 8240.05, Cook County, Illinois",252.0,936.0,79.0,387.0,294.0,340.0,332.0,291.0,560.0,368.0,413.0,516.0,345.0,193.0,390.0,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",271.0,841.0,127.0,211.0,118.0,196.0,340.0,187.0,291.0,337.0,452.0,352.0,340.0,211.0,363.0,17,031,824006
"Census Tract 8241.13, Cook County, Illinois",276.0,1323.0,119.0,367.0,284.0,279.0,321.0,398.0,411.0,652.0,768.0,548.0,364.0,318.0,547.0,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",192.0,805.0,112.0,174.0,254.0,329.0,394.0,178.0,237.0,387.0,593.0,427.0,361.0,201.0,440.0,17,031,824114
"Census Tract 8241.15, Cook County, Illinois",318.0,538.0,50.0,185.0,284.0,223.0,296.0,109.0,337.0,224.0,309.0,234.0,175.0,193.0,568.0,17,031,824115
"Census Tract 8241.16, Cook County, Illinois",324.0,917.0,114.0,274.0,295.0,470.0,416.0,536.0,302.0,351.0,337.0,274.0,224.0,132.0,397.0,17,031,824116
"Census Tract 8241.17, Cook County, Illinois",410.0,1646.0,204.0,302.0,665.0,363.0,747.0,557.0,375.0,733.0,865.0,911.0,530.0,502.0,550.0,17,031,824117
"Census Tract 8241.19, Cook County, Illinois",155.0,859.0,104.0,239.0,346.0,206.0,213.0,402.0,405.0,392.0,685.0,429.0,396.0,262.0,533.0,17,031,824119
"Census Tract 8241.20, Cook County, Illinois",191.0,1458.0,131.0,525.0,370.0,269.0,269.0,574.0,507.0,823.0,1072.0,744.0,492.0,367.0,1078.0,17,031,824120
"Census Tract 8241.21, Cook County, Illinois",162.0,384.0,22.0,125.0,253.0,289.0,183.0,172.0,131.0,203.0,274.0,327.0,255.0,135.0,206.0,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",187.0,963.0,198.0,435.0,428.0,404.0,384.0,222.0,361.0,507.0,547.0,662.0,444.0,306.0,408.0,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",414.0,1151.0,185.0,403.0,412.0,740.0,582.0,425.0,233.0,495.0,655.0,588.0,294.0,262.0,456.0,17,031,824123
"Census Tract 8253.03, Cook County, Illinois",260.0,734.0,75.0,206.0,315.0,348.0,211.0,324.0,232.0,178.0,242.0,287.0,176.0,57.0,271.0,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",168.0,640.0,79.0,242.0,370.0,505.0,186.0,202.0,289.0,176.0,380.0,254.0,203.0,154.0,397.0,17,031,825304
"Census Tract 8300.07, Cook County, Illinois",311.0,1044.0,217.0,357.0,245.0,389.0,111.0,373.0,270.0,353.0,355.0,157.0,228.0,140.0,285.0,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",176.0,815.0,248.0,434.0,156.0,46.0,302.0,502.0,439.0,261.0,276.0,296.0,162.0,78.0,204.0,17,031,830008
"Census Tract 8305, Cook County, Illinois",199.0,829.0,123.0,121.0,311.0,272.0,285.0,274.0,286.0,116.0,117.0,215.0,202.0,265.0,195.0,17,031,830500
"Census Tract 8306, Cook County, Illinois",161.0,806.0,104.0,399.0,528.0,806.0,269.0,450.0,434.0,215.0,170.0,184.0,97.0,34.0,46.0,17,031,830600
"Census Tract 8307, Cook County, Illinois",123.0,436.0,25.0,143.0,597.0,501.0,235.0,306.0,297.0,311.0,167.0,226.0,126.0,134.0,103.0,17,031,830700
"Census Tract 8308, Cook County, Illinois",79.0,157.0,11.0,111.0,479.0,599.0,355.0,218.0,39.0,203.0,57.0,76.0,46.0,14.0,34.0,17,031,830800
"Census Tract 8309, Cook County, Illinois",63.0,342.0,0.0,265.0,369.0,544.0,189.0,268.0,356.0,105.0,82.0,149.0,40.0,74.0,99.0,17,031,830900
"Census Tract 8310, Cook County, Illinois",153.0,134.0,0.0,108.0,336.0,347.0,235.0,257.0,142.0,84.0,131.0,80.0,39.0,63.0,34.0,17,031,831000
"Census Tract 8311, Cook County, Illinois",447.0,1436.0,280.0,465.0,850.0,1018.0,553.0,587.0,547.0,562.0,365.0,328.0,458.0,274.0,343.0,17,031,831100
"Census Tract 8119, Cook County, Illinois",206.0,1051.0,505.0,535.0,195.0,143.0,302.0,319.0,328.0,514.0,434.0,416.0,326.0,244.0,293.0,17,031,811900
"Census Tract 1910, Cook County, Illinois",128.0,545.0,90.0,196.0,100.0,198.0,331.0,172.0,154.0,95.0,242.0,144.0,97.0,78.0,160.0,17,031,191000
"Census Tract 8056, Cook County, Illinois",257.0,969.0,102.0,229.0,151.0,177.0,121.0,329.0,327.0,466.0,328.0,231.0,208.0,210.0,303.0,17,031,805600
"Census Tract 8060.04, Cook County, Illinois",302.0,790.0,123.0,376.0,700.0,586.0,405.0,299.0,312.0,450.0,476.0,722.0,502.0,307.0,711.0,17,031,806004
"Census Tract 8020.02, Cook County, Illinois",318.0,1056.0,99.0,209.0,234.0,203.0,265.0,216.0,503.0,484.0,365.0,336.0,343.0,326.0,449.0,17,031,802002
"Census Tract 8025.04, Cook County, Illinois",267.0,1133.0,75.0,434.0,529.0,530.0,293.0,377.0,418.0,536.0,553.0,415.0,314.0,248.0,442.0,17,031,802504
"Census Tract 8027.02, Cook County, Illinois",276.0,591.0,42.0,172.0,168.0,250.0,286.0,273.0,221.0,240.0,458.0,388.0,425.0,383.0,543.0,17,031,802702
"Census Tract 8030.08, Cook County, Illinois",225.0,867.0,56.0,172.0,108.0,138.0,288.0,355.0,318.0,440.0,392.0,293.0,204.0,296.0,358.0,17,031,803008
