NAME,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state,county,tract
"Census Tract 6302, Cook County, Illinois",317.0,497.0,190.0,62.0,16.0,17,031,630200
"Census Tract 5807, Cook County, Illinois",1324.0,1235.0,493.0,381.0,74.0,17,031,580700
"Census Tract 5906, Cook County, Illinois",526.0,662.0,541.0,243.0,182.0,17,031,590600
"Census Tract 6007, Cook County, Illinois",352.0,523.0,723.0,410.0,141.0,17,031,600700
"Census Tract 6119, Cook County, Illinois",250.0,533.0,132.0,0.0,29.0,17,031,611900
"Census Tract 8045.05, Cook County, Illinois",197.0,612.0,857.0,634.0,231.0,17,031,804505
"Census Tract 8047.01, Cook County, Illinois",233.0,987.0,981.0,1558.0,534.0,17,031,804701
"Census Tract 8047.06, Cook County, Illinois",79.0,292.0,452.0,580.0,266.0,17,031,804706
"Census Tract 8240.05, Cook County, Illinois",238.0,1062.0,1035.0,1140.0,567.0,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",166.0,701.0,947.0,869.0,504.0,17,031,824006
"Census Tract 8241.13, Cook County, Illinois",528.0,1098.0,1115.0,1401.0,748.0,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",38.0,835.0,919.0,1208.0,801.0,17,031,824114
"Census Tract 8241.15, Cook County, Illinois",255.0,1015.0,866.0,523.0,293.0,17,031,824115
"Census Tract 8241.16, Cook County, Illinois",327.0,799.0,1075.0,811.0,722.0,17,031,824116
"Census Tract 8241.17, Cook County, Illinois",233.0,1333.0,1803.0,2104.0,1325.0,17,031,824117
"Census Tract 8241.19, Cook County, Illinois",336.0,897.0,1003.0,1346.0,687.0,17,031,824119
"Census Tract 8241.20, Cook County, Illinois",295.0,1569.0,1581.0,1661.0,1459.0,17,031,824120
"Census Tract 8241.21, Cook County, Illinois",141.0,672.0,743.0,645.0,227.0,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",173.0,1104.0,1372.0,1519.0,505.0,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",204.0,1643.0,1859.0,1015.0,421.0,17,031,824123
"Census Tract 8253.03, Cook County, Illinois",259.0,747.0,913.0,514.0,208.0,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",261.0,912.0,1172.0,567.0,204.0,17,031,825304
"Census Tract 8300.07, Cook County, Illinois",151.0,803.0,1281.0,430.0,241.0,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",121.0,614.0,1209.0,548.0,230.0,17,031,830008
"Census Tract 8305, Cook County, Illinois",1099.0,707.0,588.0,144.0,0.0,17,031,830500
"Census Tract 8306, Cook County, Illinois",569.0,585.0,686.0,819.0,574.0,17,031,830600
"Census Tract 8307, Cook County, Illinois",355.0,375.0,911.0,931.0,431.0,17,031,830700
"Census Tract 8308, Cook County, Illinois",9.0,144.0,430.0,984.0,553.0,17,031,830800
"Census Tract 8309, Cook County, Illinois",218.0,290.0,367.0,1030.0,370.0,17,031,830900
"Census Tract 8310, Cook County, Illinois",20.0,52.0,138.0,886.0,652.0,17,031,831000
"Census Tract 8311, Cook County, Illinois",1377.0,1281.0,1359.0,1097.0,771.0,17,031,831100
"Census Tract 8119, Cook County, Illinois",64.0,170.0,544.0,1336.0,1400.0,17,031,811900
"Census Tract 1910, Cook County, Illinois",616.0,611.0,400.0,120.0,24.0,17,031,191000
"Census Tract 8056, Cook County, Illinois",59.0,269.0,520.0,1030.0,973.0,17,031,805600
"Census Tract 8060.04, Cook County, Illinois",600.0,1248.0,1410.0,1336.0,876.0,17,031,806004
"Census Tract 8020.02, Cook County, Illinois",81.0,809.0,748.0,979.0,1107.0,17,031,802002
"Census Tract 8025.04, Cook County, Illinois",660.0,1331.0,1315.0,841.0,508.0,17,031,802504
"Census Tract 8027.02, Cook County, Illinois",221.0,695.0,917.0,1095.0,707.0,17,031,802702
"Census Tract 8030.08, Cook County, Illinois",114.0,477.0,723.0,1253.0,623.0,17,031,803008
"Census Tract 8032, Cook County, Illinois",162.0,909.0,944.0,1230.0,734.0,17,031,803200
"Census Tract 8035, Cook County, Illinois",96.0,505.0,1133.0,1504.0,1032.0,17,031,803500
"Census Tract 8041.02, Cook County, Illinois",160.0,491.0,1141.0,1923.0,1498.0,17,031,804102
"Census Tract 8245.05, Cook County, Illinois",217.0,1085.0,1611.0,1037.0,667.0,17,031,824505
"Census Tract 8259, Cook County, Illinois",304.0,965.0,775.0,269.0,46.0,17,031,825900
