NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 6302, Cook County, Illinois",203.0,1622.0,17,031,630200
"Census Tract 5807, Cook County, Illinois",1166.0,4742.0,17,031,580700
"Census Tract 5906, Cook County, Illinois",1300.0,2119.0,17,031,590600
"Census Tract 6007, Cook County, Illinois",1985.0,850.0,17,031,600700
"Census Tract 6119, Cook County, Illinois",1201.0,438.0,17,031,611900
"Census Tract 8045.05, Cook County, Illinois",2880.0,565.0,17,031,804505
"Census Tract 8047.01, Cook County, Illinois",4490.0,1632.0,17,031,804701
"Census Tract 8047.06, Cook County, Illinois",2051.0,390.0,17,031,804706
"Census Tract 8240.05, Cook County, Illinois",5451.0,298.0,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",4520.0,208.0,17,031,824006
"Census Tract 8241.13, Cook County, Illinois",6244.0,826.0,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",5019.0,167.0,17,031,824114
"Census Tract 8241.15, Cook County, Illinois",3721.0,332.0,17,031,824115
"Census Tract 8241.16, Cook County, Illinois",4725.0,648.0,17,031,824116
"Census Tract 8241.17, Cook County, Illinois",8888.0,565.0,17,031,824117
"Census Tract 8241.19, Cook County, Illinois",5282.0,373.0,17,031,824119
"Census Tract 8241.20, Cook County, Illinois",8464.0,506.0,17,031,824120
"Census Tract 8241.21, Cook County, Illinois",2864.0,289.0,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",6090.0,436.0,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",6698.0,650.0,17,031,824123
"Census Tract 8253.03, Cook County, Illinois",3504.0,506.0,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",3380.0,958.0,17,031,825304
"Census Tract 8300.07, Cook County, Illinois",4690.0,234.0,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",4325.0,75.0,17,031,830008
"Census Tract 8305, Cook County, Illinois",34.0,3867.0,17,031,830500
"Census Tract 8306, Cook County, Illinois",3046.0,1687.0,17,031,830600
"Census Tract 8307, Cook County, Illinois",3295.0,519.0,17,031,830700
"Census Tract 8308, Cook County, Illinois",2146.0,376.0,17,031,830800
"Census Tract 8309, Cook County, Illinois",2011.0,982.0,17,031,830900
"Census Tract 8310, Cook County, Illinois",1991.0,186.0,17,031,831000
"Census Tract 8311, Cook County, Illinois",3409.0,5128.0,17,031,831100
"Census Tract 8119, Cook County, Illinois",5464.0,377.0,17,031,811900
"Census Tract 1910, Cook County, Illinois",374.0,2356.0,17,031,191000
"Census Tract 8056, Cook County, Illinois",4391.0,79.0,17,031,805600
"Census Tract 8060.04, Cook County, Illinois",5836.0,1346.0,17,031,806004
