NAME,B07001_002E,B07001_003E,B07001_004E,B07001_005E,B07001_006E,B07001_007E,B07001_008E,B07001_009E,B07001_010E,B07001_011E,B07001_012E,B07001_013E,B07001_014E,B07001_015E,B07001_016E,state,county,tract
Census Tract 101; Cook County; Illinois,166.0,183.0,213.0,472.0,225.0,426.0,185.0,322.0,306.0,311.0,629.0,237.0,217.0,157.0,177.0,17,031,010100
Census Tract 102.01; Cook County; Illinois,805.0,1502.0,250.0,687.0,557.0,462.0,455.0,960.0,544.0,424.0,362.0,375.0,344.0,208.0,187.0,17,031,010201
Census Tract 102.02; Cook County; Illinois,134.0,318.0,71.0,240.0,278.0,134.0,232.0,136.0,224.0,263.0,245.0,166.0,133.0,87.0,165.0,17,031,010202
Census Tract 103; Cook County; Illinois,217.0,273.0,83.0,470.0,511.0,618.0,426.0,125.0,508.0,476.0,661.0,305.0,379.0,423.0,716.0,17,031,010300
Census Tract 104; Cook County; Illinois,45.0,47.0,1021.0,675.0,413.0,441.0,433.0,184.0,152.0,52.0,557.0,82.0,137.0,73.0,138.0,17,031,010400
Census Tract 105.01; Cook County; Illinois,102.0,249.0,48.0,324.0,558.0,546.0,319.0,409.0,436.0,233.0,131.0,84.0,168.0,103.0,149.0,17,031,010501
Census Tract 105.02; Cook County; Illinois,127.0,414.0,96.0,595.0,298.0,427.0,320.0,280.0,136.0,142.0,257.0,168.0,44.0,23.0,59.0,17,031,010502
Census Tract 105.03; Cook County; Illinois,35.0,123.0,48.0,901.0,90.0,92.0,52.0,40.0,120.0,46.0,103.0,156.0,228.0,177.0,189.0,17,031,010503
Census Tract 106; Cook County; Illinois,162.0,729.0,308.0,468.0,813.0,271.0,646.0,469.0,465.0,646.0,438.0,345.0,149.0,242.0,207.0,17,031,010600
Census Tract 107.01; Cook County; Illinois,166.0,455.0,76.0,82.0,447.0,278.0,281.0,323.0,214.0,262.0,245.0,232.0,182.0,230.0,36.0,17,031,010701
Census Tract 107.02; Cook County; Illinois,367.0,1114.0,114.0,338.0,362.0,474.0,523.0,332.0,398.0,154.0,285.0,381.0,66.0,53.0,19.0,17,031,010702
Census Tract 201; Cook County; Illinois,173.0,382.0,149.0,140.0,597.0,251.0,237.0,200.0,408.0,216.0,368.0,281.0,176.0,87.0,193.0,17,031,020100
Census Tract 202; Cook County; Illinois,550.0,1742.0,165.0,277.0,372.0,415.0,304.0,625.0,581.0,432.0,361.0,198.0,458.0,195.0,333.0,17,031,020200
Census Tract 203.01; Cook County; Illinois,382.0,954.0,63.0,122.0,245.0,582.0,367.0,375.0,131.0,185.0,210.0,245.0,347.0,336.0,687.0,17,031,020301
Census Tract 203.02; Cook County; Illinois,197.0,1165.0,117.0,267.0,227.0,239.0,284.0,248.0,516.0,304.0,260.0,359.0,376.0,219.0,377.0,17,031,020302
Census Tract 204; Cook County; Illinois,202.0,682.0,72.0,213.0,446.0,284.0,295.0,306.0,289.0,243.0,276.0,377.0,258.0,116.0,160.0,17,031,020400
Census Tract 205; Cook County; Illinois,448.0,961.0,109.0,424.0,497.0,292.0,476.0,413.0,611.0,570.0,446.0,412.0,346.0,210.0,282.0,17,031,020500
Census Tract 206.01; Cook County; Illinois,303.0,1684.0,171.0,80.0,266.0,431.0,343.0,463.0,297.0,570.0,175.0,354.0,244.0,150.0,331.0,17,031,020601
Census Tract 206.02; Cook County; Illinois,363.0,932.0,219.0,338.0,269.0,474.0,336.0,263.0,372.0,303.0,274.0,469.0,299.0,120.0,227.0,17,031,020602
Census Tract 207.01; Cook County; Illinois,73.0,207.0,21.0,65.0,60.0,111.0,103.0,130.0,108.0,46.0,133.0,124.0,192.0,157.0,179.0,17,031,020701
Census Tract 207.02; Cook County; Illinois,362.0,2430.0,72.0,280.0,579.0,501.0,614.0,470.0,780.0,373.0,340.0,96.0,651.0,384.0,273.0,17,031,020702
Census Tract 208.01; Cook County; Illinois,276.0,810.0,194.0,358.0,272.0,308.0,579.0,455.0,336.0,452.0,592.0,641.0,293.0,231.0,170.0,17,031,020801
Census Tract 208.02; Cook County; Illinois,594.0,2098.0,323.0,575.0,478.0,663.0,344.0,809.0,521.0,623.0,389.0,560.0,111.0,174.0,285.0,17,031,020802
