NAME,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,state,county,tract
Census Tract 101; Cook County; Illinois,194.0,397.0,298.0,285.0,685.0,653.0,258.0,226.0,881.0,17,031,010100
Census Tract 102.01; Cook County; Illinois,923.0,938.0,406.0,601.0,663.0,1191.0,425.0,134.0,846.0,17,031,010201
Census Tract 102.02; Cook County; Illinois,251.0,391.0,175.0,330.0,230.0,336.0,152.0,82.0,436.0,17,031,010202
Census Tract 103; Cook County; Illinois,431.0,775.0,579.0,793.0,248.0,696.0,612.0,350.0,1234.0,17,031,010300
Census Tract 104; Cook County; Illinois,1094.0,663.0,311.0,412.0,311.0,556.0,418.0,90.0,550.0,17,031,010400
Census Tract 105.01; Cook County; Illinois,221.0,373.0,222.0,451.0,661.0,570.0,223.0,197.0,667.0,17,031,010501
Census Tract 105.02; Cook County; Illinois,436.0,537.0,180.0,240.0,241.0,420.0,187.0,142.0,558.0,17,031,010502
Census Tract 105.03; Cook County; Illinois,168.0,782.0,496.0,180.0,177.0,108.0,116.0,92.0,123.0,17,031,010503
Census Tract 106; Cook County; Illinois,402.0,710.0,479.0,604.0,764.0,795.0,611.0,360.0,981.0,17,031,010600
Census Tract 107.01; Cook County; Illinois,297.0,254.0,364.0,235.0,330.0,406.0,252.0,135.0,743.0,17,031,010701
Census Tract 107.02; Cook County; Illinois,772.0,206.0,208.0,281.0,713.0,622.0,396.0,144.0,388.0,17,031,010702
Census Tract 201; Cook County; Illinois,292.0,533.0,135.0,642.0,521.0,502.0,130.0,84.0,543.0,17,031,020100
Census Tract 202; Cook County; Illinois,716.0,777.0,239.0,518.0,399.0,451.0,387.0,196.0,1384.0,17,031,020200
Census Tract 203.01; Cook County; Illinois,381.0,400.0,275.0,433.0,599.0,669.0,236.0,128.0,953.0,17,031,020301
Census Tract 203.02; Cook County; Illinois,780.0,362.0,370.0,300.0,276.0,425.0,297.0,250.0,1039.0,17,031,020302
Census Tract 204; Cook County; Illinois,353.0,538.0,145.0,228.0,527.0,414.0,338.0,157.0,724.0,17,031,020400
Census Tract 205; Cook County; Illinois,1186.0,799.0,533.0,616.0,756.0,563.0,313.0,238.0,294.0,17,031,020500
Census Tract 206.01; Cook County; Illinois,985.0,489.0,255.0,597.0,374.0,257.0,401.0,216.0,816.0,17,031,020601
Census Tract 206.02; Cook County; Illinois,635.0,526.0,135.0,790.0,246.0,311.0,544.0,83.0,818.0,17,031,020602
Census Tract 207.01; Cook County; Illinois,89.0,162.0,192.0,81.0,106.0,157.0,141.0,82.0,437.0,17,031,020701
Census Tract 207.02; Cook County; Illinois,1093.0,859.0,412.0,756.0,668.0,675.0,620.0,156.0,839.0,17,031,020702
