NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
Census Tract 101; Cook County; Illinois,1915.0,1376.0,0.0,94.0,0.0,278.0,621.0,17,031,010100
Census Tract 102.01; Cook County; Illinois,2087.0,3009.0,41.0,298.0,0.0,838.0,1937.0,17,031,010201
Census Tract 102.02; Cook County; Illinois,892.0,945.0,86.0,312.0,0.0,353.0,277.0,17,031,010202
Census Tract 103; Cook County; Illinois,3343.0,1473.0,76.0,338.0,0.0,704.0,303.0,17,031,010300
Census Tract 104; Cook County; Illinois,3578.0,354.0,0.0,213.0,0.0,71.0,257.0,17,031,010400
Census Tract 105.01; Cook County; Illinois,2632.0,789.0,10.0,239.0,0.0,123.0,120.0,17,031,010501
Census Tract 105.02; Cook County; Illinois,1903.0,751.0,2.0,150.0,0.0,247.0,354.0,17,031,010502
Census Tract 105.03; Cook County; Illinois,1782.0,382.0,0.0,137.0,0.0,0.0,116.0,17,031,010503
Census Tract 106; Cook County; Illinois,3727.0,1285.0,37.0,236.0,0.0,554.0,540.0,17,031,010600
Census Tract 107.01; Cook County; Illinois,1516.0,748.0,77.0,225.0,0.0,740.0,284.0,17,031,010701
Census Tract 107.02; Cook County; Illinois,1569.0,1881.0,76.0,122.0,0.0,860.0,640.0,17,031,010702
Census Tract 201; Cook County; Illinois,1181.0,1553.0,23.0,169.0,0.0,722.0,279.0,17,031,020100
Census Tract 202; Cook County; Illinois,3634.0,494.0,0.0,921.0,0.0,1009.0,1145.0,17,031,020200
Census Tract 203.01; Cook County; Illinois,4461.0,112.0,8.0,502.0,0.0,74.0,275.0,17,031,020301
Census Tract 203.02; Cook County; Illinois,3823.0,471.0,27.0,427.0,0.0,289.0,164.0,17,031,020302
Census Tract 204; Cook County; Illinois,1823.0,848.0,8.0,480.0,0.0,352.0,745.0,17,031,020400
Census Tract 205; Cook County; Illinois,1990.0,1044.0,30.0,2302.0,0.0,446.0,834.0,17,031,020500
Census Tract 206.01; Cook County; Illinois,3001.0,135.0,0.0,1279.0,2.0,801.0,650.0,17,031,020601
Census Tract 206.02; Cook County; Illinois,2314.0,473.0,0.0,1387.0,0.0,889.0,280.0,17,031,020602
Census Tract 207.01; Cook County; Illinois,1122.0,184.0,14.0,173.0,0.0,125.0,110.0,17,031,020701
Census Tract 207.02; Cook County; Illinois,4279.0,298.0,343.0,2541.0,0.0,375.0,576.0,17,031,020702
Census Tract 208.01; Cook County; Illinois,2701.0,770.0,0.0,877.0,15.0,675.0,952.0,17,031,020801
Census Tract 208.02; Cook County; Illinois,3014.0,582.0,229.0,2810.0,0.0,842.0,1238.0,17,031,020802
Census Tract 209.01; Cook County; Illinois,1976.0,1489.0,0.0,1385.0,0.0,149.0,1180.0,17,031,020901
Census Tract 209.02; Cook County; Illinois,1647.0,861.0,0.0,1455.0,0.0,212.0,190.0,17,031,020902
Census Tract 301.01; Cook County; Illinois,1407.0,910.0,5.0,761.0,0.0,173.0,261.0,17,031,030101
Census Tract 301.02; Cook County; Illinois,1237.0,461.0,10.0,1093.0,0.0,47.0,204.0,17,031,030102
Census Tract 301.03; Cook County; Illinois,1207.0,326.0,9.0,294.0,0.0,202.0,259.0,17,031,030103
Census Tract 301.04; Cook County; Illinois,1973.0,266.0,6.0,502.0,0.0,211.0,148.0,17,031,030104
Census Tract 302; Cook County; Illinois,3780.0,90.0,0.0,361.0,46.0,87.0,1190.0,17,031,030200
Census Tract 303; Cook County; Illinois,1231.0,745.0,15.0,586.0,0.0,491.0,574.0,17,031,030300
Census Tract 304; Cook County; Illinois,1955.0,165.0,0.0,231.0,0.0,157.0,314.0,17,031,030400
Census Tract 305; Cook County; Illinois,4329.0,420.0,32.0,190.0,14.0,236.0,1123.0,17,031,030500
Census Tract 306.01; Cook County; Illinois,1599.0,949.0,0.0,805.0,24.0,63.0,331.0,17,031,030601
Census Tract 306.03; Cook County; Illinois,1283.0,551.0,0.0,338.0,0.0,34.0,99.0,17,031,030603
Census Tract 306.04; Cook County; Illinois,1653.0,514.0,18.0,371.0,24.0,98.0,243.0,17,031,030604
Census Tract 307.01; Cook County; Illinois,757.0,544.0,0.0,128.0,0.0,33.0,47.0,17,031,030701
Census Tract 307.02; Cook County; Illinois,1344.0,90.0,0.0,629.0,0.0,53.0,150.0,17,031,030702
Census Tract 307.03; Cook County; Illinois,1801.0,506.0,0.0,271.0,0.0,75.0,440.0,17,031,030703
Census Tract 307.06; Cook County; Illinois,1645.0,370.0,0.0,425.0,0.0,34.0,114.0,17,031,030706
Census Tract 308; Cook County; Illinois,3344.0,190.0,0.0,227.0,0.0,50.0,425.0,17,031,030800
Census Tract 309; Cook County; Illinois,2375.0,152.0,11.0,249.0,0.0,32.0,257.0,17,031,030900
Census Tract 310; Cook County; Illinois,2795.0,31.0,0.0,343.0,0.0,252.0,231.0,17,031,031000
Census Tract 311; Cook County; Illinois,3526.0,614.0,0.0,274.0,0.0,123.0,361.0,17,031,031100
Census Tract 312; Cook County; Illinois,1999.0,2321.0,20.0,703.0,0.0,480.0,413.0,17,031,031200
Census Tract 313; Cook County; Illinois,4209.0,999.0,6.0,897.0,17.0,98.0,627.0,17,031,031300
Census Tract 314; Cook County; Illinois,3658.0,220.0,0.0,490.0,0.0,27.0,290.0,17,031,031400
Census Tract 315.01; Cook County; Illinois,1767.0,1684.0,12.0,700.0,0.0,285.0,192.0,17,031,031501
Census Tract 315.02; Cook County; Illinois,1962.0,1617.0,80.0,242.0,0.0,254.0,467.0,17,031,031502
Census Tract 317; Cook County; Illinois,4395.0,929.0,29.0,348.0,0.0,160.0,258.0,17,031,031700
Census Tract 318; Cook County; Illinois,1282.0,97.0,1.0,248.0,0.0,149.0,337.0,17,031,031800
Census Tract 319; Cook County; Illinois,1820.0,233.0,11.0,66.0,0.0,57.0,230.0,17,031,031900
Census Tract 321; Cook County; Illinois,4619.0,932.0,63.0,920.0,0.0,361.0,384.0,17,031,032100
Census Tract 401; Cook County; Illinois,2873.0,381.0,0.0,122.0,0.0,174.0,461.0,17,031,040100
Census Tract 402.01; Cook County; Illinois,5169.0,112.0,12.0,544.0,0.0,399.0,452.0,17,031,040201
Census Tract 402.02; Cook County; Illinois,3385.0,336.0,165.0,1578.0,0.0,902.0,1599.0,17,031,040202
Census Tract 403; Cook County; Illinois,1485.0,139.0,0.0,792.0,0.0,212.0,435.0,17,031,040300
Census Tract 404.01; Cook County; Illinois,2419.0,97.0,19.0,299.0,0.0,168.0,429.0,17,031,040401
Census Tract 404.02; Cook County; Illinois,3598.0,153.0,20.0,158.0,0.0,298.0,354.0,17,031,040402
Census Tract 406; Cook County; Illinois,2220.0,139.0,49.0,26.0,0.0,230.0,121.0,17,031,040600
Census Tract 407; Cook County; Illinois,2775.0,123.0,0.0,424.0,0.0,190.0,237.0,17,031,040700
Census Tract 408; Cook County; Illinois,1265.0,28.0,6.0,76.0,0.0,88.0,114.0,17,031,040800
Census Tract 409; Cook County; Illinois,1717.0,2.0,0.0,62.0,0.0,6.0,219.0,17,031,040900
Census Tract 501; Cook County; Illinois,2197.0,71.0,0.0,39.0,0.0,58.0,148.0,17,031,050100
Census Tract 502; Cook County; Illinois,4515.0,54.0,0.0,302.0,0.0,97.0,578.0,17,031,050200
Census Tract 503; Cook County; Illinois,1850.0,29.0,0.0,483.0,0.0,100.0,367.0,17,031,050300
Census Tract 505; Cook County; Illinois,4448.0,2.0,0.0,351.0,0.0,154.0,244.0,17,031,050500
Census Tract 506; Cook County; Illinois,1957.0,16.0,0.0,90.0,0.0,64.0,105.0,17,031,050600
Census Tract 507; Cook County; Illinois,1262.0,0.0,0.0,18.0,0.0,13.0,163.0,17,031,050700
Census Tract 508; Cook County; Illinois,914.0,54.0,1.0,58.0,0.0,59.0,312.0,17,031,050800
Census Tract 509; Cook County; Illinois,1122.0,38.0,0.0,39.0,0.0,98.0,91.0,17,031,050900
Census Tract 510; Cook County; Illinois,1337.0,36.0,0.0,158.0,0.0,44.0,132.0,17,031,051000
Census Tract 511; Cook County; Illinois,1391.0,21.0,0.0,80.0,0.0,87.0,326.0,17,031,051100
Census Tract 512; Cook County; Illinois,1251.0,45.0,15.0,90.0,0.0,23.0,152.0,17,031,051200
Census Tract 513; Cook County; Illinois,2449.0,237.0,0.0,45.0,0.0,129.0,217.0,17,031,051300
Census Tract 514; Cook County; Illinois,1673.0,234.0,1.0,385.0,22.0,106.0,114.0,17,031,051400
Census Tract 601; Cook County; Illinois,2606.0,7.0,0.0,259.0,0.0,123.0,183.0,17,031,060100
Census Tract 602; Cook County; Illinois,1641.0,103.0,0.0,33.0,0.0,289.0,81.0,17,031,060200
Census Tract 603; Cook County; Illinois,2220.0,54.0,0.0,168.0,0.0,58.0,321.0,17,031,060300
Census Tract 604; Cook County; Illinois,3156.0,45.0,0.0,194.0,0.0,101.0,195.0,17,031,060400
Census Tract 605; Cook County; Illinois,970.0,60.0,5.0,183.0,0.0,22.0,47.0,17,031,060500
Census Tract 608; Cook County; Illinois,3609.0,194.0,24.0,766.0,0.0,175.0,551.0,17,031,060800
Census Tract 609; Cook County; Illinois,5595.0,142.0,117.0,541.0,0.0,129.0,419.0,17,031,060900
Census Tract 610; Cook County; Illinois,1734.0,49.0,0.0,394.0,0.0,76.0,71.0,17,031,061000
Census Tract 611; Cook County; Illinois,1154.0,54.0,0.0,27.0,0.0,23.0,178.0,17,031,061100
Census Tract 612; Cook County; Illinois,1751.0,74.0,5.0,69.0,0.0,59.0,94.0,17,031,061200
Census Tract 615; Cook County; Illinois,1657.0,83.0,6.0,81.0,0.0,38.0,158.0,17,031,061500
Census Tract 618; Cook County; Illinois,924.0,28.0,0.0,153.0,0.0,23.0,76.0,17,031,061800
Census Tract 619.01; Cook County; Illinois,2529.0,276.0,19.0,274.0,0.0,73.0,346.0,17,031,061901
Census Tract 619.02; Cook County; Illinois,3782.0,307.0,0.0,672.0,0.0,39.0,138.0,17,031,061902
Census Tract 620; Cook County; Illinois,2311.0,125.0,0.0,108.0,0.0,99.0,247.0,17,031,062000
Census Tract 621; Cook County; Illinois,2909.0,139.0,0.0,313.0,0.0,81.0,204.0,17,031,062100
Census Tract 622; Cook County; Illinois,2652.0,29.0,0.0,204.0,0.0,66.0,201.0,17,031,062200
Census Tract 623; Cook County; Illinois,1362.0,15.0,0.0,83.0,0.0,10.0,139.0,17,031,062300
Census Tract 624; Cook County; Illinois,1488.0,95.0,0.0,46.0,0.0,48.0,122.0,17,031,062400
Census Tract 625; Cook County; Illinois,1138.0,50.0,0.0,169.0,10.0,0.0,53.0,17,031,062500
Census Tract 626; Cook County; Illinois,1890.0,40.0,0.0,207.0,13.0,61.0,160.0,17,031,062600
Census Tract 627; Cook County; Illinois,2510.0,43.0,0.0,181.0,0.0,94.0,218.0,17,031,062700
Census Tract 628; Cook County; Illinois,3056.0,55.0,0.0,190.0,9.0,50.0,322.0,17,031,062800
Census Tract 629; Cook County; Illinois,3065.0,259.0,0.0,228.0,0.0,427.0,159.0,17,031,062900
Census Tract 630; Cook County; Illinois,2624.0,135.0,0.0,126.0,56.0,59.0,280.0,17,031,063000
Census Tract 631; Cook County; Illinois,2056.0,0.0,0.0,113.0,0.0,26.0,157.0,17,031,063100
Census Tract 632; Cook County; Illinois,5459.0,374.0,0.0,263.0,0.0,39.0,245.0,17,031,063200
Census Tract 633.01; Cook County; Illinois,2177.0,182.0,0.0,237.0,0.0,75.0,321.0,17,031,063301
Census Tract 633.02; Cook County; Illinois,3483.0,152.0,0.0,339.0,0.0,37.0,91.0,17,031,063302
Census Tract 633.03; Cook County; Illinois,941.0,13.0,0.0,211.0,0.0,0.0,33.0,17,031,063303
Census Tract 634; Cook County; Illinois,2000.0,103.0,0.0,177.0,0.0,25.0,130.0,17,031,063400
Census Tract 701.01; Cook County; Illinois,3789.0,94.0,15.0,180.0,0.0,193.0,312.0,17,031,070101
Census Tract 701.02; Cook County; Illinois,2252.0,247.0,0.0,245.0,0.0,47.0,189.0,17,031,070102
